Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,3,-7,3,7,-12,-32,-10,0
03503,3,-7,3,7,-12,-32,-10,0
03124,-8,-8,0,-2,-10,-4,-6,-5
03658,-8,-8,0,-2,-10,-4,-6,-5
03849,-8,-8,0,-2,-10,-4,-6,-5
03580,-8,-8,0,-2,-10,-4,-6,-5
03519,1,-7,-6,-5,-12,-33,0,-5
03137,17,7,-2,-6,3,13,33,0
03689,17,7,-2,-6,3,13,33,0
03815,17,7,-2,-6,3,13,33,0
03607,-12,-10,-8,-10,-12,10,8,-5
03530,-12,-10,-8,-10,-12,10,8,-5
03143,-12,-10,-8,-10,-12,10,8,-5
03703,-12,-10,-8,-10,-12,10,8,-5
03873,-12,-10,-8,-10,-12,10,8,-5
03623,2,0,11,21,-5,-54,-38,4
03553,8,6,0,1,19,36,8,-1
0,8,6,0,1,19,36,8,-1
3169,8,6,0,1,19,36,8,-1
03935,8,6,0,1,19,36,8,-1
03633,8,6,0,1,19,36,8,-1
03571,8,6,0,1,19,36,8,-1
03189,8,6,0,1,19,36,8,-1
03682,8,6,0,1,19,36,8,-1
03916,8,6,0,1,19,36,8,-1
03667,8,6,0,1,19,36,8,-1
03589,8,6,0,1,19,36,8,-1
03212,-14,-24,-27,-24,-27,-18,29,-1
03707,-2,3,12,-4,-16,-10,-14,0
03979,-2,3,12,-4,-16,-10,-14,0
03685,9,-3,6,-5,2,-12,-25,-2
03607,9,-3,6,-5,2,-12,-25,-2
03228,21,2,-3,-15,-14,24,13,-1
03729,21,2,-3,-15,-14,24,13,-1
03957,-13,-14,-10,-9,15,51,4,0
03707,-13,-14,-10,-9,15,51,4,0
03669,-13,-14,-10,-9,15,51,4,0
03254,-3,20,12,21,37,3,-10,0
03695,-3,20,12,21,37,3,-10,0
03982,-3,20,12,21,37,3,-10,0
03735,-3,20,12,21,37,3,-10,0
03681,9,9,5,10,14,16,-14,4
03276,9,9,5,10,14,16,-14,4
04049,9,9,5,10,14,16,-14,4
03777,13,-18,-13,-25,-72,-64,27,2
03741,24,20,23,28,17,-29,-9,0
03374,24,20,23,28,17,-29,-9,0
03556,24,20,23,28,17,-29,-9,0
04110,-11,0,-6,1,11,23,2,-1
038590,5,4,12,1,-8,-21,-1,-3
37640,-6,-5,-11,-14,-12,12,1,-1
36680,-6,-5,-11,-14,-12,12,1,-1
33720,-6,-5,-11,-14,-12,12,1,-1
390204026,-6,-5,-11,-14,-12,12,1,-1
03795,-5,4,-9,-8,1,23,6,-3
03731,-5,4,-9,-8,1,23,6,-3
03333,-5,4,-9,-8,1,23,6,-3
03776,-5,4,-9,-8,1,23,6,-3
04081,-5,4,-9,-8,1,23,6,-3
03806,8,-10,-5,4,-5,-52,-40,-1
03762,-3,10,6,6,18,6,-15,3
03348,-3,10,6,6,18,6,-15,3
03797,-3,10,6,6,18,6,-15,3
04146,4,-17,-11,-3,-10,4,15,-5
03832,4,-17,-11,-3,-10,4,15,-5
03785,5,-9,-12,-12,-13,-13,-15,-2
03380,5,-9,-12,-12,-13,-13,-15,-2
03829,5,-9,-12,-12,-13,-13,-15,-2
03856,-1,-13,4,9,11,36,58,-1
03817,-1,-13,4,9,11,36,58,-1
03499,-1,-13,4,9,11,36,58,-1
03595,-1,-13,4,9,11,36,58,-1
04165,-1,-13,4,9,11,36,58,-1
039720,1,-8,-6,-18,-48,-104,-7,-5
38520,13,-4,8,15,-5,-42,-18,0
378303,13,-4,8,15,-5,-42,-18,0
42203948,13,-4,8,15,-5,-42,-18,0
04163,-21,15,-2,-11,36,-9,-65,-2
03898,-21,15,-2,-11,36,-9,-65,-2
03854,-12,2,3,11,7,19,0,-3
03437,-12,2,3,11,7,19,0,-3
03899,-12,2,3,11,7,19,0,-3
04226,-12,2,3,11,7,19,0,-3
03914,-12,-9,1,-25,-35,-17,-1,1
03870,-12,-9,1,-25,-35,-17,-1,1
03471,-12,-9,1,-25,-35,-17,-1,1
03866,-12,-9,1,-25,-35,-17,-1,1
04242,-12,-9,1,-25,-35,-17,-1,1
