Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,-2,-11,-3,16,75,-3,-1
02032,0,-2,-11,-3,16,75,-3,-1
01782,-5,-4,18,9,7,-12,-1,11
02400,-5,-4,18,9,7,-12,-1,11
02098,0,3,5,-3,1,19,3,-18
02038,0,3,5,-3,1,19,3,-18
01732,0,3,5,-3,1,19,3,-18
01899,-1,-3,-4,-5,-3,-23,11,2
02400,-1,-3,-4,-5,-3,-23,11,2
02083,2,1,3,-1,-1,-18,-3,8
02041,2,1,3,-1,-1,-18,-3,8
01694,2,1,3,-1,-1,-18,-3,8
01974,2,1,3,-1,-1,-18,-3,8
02425,0,-5,-3,1,-4,-19,-26,18
02112,0,-5,-3,1,-4,-19,-26,18
02053,0,-5,-3,1,-4,-19,-26,18
01662,7,11,-6,0,32,64,-14,3
01980,7,11,-6,0,32,64,-14,3
02429,-4,-6,-7,2,1,-24,-4,18
02109,-4,-6,-7,2,1,-24,-4,18
02064,-4,-6,-7,2,1,-24,-4,18
01725,-4,-6,-7,2,1,-24,-4,18
01982,-14,-10,-9,-12,-40,-58,23,-47
02445,-14,-10,-9,-12,-40,-58,23,-47
02126,-14,-10,-9,-12,-40,-58,23,-47
02079,-14,-10,-9,-12,-40,-58,23,-47
0173,-14,-10,-9,-12,-40,-58,23,-47
9,-14,-10,-9,-12,-40,-58,23,-47
02468,0,6,-27,-22,-3,-4,-7,-16
02161,0,6,-27,-22,-3,-4,-7,-16
02096,0,6,-27,-22,-3,-4,-7,-16
01933,0,6,-27,-22,-3,-4,-7,-16
01723,0,6,-27,-22,-3,-4,-7,-16
022570,0,6,-27,-22,-3,-4,-7,-16
23520,3,3,8,3,-1,19,9,8
21290,3,3,8,3,-1,19,9,8
20850,3,3,8,3,-1,19,9,8
167501990,-1,-4,11,9,7,1,0,1
02474,-1,-4,11,9,7,1,0,1
02154,-1,-4,11,9,7,1,0,1
02090,-1,-4,11,9,7,1,0,1
01775,-1,-4,11,9,7,1,0,1
01935,-1,-4,11,9,7,1,0,1
02486,0,14,-5,-9,21,112,-5,-19
02169,-2,-16,22,17,10,-13,3,-1
02111,-2,-16,22,17,10,-13,3,-1
01790,-2,-16,22,17,10,-13,3,-1
01926,-2,-16,22,17,10,-13,3,-1
02491,0,4,5,1,-10,-25,-40,-9
02172,10,19,-11,-12,7,8,-7,14
02113,10,19,-11,-12,7,8,-7,14
01801,10,19,-11,-12,7,8,-7,14
01933,-6,-24,2,16,5,15,20,32
02176,-4,0,2,-6,-17,-31,14,6
0213,-4,0,2,-6,-17,-31,14,6
501818,-4,0,2,-6,-17,-31,14,6
01946,-4,0,2,-6,-17,-31,14,6
02518,-4,0,2,-6,-17,-31,14,6
02203,3,0,-14,-8,3,20,-17,-13
02140,-7,-7,8,10,-3,-6,7,10
01835,-7,-7,8,10,-3,-6,7,10
01903,-7,-7,8,10,-3,-6,7,10
02531,-1,5,-15,-4,9,-13,0,-16
