Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,5,5,3,-6,-6,-10,-1,-2
01311,-3,0,-4,-6,-1,-32,0,-1
01336,0,0,-5,0,-5,43,17,-1
01199,4,-7,-6,-1,-5,3,-5,-1
079,4,-7,-6,-1,-5,3,-5,-1
301063,4,-7,-6,-1,-5,3,-5,-1
01571,4,-7,-6,-1,-5,3,-5,-1
01249,4,-6,3,-1,-3,-5,1,-3
01194,4,-6,3,-1,-3,-5,1,-3
0900,4,-6,3,-1,-3,-5,1,-3
01003,4,-6,3,-1,-3,-5,1,-3
01566,4,-6,3,-1,-3,-5,1,-3
01257,-6,-3,-5,-1,-2,-25,6,-6
01198,-6,-3,-5,-1,-2,-25,6,-6
0909,-6,-3,-5,-1,-2,-25,6,-6
0995,-6,-3,-5,-1,-2,-25,6,-6
01269,2,0,-1,-2,2,-5,1,3
01202,2,0,-1,-2,2,-5,1,3
01028,2,0,-1,-2,2,-5,1,3
0836,2,0,-1,-2,2,-5,1,3
01379,2,0,-1,-2,2,-5,1,3
01441,-9,6,2,1,-3,-13,-2,4
012310,-9,6,2,1,-3,-13,-2,4
11910,-9,6,2,1,-3,-13,-2,4
8030,-9,6,2,1,-3,-13,-2,4
111901571,-9,6,2,1,-3,-13,-2,4
01274,3,-2,2,3,2,11,-4,1
01203,3,-2,2,3,2,11,-4,1
0927,3,-2,2,3,2,11,-4,1
01001,3,-2,2,3,2,11,-4,1
01573,3,-2,2,3,2,11,-4,1
01272,4,-1,3,3,3,-6,-8,-4
01203,1,-3,-1,-2,0,1,6,3
0916,1,-3,-1,-2,0,1,6,3
0988,1,-3,-1,-2,0,1,6,3
01544,-1,-6,-2,-7,9,26,9,-1
01283,-1,-6,-2,-7,9,26,9,-1
01206,-1,-6,-2,-7,9,26,9,-1
0932,-1,-6,-2,-7,9,26,9,-1
0999,-1,-6,-2,-7,9,26,9,-1
01587,-6,7,5,2,-7,22,4,2
01221,-6,7,5,2,-7,22,4,2
01059,-6,7,5,2,-7,22,4,2
0847,-6,7,5,2,-7,22,4,2
01380,-2,-1,-3,-1,0,7,2,4
01466,6,2,2,15,1,-6,-1,2
012510,6,2,2,15,1,-6,-1,2
12150,6,2,2,15,1,-6,-1,2
8020,6,2,2,15,1,-6,-1,2
112801,-6,-3,-8,-6,6,30,5,-2
60601301,4,-5,-5,-3,-4,17,1,-4
01235,4,-5,-5,-3,-4,17,1,-4
0849,4,-5,-5,-3,-4,17,1,-4
01124,4,-5,-5,-3,-4,17,1,-4
01602,4,-5,-5,-3,-4,17,1,-4
01279,-2,-2,-2,-8,0,-10,3,-5
01229,-2,-2,-2,-8,0,-10,3,-5
0902,-2,-2,-2,-8,0,-10,3,-5
01067,-2,-2,-2,-8,0,-10,3,-5
01608,14,4,6,3,-1,9,5,-2
01283,-2,-3,-7,-4,1,-1,4,0
01235,-2,-3,-7,-4,1,-1,4,0
0856,-2,-3,-7,-4,1,-1,4,0
01062,-2,-3,-7,-4,1,-1,4,0
01619,1,1,0,-3,-7,-24,-10,0
01240,1,1,0,-3,-7,-24,-10,0
0981,1,1,0,-3,-7,-24,-10,0
0959,1,1,0,-3,-7,-24,-10,0
01532,1,1,0,-3,-7,-24,-10,0
01422,-3,-2,0,4,12,33,17,-1
01269,-3,-2,0,4,12,33,17,-1
012280,-3,-2,0,4,12,33,17,-1
