Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,-1,1,4,-1,2,-5,0
02036,0,-1,1,4,-1,2,-5,0
02023,1,2,-2,-4,-2,1,0,0
01887,0,0,2,2,4,-1,-5,-3
01792,1,2,2,2,2,-10,2,1
01462,1,2,2,2,2,-10,2,1
02047,1,2,2,2,2,-10,2,1
02073,1,2,2,2,2,-10,2,1
01893,1,2,2,2,2,-10,2,1
01798,-3,-1,-1,-4,-5,-3,2,0
01444,0,-2,-1,2,-3,-13,-2,1
02054,0,-2,-1,2,-3,-13,-2,1
02120,0,-2,-1,2,-3,-13,-2,1
01897,0,-2,-1,2,-3,-13,-2,1
01843,0,-2,-1,2,-3,-13,-2,1
01473,0,-1,1,4,6,8,7,-1
0206,0,-1,1,4,6,8,7,-1
102125,0,-1,1,4,6,8,7,-1
01908,0,-1,1,4,6,8,7,-1
01848,0,-1,1,4,6,8,7,-1
01483,-1,-1,-1,1,-4,-11,-4,-3
02002,-3,-2,0,-3,4,11,-4,-6
01919,-3,-2,0,-3,4,11,-4,-6
01885,-3,-2,0,-3,4,11,-4,-6
01501,-3,-2,0,-3,4,11,-4,-6
01745,-3,-2,0,-3,4,11,-4,-6
02267,-3,-2,0,-3,4,11,-4,-6
01970,-3,-2,0,-3,4,11,-4,-6
019020,0,-3,-2,-6,-1,4,0,-1
17260,-2,-1,-1,-4,1,-1,1,1
1533020,-2,-1,-1,-4,1,-1,1,1
8102140,-2,-1,-1,-4,1,-1,1,1
01918,-2,-1,-1,-4,1,-1,1,1
01853,-3,-3,-2,-12,-7,9,1,0
01473,-3,-3,-2,-12,-7,9,1,0
02,-3,-3,-2,-12,-7,9,1,0
0080218,-3,-3,-2,-12,-7,9,1,0
401935,-3,-3,-2,-12,-7,9,1,0
01890,-3,-3,-2,-12,-7,9,1,0
01471,0,-1,0,3,3,-3,-2,1
01826,0,1,0,-1,0,-4,0,-3
02264,0,1,0,-1,0,-4,0,-3
01957,0,1,0,-1,0,-4,0,-3
01895,0,1,0,-1,0,-4,0,-3
01501,0,1,0,-1,0,-4,0,-3
01826,0,1,0,-1,0,-4,0,-3
01957,0,1,0,-1,0,-4,0,-3
01902,0,1,0,-1,0,-4,0,-3
01675,0,1,0,-1,0,-4,0,-3
01656,0,1,0,-1,0,-4,0,-3
02223,0,1,0,-1,0,-4,0,-3
02059,0,-2,-2,-4,0,-12,-8,-1
019210,-3,0,2,-2,1,1,13,1
18650,-3,0,2,-2,1,1,13,1
14780,-3,0,2,-2,1,1,13,1
195402,-3,0,2,-2,1,1,13,1
22801953,-3,0,2,-2,1,1,13,1
01902,-3,0,2,-2,1,1,13,1
01499,1,-2,-1,0,2,-1,-6,-1
01832,-2,-1,1,6,6,12,1,-2
02267,-2,-1,1,6,6,12,1,-2
01963,-2,-1,1,6,6,12,1,-2
01907,-2,-1,1,6,6,12,1,-2
01555,-2,-1,1,6,6,12,1,-2
01834,-1,-2,0,-3,-5,-13,-2,2
02268,0,0,-3,-3,-3,-2,1,1
01960,0,0,-3,-3,-3,-2,1,1
0,0,0,-3,-3,-3,-2,1,1
190501549,0,0,-3,-3,-3,-2,1,1
01712,-1,-1,-2,-2,-3,-6,0,-3
02263,2,4,2,7,5,-5,-5,-2
01,-1,-2,-5,3,0,6,-3,0
92001781,-1,-2,-5,3,0,6,-3,0
01528,-1,-2,-5,3,0,6,-3,0
02045,-1,-5,-3,1,0,-4,-3,-2
02158,-1,-5,-3,1,0,-4,-3,-2
01950,-2,-2,-1,-5,-9,-17,2,-3
01918,-2,-2,-1,-5,-9,-17,2,-3
01520,-2,0,-1,-2,-3,-14,4,1
01800,-2,0,-1,-2,-3,-14,4,1
02307,-2,0,-1,-2,-3,-14,4,1
01992,-2,0,-1,-2,-3,-14,4,1
01941,-2,1,3,2,-1,3,-12,-4
017490,-2,-3,-4,-3,-5,-1,-5,-2
15800,-2,-3,-4,-3,-5,-1,-5,-2
21390,-2,-3,-4,-3,-5,-1,-5,-2
212101,-2,-3,-4,-3,-5,-1,-5,-2
96301928,-2,-3,-4,-3,-5,-1,-5,-2
01511,1,-1,1,-4,-3,10,4,1
02017,1,-1,1,-4,-3,10,4,1
02275,1,-1,1,-4,-3,10,4,1
01987,1,-1,1,-4,-3,10,4,1
01949,-1,-3,-1,5,-2,-15,8,3
01529,-1,-3,-1,5,-2,-15,8,3
01965,-1,-3,-1,5,-2,-15,8,3
02292,-1,-3,-1,5,-2,-15,8,3
01995,-1,-3,-1,5,-2,-15,8,3
01560,-2,3,-2,-1,-3,-6,-13,-10
01857,-2,3,-2,-1,-3,-6,-13,-10
02355,-2,3,-2,-1,-3,-6,-13,-10
02057,-3,-7,-4,-1,1,-3,-2,2
019970,-3,-7,-4,-1,1,-3,-2,2
18490,-1,1,-3,-9,-5,-9,-12,0
15950,-1,1,-3,-9,-5,-9,-12,0
21350,-1,1,-3,-9,-5,-9,-12,0
2222,-1,1,-3,-9,-5,-9,-12,0
020220,-2,-2,0,-2,-3,2,4,-4
19890,-2,-2,0,-2,-3,2,4,-4
1575019,-2,-2,0,-2,-3,2,4,-4
5002387,-2,-2,0,-2,-3,2,4,-4
02073,-2,-2,0,-2,-3,2,4,-4
02016,-2,-2,0,-2,-3,2,4,-4
01702,-2,-2,0,-2,-3,2,4,-4
01907,-2,-4,-4,-3,2,-13,-4,-2
02400,0,1,4,1,-1,19,0,-2
02088,0,1,4,1,-1,19,0,-2
02040,0,1,4,1,-1,19,0,-2
01721,0,1,4,1,-1,19,0,-2
01858,0,1,4,1,-1,19,0,-2
02423,1,-3,-5,-12,-8,-9,1,8
02119,1,-3,-5,-12,-8,-9,1,8
01821,4,0,-5,2,-2,-20,6,8
01793,4,0,-5,2,-2,-20,6,8
02429,4,0,-5,2,-2,-20,6,8
02242,4,0,-5,2,-2,-20,6,8
02134,4,0,-5,2,-2,-20,6,8
02073,2,6,7,3,0,-4,-6,5
01700,-4,-1,2,2,3,9,-1,9
02158,-4,-1,2,2,3,9,-1,9
02498,-4,-1,2,2,3,9,-1,9
022040,-4,-1,2,2,3,9,-1,9
21610,-4,-1,2,2,3,9,-1,9
18490,-1,-5,-2,-1,-1,9,-9,5
19520251,-1,-5,-2,-1,-1,9,-9,5
80,-1,-5,-2,-1,-1,9,-9,5
23020,-1,-5,-2,-1,-1,9,-9,5
2212021,-1,-5,-2,-1,-1,9,-9,5
0801831,-6,-11,-11,-6,1,12,-2,6
02373,-2,2,3,4,3,12,6,-13
02488,-2,2,3,4,3,12,6,-13
02256,-2,2,3,4,3,12,6,-13
02210,-2,2,3,4,3,12,6,-13
01835,-2,2,3,4,3,12,6,-13
0246,-2,2,3,4,3,12,6,-13
802463,-2,2,3,4,3,12,6,-13
02282,-1,-3,-2,-1,-1,26,-3,-9
01829,-1,1,-3,-2,-2,-13,-11,9
02277,-1,1,-3,-2,-2,-13,-11,9
02611,-1,1,-3,-2,-2,-13,-11,9
02320,-1,1,-3,-2,-2,-13,-11,9
02281,-1,1,-3,-2,-2,-13,-11,9
020160,-4,-1,0,-1,-4,-20,-13,-7
20000,-4,-1,0,-1,-4,-20,-13,-7
25730,-4,-1,0,-1,-4,-20,-13,-7
