Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,-1,4,1,-3,-8,-1,-3
0936,-9,-24,-13,-8,-2,5,-2,-28
0717,-9,-24,-13,-8,-2,5,-2,-28
0729,-9,-24,-13,-8,-2,5,-2,-28
01292,2,17,5,-5,-16,-22,-3,2
01041,2,17,5,-5,-16,-22,-3,2
0976,2,17,5,-5,-16,-22,-3,2
0770,2,17,5,-5,-16,-22,-3,2
0716,-8,19,-7,3,11,-1,0,-11
01343,-8,19,-7,3,11,-1,0,-11
01077,-8,19,-7,3,11,-1,0,-11
01030,-8,19,-7,3,11,-1,0,-11
0691,-8,19,-7,3,11,-1,0,-11
01417,1,-20,-16,-6,2,-10,4,8
01160,1,-20,-16,-6,2,-10,4,8
01077,2,-5,10,6,1,-23,-2,18
0967,2,-5,10,6,1,-23,-2,18
0698,-3,0,-3,3,15,35,-1,-8
01233,-3,0,-3,3,15,35,-1,-8
013700,-3,0,-3,3,15,35,-1,-8
11420,-3,0,-3,3,15,35,-1,-8
11130703,-1,0,0,-3,-6,-1,-1,-18
01025,-1,0,0,-3,-6,-1,-1,-18
01482,-1,0,0,-3,-6,-1,-1,-18
01184,-1,0,0,-3,-6,-1,-1,-18
01152,-1,0,0,-3,-6,-1,-1,-18
0783,-1,0,0,-3,-6,-1,-1,-18
01178,-3,-26,-10,1,12,10,2,-5
01484,-3,-26,-10,1,12,10,2,-5
01222,-3,-26,-10,1,12,10,2,-5
01173,-1,-3,2,7,-5,-23,2,10
0779,-1,-3,2,7,-5,-23,2,10
01157,5,-15,-39,-12,-26,5,-1,-14
01526,5,-15,-39,-12,-26,5,-1,-14
01261,5,-15,-39,-12,-26,5,-1,-14
01223,5,-15,-39,-12,-26,5,-1,-14
0828,8,-17,0,1,3,7,2,15
01199,-6,-6,-14,-4,14,-21,-6,-21
01335,-6,-6,-14,-4,14,-21,-6,-21
01290,-6,-6,-14,-4,14,-21,-6,-21
01033,-6,-6,-14,-4,14,-21,-6,-21
01015,0,12,12,-3,-3,-16,-5,-1
01594,0,12,12,-3,-3,-16,-5,-1
01501,0,12,12,-3,-3,-16,-5,-1
013510,-5,-1,-2,-5,-20,-37,-3,-2
13150915,-5,-1,-2,-5,-20,-37,-3,-2
0136,4,6,9,3,8,8,-6,1
701712,4,6,9,3,8,8,-6,1
01415,4,6,9,3,8,8,-6,1
01393,4,6,9,3,8,8,-6,1
01020,6,10,16,7,4,-4,1,6
01416,6,10,16,7,4,-4,1,6
01779,6,10,16,7,4,-4,1,6
01464,6,10,16,7,4,-4,1,6
01439,6,10,16,7,4,-4,1,6
01078,6,10,16,7,4,-4,1,6
01391,6,15,3,-8,-21,-16,8,15
01807,0,-2,2,3,5,10,-2,5
01498,0,-2,2,3,5,10,-2,5
01458,-3,-3,-5,-1,3,5,-6,-7
01061,-3,-3,-5,-1,3,5,-6,-7
01345,-12,3,2,-5,-29,-12,3,6
01561,-12,3,2,-5,-29,-12,3,6
01493,-12,3,2,-5,-29,-12,3,6
01318,2,13,8,3,-6,17,6,0
01142,2,13,8,3,-6,17,6,0
01774,2,13,8,3,-6,17,6,0
01705,2,13,8,3,-6,17,6,0
015360,2,13,8,3,-6,17,6,0
1483010,2,1,3,-3,-7,-7,3,1
8101506,-2,-26,2,-7,-22,-10,9,16
01872,-2,-26,2,-7,-22,-10,9,16
01580,-2,-26,2,-7,-22,-10,9,16
01524,-5,14,2,-7,-10,-34,-7,8
01165,-5,14,2,-7,-10,-34,-7,8
01332,-4,-3,0,1,1,-31,-4,4
01910,-4,-3,0,1,1,-31,-4,4
01594,-4,-3,0,1,1,-31,-4,4
01539,-4,-3,0,1,1,-31,-4,4
01182,-1,-4,-12,-7,5,39,5,-2
01398,-2,16,15,7,25,13,-5,-10
01916,-2,16,15,7,25,13,-5,-10
01600,-2,16,15,7,25,13,-5,-10
01536,-2,16,15,7,25,13,-5,-10
01240,-2,16,15,7,25,13,-5,-10
01396,6,38,21,1,-5,-5,0,1
0,6,38,21,1,-5,-5,0,1
1913,6,38,21,1,-5,-5,0,1
01525,-4,-3,-2,0,-3,2,-6,1
01303,-4,-3,-2,0,-3,2,-6,1
01188,-1,-17,-23,-4,4,-20,0,-4
01744,-1,-17,-23,-4,4,-20,0,-4
01715,-1,-17,-23,-4,4,-20,0,-4
01530,-1,-17,-23,-4,4,-20,0,-4
014780,1,5,0,1,5,39,5,3
10570,1,5,0,1,5,39,5,3
139001835,1,5,0,1,5,39,5,3
01526,1,5,0,1,5,39,5,3
01448,1,5,0,1,5,39,5,3
01158,1,5,0,1,5,39,5,3
01213,3,15,2,0,-6,9,7,7
01792,3,15,2,0,-6,9,7,7
01438,3,15,2,0,-6,9,7,7
01346,3,15,2,0,-6,9,7,7
0936,3,15,2,0,-6,9,7,7
01462,1,-3,-3,-2,-4,-16,-21,23
01549,1,-3,-3,-2,-4,-16,-21,23
01349,1,-3,-3,-2,-4,-16,-21,23
01267,1,-3,-3,-2,-4,-16,-21,23
0853,-2,7,-27,-8,-1,-5,13,-1
01364,-3,-12,1,1,-7,-19,7,-6
0,-3,-12,1,1,-7,-19,7,-6
1491,-3,-12,1,1,-7,-19,7,-6
01182,-3,-12,1,1,-7,-19,7,-6
0752,2,0,14,3,-2,14,-4,2
01069,-5,18,-3,3,8,0,3,-4
01517,-5,18,-3,3,8,0,3,-4
01192,-5,18,-3,3,8,0,3,-4
01110,-5,18,-3,3,8,0,3,-4
08730,-5,18,-3,3,8,0,3,-4
7340,0,-16,-1,-5,-2,-3,-14,-6
12940125,0,-16,-1,-5,-2,-3,-14,-6
701056,0,-16,-1,-5,-2,-3,-14,-6
0987,0,-16,-1,-5,-2,-3,-14,-6
0572,1,8,12,2,2,1,11,1
01016,2,-4,8,-2,-6,-2,2,2
01224,2,-4,8,-2,-6,-2,2,2
01002,2,-4,8,-2,-6,-2,2,2
0933,2,-4,8,-2,-6,-2,2,2
0495,2,3,24,4,3,14,10,-3
01011,2,3,24,4,3,14,10,-3
01153,2,3,24,4,3,14,10,-3
0912,2,3,24,4,3,14,10,-3
0865,2,3,24,4,3,14,10,-3
0423,2,3,24,4,3,14,10,-3
0870,-1,1,-46,-7,-1,-7,1,-1
01094,-1,1,-46,-7,-1,-7,1,-1
0853,-1,1,-46,-7,-1,-7,1,-1
0372,3,10,14,4,-1,-1,0,1
0678,-3,-10,9,-6,-2,-1,-7,-8
01157,-3,-10,9,-6,-2,-1,-7,-8
08440,-3,-10,9,-6,-2,-1,-7,-8
76705,-3,-10,9,-6,-2,-1,-7,-8
440402,-1,-3,-5,0,0,-6,-6,-8
0953,-3,-5,1,4,2,6,-1,4
0897,-3,-5,1,4,2,6,-1,4
0722,-3,-5,1,4,2,6,-1,4
0652,-3,-5,1,4,2,6,-1,4
0296,-3,-5,1,4,2,6,-1,4
0,1,1,11,0,-5,-13,-5,0
8960,1,1,11,0,-5,-13,-5,0
9060,1,1,11,0,-5,-13,-5,0
7110666,1,1,11,0,-5,-13,-5,0
0242,1,1,11,0,-5,-13,-5,0
0676,-1,3,1,3,0,6,1,0
0982,-1,3,1,3,0,6,1,0
0690,-1,3,1,3,0,6,1,0
0642,-1,3,1,3,0,6,1,0
0215,-1,3,1,3,0,6,1,0
0648,-3,3,-20,-10,-4,-5,-6,-5
0957,-3,3,-20,-10,-4,-5,-6,-5
0673,-3,3,-20,-10,-4,-5,-6,-5
0220,-3,3,-20,-10,-4,-5,-6,-5
0508,-1,3,8,4,0,-4,-2,0
0996,-1,3,8,4,0,-4,-2,0
0705,-1,3,8,4,0,-4,-2,0
0627,-1,3,8,4,0,-4,-2,0
04830,-3,1,-6,-2,-2,-1,2,-5
2260,0,-4,0,-2,3,4,1,0
7440,0,-4,0,-2,3,4,1,0
8340,0,-4,0,-2,3,4,1,0
6270599,0,-4,0,-2,3,4,1,0
0182,0,-4,0,-2,3,4,1,0
0603,1,1,-6,-5,0,-2,-1,-5
0916,1,1,-6,-5,0,-2,-1,-5
0631,1,1,-6,-5,0,-2,-1,-5
0594,1,1,-6,-5,0,-2,-1,-5
0219,1,1,-6,-5,0,-2,-1,-5
0523,1,1,-6,-5,0,-2,-1,-5
0941,1,1,-6,-5,0,-2,-1,-5
0628,-2,-2,4,4,-2,10,21,8
0575,-2,-2,4,4,-2,10,21,8
0209,-2,-4,-23,-5,0,1,-8,-1
0512,0,-5,3,0,-1,-5,-6,-6
0932,0,-5,3,0,-1,-5,-6,-6
0616,0,-5,3,0,-1,-5,-6,-6
0571,-1,2,2,3,1,0,-1,-1
0440,-2,-4,-4,-1,-1,2,4,5
0947,-2,-4,-4,-1,-1,2,4,5
0660,-2,-4,-4,-1,-1,2,4,5
0583,-2,-4,-4,-1,-1,2,4,5
0432,-2,-4,-4,-1,-1,2,4,5
01680,1,-1,7,-1,0,-2,-3,-3
6880,1,-1,7,-1,0,-2,-3,-3
841060,1,-1,7,-1,0,-2,-3,-3
1056,1,-1,7,-1,0,-2,-3,-3
00162,1,-4,4,0,-2,1,4,1
0486,-1,-18,0,-4,-1,-7,0,2
0923,-1,-18,0,-4,-1,-7,0,2
0617,-1,-18,0,-4,-1,-7,0,2
0564,-1,-18,0,-4,-1,-7,0,2
0204,1,-9,-2,-2,2,1,7,2
0426,0,-5,-10,-2,-2,1,-3,-1
0923,0,-5,-10,-2,-2,1,-3,-1
0613,0,-5,-10,-2,-2,1,-3,-1
0567,0,-5,-10,-2,-2,1,-3,-1
0210,0,-5,-10,-2,-2,1,-3,-1
0425,-1,2,-2,0,2,0,-3,0
0934,-1,2,-2,0,2,0,-3,0
0612,-1,2,-2,0,2,0,-3,0
0571,-1,2,-2,0,2,0,-3,0
0415,-3,4,-8,0,-2,-4,-7,-3
0936,-3,4,-8,0,-2,-4,-7,-3
0672,-3,4,-8,0,-2,-4,-7,-3
0579,-3,4,-8,0,-2,-4,-7,-3
0447,-3,4,-8,0,-2,-4,-7,-3
0166,-3,5,9,-3,-1,-1,-6,-6
067408,-3,5,9,-3,-1,-1,-6,-6
650,-3,5,9,-3,-1,-1,-6,-6
605056,-3,5,9,-3,-1,-1,-6,-6
90167,-3,5,9,-3,-1,-1,-6,-6
0422,-4,7,7,2,-1,0,-3,-9
0949,-4,7,7,2,-1,0,-3,-9
0627,-4,7,7,2,-1,0,-3,-9
0569,-4,7,7,2,-1,0,-3,-9
0228,0,-2,-2,3,0,-2,-2,-5
0413,0,-2,-2,3,0,-2,-2,-5
0950,0,-9,-7,-4,-3,-5,-2,-1
0631,0,-9,-7,-4,-3,-5,-2,-1
0569,0,-9,-7,-4,-3,-5,-2,-1
0230,0,-9,-7,-4,-3,-5,-2,-1
0416,0,-9,-7,-4,-3,-5,-2,-1
0948,-1,-3,-5,-2,-4,0,-4,-1
0637,-1,-3,-5,-2,-4,0,-4,-1
0575,-1,-3,-5,-2,-4,0,-4,-1
0230,-1,15,-10,1,0,0,-6,-6
0935,-1,15,-10,1,0,0,-6,-6
0624,-1,15,-10,1,0,0,-6,-6
0571,-1,15,-10,1,0,0,-6,-6
0293,-1,-4,-3,-3,1,2,-1,0
0414,-1,-4,-3,-3,1,2,-1,0
0939,-2,-6,-10,-5,-2,-1,4,2
0630,-2,-6,-10,-5,-2,-1,4,2
0581,-2,-6,-10,-5,-2,-1,4,2
0301,-2,-6,-10,-5,-2,-1,4,2
0412,2,2,-1,4,5,1,1,4
0954,2,2,-1,4,5,1,1,4
0635,2,2,-1,4,5,1,1,4
0575,2,2,-1,4,5,1,1,4
0297,2,2,-1,4,5,1,1,4
0348,2,5,-3,0,3,-3,-2,1
0939,0,-3,7,2,-6,2,-2,2
0637,0,-3,7,2,-6,2,-2,2
0577,0,-3,7,2,-6,2,-2,2
0302,0,-4,0,0,-1,-1,-4,-5
0349,0,-4,0,0,-1,-1,-4,-5
0943,0,0,-7,-2,2,-3,-1,2
0657,0,0,-7,-2,2,-3,-1,2
0558,0,0,-7,-2,2,-3,-1,2
0306,0,0,-7,-2,2,-3,-1,2
0955,-2,-2,-2,-1,2,2,2,-1
0659,-2,-2,-2,-1,2,2,2,-1
0577,-2,-2,-2,-1,2,2,2,-1
0424,-2,-2,-2,-1,2,2,2,-1
0192,-2,-2,3,-1,-2,3,-1,-7
0719,-2,-2,3,-1,-2,3,-1,-7
0836,-2,-2,3,-1,-2,3,-1,-7
06150,-2,-2,3,-1,-2,3,-1,-7
5750,-1,-1,-14,-6,-1,-2,-3,1
1980465,-2,-7,2,1,-1,-3,-5,-1
0958,1,9,2,-1,1,0,0,0
0611,1,9,2,-1,1,0,0,0
0572,1,9,2,-1,1,0,0,0
0196,1,9,2,-1,1,0,0,0
0527,-1,-6,0,-1,1,0,-1,-2
0953,-1,-6,0,-1,1,0,-1,-2
0630,-1,-6,0,-1,1,0,-1,-2
0572,-1,-6,0,-1,1,0,-1,-2
0204,-1,-6,0,-1,1,0,-1,-2
0456,-4,1,11,3,3,-4,0,2
0946,0,-5,-11,-5,-3,-8,-6,-5
0621,0,-5,-11,-5,-3,-8,-6,-5
0580,-1,4,2,-1,1,11,2,-2
0200,0,-1,8,2,-1,1,-2,-1
0519,-4,0,2,1,-4,-10,0,0
0642,-4,0,2,1,-4,-10,0,0
0588,-4,0,2,1,-4,-10,0,0
0329,-4,0,2,1,-4,-10,0,0
0279,-2,-3,-5,0,-2,-7,0,0
0853,-2,-3,-5,0,-2,-7,0,0
0760,-2,-3,-5,0,-2,-7,0,0
06000,-2,-3,-5,0,-2,-7,0,0
5530,-2,-3,-5,0,-2,-7,0,0
1470573,-1,-2,-1,-1,0,-8,-2,-9
0933,0,-2,-10,-3,-3,3,1,5
0636,0,-2,-10,-3,-3,3,1,5
0573,-2,1,7,-3,-3,-3,0,-2
0267,-2,1,7,-3,-3,-3,0,-2
0386,-2,1,7,-3,-3,-3,0,-2
0962,-1,-1,14,0,-1,-4,3,-1
0637,-1,-1,14,0,-1,-4,3,-1
0583,-1,-1,14,0,-1,-4,3,-1
0284,-1,-1,14,0,-1,-4,3,-1
0388,-2,-2,3,3,-2,4,-4,0
0955,-2,-2,3,3,-2,4,-4,0
0654,-2,-2,3,3,-2,4,-4,0
0591,-2,-2,3,3,-2,4,-4,0
0289,-2,-2,3,3,-2,4,-4,0
0454,-1,2,2,0,1,-1,-1,-5
0657,3,3,-4,-4,-1,5,2,-5
0588,1,-3,-1,1,0,-2,-2,-1
0402,1,-3,-1,1,0,-2,-2,-1
0217,1,-3,-1,1,0,-2,-2,-1
07780,-2,-1,-26,-5,-2,-3,-2,-5
831,-2,-1,-26,-5,-2,-3,-2,-5
06180,-2,-1,-26,-5,-2,-3,-2,-5
5920,1,-1,0,0,1,2,-5,2
186051,0,-5,6,-2,0,19,2,-4
80970,0,-5,6,-2,0,19,2,-4
0657,0,-5,6,-2,0,19,2,-4
0602,0,-5,6,-2,0,19,2,-4
0294,0,-5,6,-2,0,19,2,-4
0397,1,-3,2,-3,-6,-9,-2,2
0963,-3,5,5,-1,2,-5,5,3
0662,-3,5,5,-1,2,-5,5,3
0603,-3,5,5,-1,2,-5,5,3
0366,-4,7,3,3,3,-3,2,2
0394,-4,7,3,3,3,-3,2,2
0971,-3,-2,0,1,-7,-14,0,0
0669,-3,-2,0,1,-7,-14,0,0
0613,-3,-2,0,1,-7,-14,0,0
0312,-3,-2,-1,-3,0,7,-2,-9
0394,-3,2,3,-1,0,-8,1,-4
0635,-3,2,3,-1,0,-8,1,-4
0592,-3,2,3,-1,0,-8,1,-4
0212,-3,2,3,-1,0,-8,1,-4
0526,3,-3,7,2,6,1,-6,-1
0994,3,-3,7,2,6,1,-6,-1
0689,3,-3,7,2,6,1,-6,-1
0629,3,-3,7,2,6,1,-6,-1
04530,3,-3,7,2,6,1,-6,-1
253080,-3,-6,-7,-3,3,-2,-1,-3
20874,-1,-5,-1,-1,-1,13,-5,3
0655,-1,-5,-1,-1,-1,13,-5,3
0599,-1,-5,-1,-1,-1,13,-5,3
0204,-1,10,6,4,3,14,0,-5
0665,-1,10,6,4,3,14,0,-5
0941,-3,-30,-12,-4,2,6,-2,-1
0663,-3,-30,-12,-4,2,6,-2,-1
0627,-3,-30,-12,-4,2,6,-2,-1
0210,-3,-30,-12,-4,2,6,-2,-1
0747,-5,-8,-4,-3,0,-4,-2,-7
0951,-5,-8,-4,-3,0,-4,-2,-7
0696,-5,-8,-4,-3,0,-4,-2,-7
0654,-5,-8,-4,-3,0,-4,-2,-7
0230,-5,-8,-4,-3,0,-4,-2,-7
0698,-3,3,-4,-4,-11,8,-4,-10
0,0,-1,9,4,-1,18,0,5
976,0,-1,9,4,-1,18,0,5
0686,0,-1,9,4,-1,18,0,5
0262,0,-1,9,4,-1,18,0,5
0732,-5,-2,-7,-3,2,18,-4,-4
01021,-5,-2,-7,-3,2,18,-4,-4
0757,-5,-2,-7,-3,2,18,-4,-4
0720,-5,-2,-7,-3,2,18,-4,-4
0323,-5,-2,-7,-3,2,18,-4,-4
0767,3,20,7,-3,-18,-18,7,29
01066,3,20,7,-3,-18,-18,7,29
0800,3,20,7,-3,-18,-18,7,29
0758,3,20,7,-3,-18,-18,7,29
0343,3,20,7,-3,-18,-18,7,29
0816,0,-18,-6,-1,2,-17,2,-3
01143,1,-25,-3,-3,-1,1,0,-16
0846,1,-25,-3,-3,-1,1,0,-16
0818,1,-25,-3,-3,-1,1,0,-16
0399,1,-25,-3,-3,-1,1,0,-16
0787,0,-8,-5,0,6,-2,-3,15
01154,0,1,-2,0,-19,-10,1,3
0892,0,1,-2,0,-19,-10,1,3
0864,0,1,-2,0,-19,-10,1,3
0459,0,1,-2,0,-19,-10,1,3
0892,-2,6,5,2,3,47,3,2
01232,-2,6,5,2,3,47,3,2
0938,-2,6,5,2,3,47,3,2
0547,-2,6,5,2,3,47,3,2
0753,-4,3,-10,-2,-8,8,-13,3
01305,3,31,6,0,4,-39,-4,-9
01067,3,31,6,0,4,-39,-4,-9
0974,3,31,6,0,4,-39,-4,-9
08870,-5,-22,-7,5,10,5,11,3
571010,-5,-22,-7,5,10,5,11,3
810,2,34,13,3,0,-49,0,-4
12890106,2,34,13,3,0,-49,0,-4
801046,2,34,13,3,0,-49,0,-4
0649,2,34,13,3,0,-49,0,-4
01090,0,-1,4,-2,-4,-5,1,16
01446,0,-1,4,-2,-4,-5,1,16
01140,0,-1,4,-2,-4,-5,1,16
01109,0,-1,4,-2,-4,-5,1,16
0712,0,-1,4,-2,-4,-5,1,16
01089,0,-20,-11,1,5,14,2,-24
01518,2,19,5,2,3,60,3,2
01219,2,19,5,2,3,60,3,2
01188,2,19,5,2,3,60,3,2
0799,-1,7,13,1,-6,-20,1,1
01157,-1,7,13,1,-6,-20,1,1
01598,-7,-18,10,4,-11,-23,-2,-16
01,-7,-18,10,4,-11,-23,-2,-16
