Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-5,0,-5,1,12,23,2,-4
01760,-5,0,-5,1,12,23,2,-4
01709,-3,-9,-22,-8,-12,1,-6,-3
01327,-3,-9,-22,-8,-12,1,-6,-3
01619,-1,-2,-6,-8,-1,31,-11,8
01783,-2,21,12,-6,-19,-27,10,9
01726,-2,21,12,-6,-19,-27,10,9
01509,-2,21,12,-6,-19,-27,10,9
013820,-2,21,12,-6,-19,-27,10,9
19420,-2,21,12,-6,-19,-27,10,9
19270173,3,-16,-9,-2,-10,-14,-6,2
301690,3,-16,-9,-2,-10,-14,-6,2
01278,3,-16,-9,-2,-10,-14,-6,2
01727,3,-16,-9,-2,-10,-14,-6,2
02037,-5,-9,-12,0,2,-11,5,6
01751,0,-1,-3,-1,7,2,5,-2
01704,0,-1,-3,-1,7,2,5,-2
01284,0,-1,-3,-1,7,2,5,-2
01727,0,-1,-3,-1,7,2,5,-2
02048,-6,-9,4,-1,-18,-21,-6,-17
01759,0,-2,-4,4,14,-11,-3,-2
01724,0,-2,-4,4,14,-11,-3,-2
01294,0,-2,-4,4,14,-11,-3,-2
01657,0,-2,-4,4,14,-11,-3,-2
02052,0,-2,-4,4,14,-11,-3,-2
01764,-4,-7,-7,2,10,-9,-6,-5
01725,-1,2,-4,-4,-7,-4,-2,8
01305,-1,2,-4,-4,-7,-4,-2,8
0,3,10,9,-12,-41,-33,0,7
1724,3,10,9,-12,-41,-33,0,7
01775,0,4,-4,0,8,-4,-16,18
01732,0,4,-4,0,8,-4,-16,18
01430,0,4,-4,0,8,-4,-16,18
01480,0,4,-4,0,8,-4,-16,18
02052,3,23,11,-8,-14,-11,-2,2
01845,-6,-7,-2,1,-28,-13,1,-12
017430,-6,-7,-2,1,-28,-13,1,-12
16580,-6,-7,-2,1,-28,-13,1,-12
13120179,-6,-7,-2,1,-28,-13,1,-12
402019,-6,-7,-2,1,-28,-13,1,-12
01771,-6,-7,-2,1,-28,-13,1,-12
01733,-6,-7,-2,1,-28,-13,1,-12
01349,2,-8,-13,-7,8,19,-5,0
01726,4,-3,-20,7,18,19,2,-4
02077,4,-3,-20,7,18,19,2,-4
01779,-1,-6,4,1,-5,20,1,-5
01738,-1,-6,4,1,-5,20,1,-5
01346,-1,-6,4,1,-5,20,1,-5
01664,-1,-6,4,1,-5,20,1,-5
02105,2,-5,-8,-5,1,8,9,-4
01784,-2,-1,1,4,9,-6,-8,2
01721,-2,-1,1,4,9,-6,-8,2
01315,-2,-1,1,4,9,-6,-8,2
01848,-2,-1,1,4,9,-6,-8,2
01772,1,29,10,-12,-12,-24,13,9
01732,1,29,10,-12,-12,-24,13,9
01364,1,29,10,-12,-12,-24,13,9
01591,-5,-10,-8,7,16,9,-6,-6
02116,-5,-10,-8,7,16,9,-6,-6
01832,-3,-18,-15,-10,-6,46,-11,6
017480,-3,-18,-15,-10,-6,46,-11,6
16380,-3,-18,-15,-10,-6,46,-11,6
13680,-3,-18,-15,-10,-6,46,-11,6
190101996,4,-8,-4,2,4,-12,2,1
01773,4,-8,-4,2,4,-12,2,1
01722,4,-8,-4,2,4,-12,2,1
01308,4,-8,-4,2,4,-12,2,1
01763,4,-8,-4,2,4,-12,2,1
02046,4,-8,-4,2,4,-12,2,1
01773,-1,-31,10,-1,-7,8,-5,0
01735,-3,4,6,14,23,17,-5,-4
01318,-3,4,6,14,23,17,-5,-4
01773,2,29,2,-1,1,12,13,12
02062,2,29,2,-1,1,12,13,12
01783,2,29,2,-1,1,12,13,12
01741,2,29,2,-1,1,12,13,12
01324,-1,5,-19,-14,-7,-8,6,-5
01774,-1,5,-19,-14,-7,-8,6,-5
02,0,8,16,8,-5,-4,-5,-9
080,8,-3,4,4,12,-15,1,-1
01760,8,-3,4,4,12,-15,1,-1
01401,8,-3,4,4,12,-15,1,-1
01591,8,-3,4,4,12,-15,1,-1
02124,8,-3,4,4,12,-15,1,-1
01871,2,-7,-5,-7,-8,-4,12,6
01776,2,-7,-5,-7,-8,-4,12,6
016700,2,-7,-5,-7,-8,-4,12,6
13500,0,-24,-6,0,1,22,-3,-3
190902039,0,-24,-6,0,1,22,-3,-3
01800,3,-25,5,13,14,1,-2,0
01758,3,-25,5,13,14,1,-2,0
01339,3,-25,5,13,14,1,-2,0
01707,3,-25,5,13,14,1,-2,0
02094,-3,4,-5,-2,4,12,-9,1
01811,2,2,-1,5,2,-24,1,2
01747,2,2,-1,5,2,-24,1,2
01346,2,2,-1,5,2,-24,1,2
01891,2,2,-1,5,2,-24,1,2
02002,2,2,-1,5,2,-24,1,2
01796,-1,28,16,5,-7,-14,12,3
01725,-1,28,16,5,-7,-14,12,3
01349,-1,28,16,5,-7,-14,12,3
01900,5,14,7,-8,-7,24,20,-2
02007,5,14,7,-8,-7,24,20,-2
01749,-5,10,2,-4,4,1,-13,-2
01328,-5,10,2,-4,4,1,-13,-2
01750,-5,10,2,-4,4,1,-13,-2
02132,0,-17,-14,-11,-13,7,-3,-5
01820,0,-17,-14,-11,-13,7,-3,-5
01765,0,-17,-14,-11,-13,7,-3,-5
01480,0,-17,-14,-11,-13,7,-3,-5
01506,0,-17,-14,-11,-13,7,-3,-5
020700,0,-17,-14,-11,-13,7,-3,-5
1913017,-4,-5,13,2,-3,-24,-2,1
75016,-4,-5,13,2,-3,-24,-2,1
970,-4,-5,13,2,-3,-24,-2,1
13280,-5,1,-2,1,-5,-20,1,-7
187002,-3,1,-8,-4,2,40,4,8
05901,-3,1,-8,-4,2,40,4,8
79901765,2,4,-10,-2,-2,7,10,0
01369,2,4,-10,-2,-2,7,10,0
01677,2,4,-10,-2,-2,7,10,0
02129,2,1,-7,6,20,60,11,-3
01808,1,2,8,-2,-1,11,11,-21
01754,1,2,8,-2,-1,11,11,-21
01371,1,2,8,-2,-1,11,11,-21
01599,1,2,8,-2,-1,11,11,-21
0,1,2,8,-2,-1,11,11,-21
212801,2,-4,-5,-5,-7,10,-13,16
812,-4,-9,-7,6,14,-2,-15,-12
01472,-4,-9,-7,6,14,-2,-15,-12
01467,-4,-9,-7,6,14,-2,-15,-12
02026,2,7,-2,-2,15,-7,-10,6
01863,2,7,-2,-2,15,-7,-10,6
01749,-4,-16,-21,-3,-13,-41,-16,-2
01675,-4,-16,-21,-3,-13,-41,-16,-2
01293,-4,-16,-21,-3,-13,-41,-16,-2
01740,-4,-16,-21,-3,-13,-41,-16,-2
020670,-1,12,7,3,11,-9,-1,0
17630,-1,12,7,3,11,-9,-1,0
171901387,-1,12,7,3,11,-9,-1,0
01475,-1,12,7,3,11,-9,-1,0
02068,-1,12,7,3,11,-9,-1,0
01806,-1,12,7,3,11,-9,-1,0
01695,-1,12,7,3,11,-9,-1,0
01496,-1,-5,1,3,-6,-4,3,-5
01398,1,4,14,2,-4,9,-8,0
02017,3,6,4,1,3,-37,2,4
01813,3,6,4,1,3,-37,2,4
01680,0,0,13,4,-3,3,1,7
01526,0,0,13,4,-3,3,1,7
01322,0,0,13,4,-3,3,1,7
01995,0,0,13,4,-3,3,1,7
01798,0,0,13,4,-3,3,1,7
0,0,0,13,4,-3,3,1,7
1668,5,-1,0,-2,5,-3,-13,-3
01257,5,-1,0,-2,5,-3,-13,-3
01787,0,-17,-1,5,4,12,-6,-2
01921,3,-2,-5,-6,5,23,17,9
01679,3,-2,-5,-6,5,23,17,9
01625,3,-2,-5,-6,5,23,17,9
012310,3,-2,-5,-6,5,23,17,9
14940,3,-2,-5,-6,5,23,17,9
19940,3,-2,-5,-6,5,23,17,9
17030,-5,-10,1,3,-2,-17,3,0
162401427,-5,-10,1,3,-2,-17,3,0
01246,-5,-10,1,3,-2,-17,3,0
01858,-2,2,2,-2,-1,4,6,2
01741,1,15,-10,-2,8,2,-4,-4
01604,1,15,-10,-2,8,2,-4,-4
01346,1,15,-10,-2,8,2,-4,-4
01322,1,15,-10,-2,8,2,-4,-4
01924,1,15,-10,-2,8,2,-4,-4
01649,-4,5,8,-12,-11,-9,-7,-4
01566,-4,5,8,-12,-11,-9,-7,-4
01322,-4,5,8,-12,-11,-9,-7,-4
01277,-4,5,8,-12,-11,-9,-7,-4
01876,-4,5,8,-12,-11,-9,-7,-4
01601,-4,5,8,-12,-11,-9,-7,-4
01505,-3,-15,-29,-12,-15,-6,3,4
0,-3,-15,-29,-12,-15,-6,3,4
121001,-3,-15,-29,-12,-15,-6,3,4
7730157,0,-1,6,3,-11,8,-13,-8
001449,0,-1,6,3,-11,8,-13,-8
01350,0,-1,6,3,-11,8,-13,-8
0990,0,-1,6,3,-11,8,-13,-8
01449,0,-1,6,3,-11,8,-13,-8
01689,-1,-1,-44,-8,4,4,13,-4
01410,-1,-1,-44,-8,4,4,13,-4
01353,-1,-1,-44,-8,4,4,13,-4
010090,-1,-1,-44,-8,4,4,13,-4
11130,-1,-1,-44,-8,4,4,13,-4
165701,-1,-1,-44,-8,4,4,13,-4
3920,0,3,3,6,-1,15,7,3
129101161,0,3,3,6,-1,15,7,3
0881,0,3,3,6,-1,15,7,3
01467,0,3,3,6,-1,15,7,3
01424,0,3,3,6,-1,15,7,3
01222,0,3,3,6,-1,15,7,3
01131,-3,-1,-55,-8,-2,3,-2,-5
0797,2,-2,20,6,1,1,26,3
01323,2,-2,20,6,1,1,26,3
01362,-3,9,-14,-5,-19,-1,-14,-1
01150,-3,9,-14,-5,-19,-1,-14,-1
