Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-1,1,-1,-1,1,-1,-1,0
01889,-2,0,-11,-9,-1,-2,0,-1
01637,-5,-4,3,6,-4,-5,-4,-4
02251,-5,-4,3,6,-4,-5,-4,-4
01932,-5,-4,3,6,-4,-5,-4,-4
0,-5,-4,3,6,-4,-5,-4,-4
1889,-2,0,-1,3,-1,-3,-2,0
01760,-3,-2,-3,-2,1,5,0,-2
02245,-3,-2,-3,-2,1,5,0,-2
01971,0,-2,-3,-2,-1,1,0,-2
01897,3,-1,3,3,-1,-1,0,3
01756,3,-1,3,3,-1,-1,0,3
01490,3,-1,3,3,-1,-1,0,3
020920,3,-1,3,3,-1,-1,0,3
21240,3,-1,3,3,-1,-1,0,3
191201,-1,-1,-8,-9,-5,0,-2,-1
8680145,-1,-1,-8,-9,-5,0,-2,-1
501827,-1,-1,-8,-9,-5,0,-2,-1
02251,-1,-1,-8,-9,-5,0,-2,-1
01936,-1,-1,-8,-9,-5,0,-2,-1
01881,-1,-1,-8,-9,-5,0,-2,-1
01487,-1,-1,-8,-9,-5,0,-2,-1
01820,-1,-1,-8,-9,-5,0,-2,-1
02260,-1,-1,-8,-9,-5,0,-2,-1
01943,-1,-1,-8,-9,-5,0,-2,-1
01887,-1,-1,-8,-9,-5,0,-2,-1
01476,-1,-1,-8,-9,-5,0,-2,-1
01768,-1,-1,-1,4,1,-2,-3,-1
02267,-2,-2,3,-5,-2,0,0,-2
01940,-2,-2,3,-5,-2,0,0,-2
01880,4,1,-6,-1,1,2,0,2
01761,-1,1,1,4,1,3,-1,-2
02270,-1,1,1,4,1,3,-1,-2
01951,-1,1,1,4,1,3,-1,-2
01893,-1,1,1,4,1,3,-1,-2
01696,-4,-4,0,1,-1,2,-1,0
01542,-3,-2,-2,-1,-4,-1,-1,-1
02101,-3,-2,-2,-1,-4,-1,-1,-1
021160,-2,-2,-3,-5,-1,0,-1,1
19140,-1,1,-2,0,-1,-1,-3,-3
18700,-1,1,-2,0,-1,-1,-3,-3
14570182,-1,1,-2,0,-1,-1,-3,-3
802274,-1,1,-2,0,-1,-1,-3,-3
01943,-1,1,-2,0,-1,-1,-3,-3
01897,-2,-4,-5,-18,-6,-5,-2,0
01533,-2,-4,-5,-18,-6,-5,-2,0
01777,-2,-4,-5,-18,-6,-5,-2,0
02271,-2,-4,-5,-18,-6,-5,-2,0
01943,2,-2,1,2,-2,-2,-1,-2
01887,-2,0,4,4,1,0,-1,-1
01524,-2,0,4,4,1,0,-1,-1
01781,-2,0,4,4,1,0,-1,-1
02271,-2,0,4,4,1,0,-1,-1
01955,-2,0,4,4,1,0,-1,-1
01901,-4,-1,2,1,-1,-2,-1,-3
0,-4,-1,2,1,-1,-2,-1,-3
1529,-4,-1,2,1,-1,-2,-1,-3
02268,-4,-1,2,1,-1,-2,-1,-3
01973,-4,-1,2,1,-1,-2,-1,-3
01898,-1,0,2,-4,-1,-1,-3,0
01750,-1,0,-4,5,1,0,-3,-3
01506,-1,0,-4,5,1,0,-3,-3
020370,-1,0,-4,5,1,0,-3,-3
21630,-2,-2,1,1,0,-3,-2,1
19230,-2,-2,1,1,0,-3,-2,1
1883,-1,1,-1,-1,-3,-4,0,-1
01479,-1,1,-1,-1,-3,-4,0,-1
017760,-1,1,-1,-1,-3,-4,0,-1
22690,-1,1,-1,-1,-3,-4,0,-1
19530189,1,-2,4,6,1,0,-1,2
401635,1,-2,4,6,1,0,-1,2
01604,1,-2,4,6,1,0,-1,2
02225,1,-2,4,6,1,0,-1,2
02027,1,-2,4,6,1,0,-1,2
01898,-1,1,4,2,0,-3,1,-2
01755,2,0,2,1,-1,-1,0,2
01778,2,0,2,1,-1,-1,0,2
02270,2,0,2,1,-1,-1,0,2
01951,1,-4,4,5,0,0,-1,-1
01895,-3,-2,-1,-4,0,2,0,1
01569,-3,-2,-1,-4,0,2,0,1
01708,-3,-2,-1,-4,0,2,0,1
01971,-3,-2,-1,-4,0,2,0,1
01901,-1,2,0,1,0,-2,0,-2
01746,0,-1,-1,1,0,0,1,-2
01508,0,-1,-1,1,0,0,1,-2
02032,0,-1,-1,1,0,0,1,-2
021460,0,-1,-1,1,0,0,1,-2
19110,-1,-3,-1,-2,-4,1,-1,1
18720,-2,-1,-4,-7,-3,-2,-1,-3
14690178,-2,-1,-4,-7,-3,-2,-1,-3
002256,-2,-1,-4,-7,-3,-2,-1,-3
01953,1,-3,-2,-1,-2,-1,-1,0
01891,-3,0,3,3,1,-1,-5,-1
01567,-3,0,3,3,1,-1,-5,-1
01727,-3,0,3,3,1,-1,-5,-1
02258,-3,0,3,3,1,-1,-5,-1
01966,-3,0,3,3,1,-1,-5,-1
01891,-1,1,0,1,-3,-3,0,-3
01564,0,-2,-11,-2,-2,0,-1,-1
01661,0,-2,-11,-2,-2,0,-1,-1
02250,0,-2,-11,-2,-2,0,-1,-1
01957,0,-2,-11,-2,-2,0,-1,-1
01894,0,-2,-11,-2,-2,0,-1,-1
01618,-3,1,5,2,1,-1,0,-2
01666,-3,1,5,2,1,-1,0,-2
01987,-4,0,-1,1,-2,-3,-1,-2
01901,-4,0,-1,1,-2,-3,-1,-2
01787,-4,0,-1,1,-2,-3,-1,-2
01478,-4,0,-1,1,-2,-3,-1,-2
01977,1,-1,-3,-2,-3,-1,-1,0
021400,1,-1,-3,-2,-3,-1,-1,0
19090,-4,-1,-3,-3,-1,-5,-1,-6
187401,-4,-1,-3,-3,-1,-5,-1,-6
4980172,-4,-1,-3,-3,-1,-5,-1,-6
102261,-4,-1,-3,-3,-1,-5,-1,-6
01960,-4,-1,-3,-3,-1,-5,-1,-6
01888,-2,-4,0,2,0,1,-4,-2
01619,0,-3,-3,-2,0,-2,-3,-1
01671,0,-3,-3,-2,0,-2,-3,-1
02255,0,-3,-3,-2,0,-2,-3,-1
01957,3,3,0,1,2,1,1,0
01901,3,3,0,1,2,1,1,0
01613,1,-3,-5,-5,-3,-1,1,-2
01667,1,-3,-5,-5,-3,-1,1,-2
02254,1,-3,-5,-5,-3,-1,1,-2
01986,1,-3,-5,-5,-3,-1,1,-2
01888,1,0,-3,-5,-2,-1,-1,1
01666,-2,-3,4,5,1,6,-1,-1
01673,-2,-3,4,5,1,6,-1,-1
0,-2,-3,4,5,1,6,-1,-1
2249,-2,-3,4,5,1,6,-1,-1
01899,-2,-3,4,5,1,6,-1,-1
01789,1,-1,-1,-2,-2,-3,1,2
01519,1,-1,-1,-2,-2,-3,1,2
02060,1,-1,-1,-2,-2,-3,1,2
02150,-2,-5,-3,-3,-6,-9,-1,1
019190,-2,-5,-3,-3,-6,-9,-1,1
18920,-3,0,-2,-1,-1,0,-2,-3
15040,-3,0,-2,-1,-1,0,-2,-3
17960,-3,0,-2,-1,-1,0,-2,-3
227401963,-3,0,-2,-1,-1,0,-2,-3
01897,-1,-1,2,-1,1,-2,-3,0
01618,-1,-1,2,-1,1,-2,-3,0
01625,-1,-1,2,-1,1,-2,-3,0
02242,-1,-1,2,-1,1,-2,-3,0
02012,-1,-1,2,-1,1,-2,-3,0
01901,-1,0,1,0,1,7,1,-3
01687,0,0,-3,0,0,1,1,2
01683,0,0,-3,0,0,1,1,2
02248,0,0,-3,0,0,1,1,2
02005,1,-2,1,-3,-5,4,2,2
01915,1,-2,1,-3,-5,4,2,2
01685,2,-1,2,-3,0,-1,-1,0
01647,2,-1,2,-3,0,-1,-1,0
02259,2,-1,2,-3,0,-1,-1,0
02032,2,-1,2,-3,0,-1,-1,0
01804,-3,1,-1,0,-2,-1,-1,0
01515,-3,1,-1,0,-2,-1,-1,0
02029,2,-2,2,-1,-3,-2,0,4
02169,2,-2,2,-1,-3,-2,0,4
01955,0,2,-3,-2,2,-3,0,-4
019280,-3,-1,0,-2,1,-5,0,-3
15340,-3,-1,0,-2,1,-5,0,-3
17800,-3,-1,0,-2,1,-5,0,-3
