Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,0,3,3,-2,-17,-4,-3
0937,0,0,3,3,-2,-17,-4,-3
01249,-2,1,-2,-1,1,9,-7,-1
01675,2,-4,0,0,3,12,20,0
01353,2,-4,0,0,3,12,20,0
01304,2,-4,0,0,3,12,20,0
0936,2,-4,0,0,3,12,20,0
01118,2,-4,0,0,3,12,20,0
01679,1,4,-4,0,0,-5,-12,1
01362,1,4,-4,0,0,-5,-12,1
01297,-2,0,5,-6,-8,-9,-11,-5
0940,-2,0,5,-6,-8,-9,-11,-5
01167,-2,0,5,-6,-8,-9,-11,-5
01670,-2,0,5,-6,-8,-9,-11,-5
01346,0,1,-7,2,1,-5,-6,4
01292,0,1,-7,2,1,-5,-6,4
0933,0,1,-7,2,1,-5,-6,4
01167,0,-2,4,-4,-7,1,-2,1
01674,-2,-3,16,-5,-6,-7,2,-3
01353,-2,-3,16,-5,-6,-7,2,-3
01296,-2,-3,16,-5,-6,-7,2,-3
0945,-2,-3,16,-5,-6,-7,2,-3
01106,-2,-3,16,-5,-6,-7,2,-3
01681,0,0,-6,-1,1,7,-4,-2
01299,0,0,-6,-1,1,7,-4,-2
01067,0,0,-6,-1,1,7,-4,-2
0983,0,0,-6,-1,1,7,-4,-2
01553,0,0,-6,-1,1,7,-4,-2
01499,-2,-1,-1,1,3,0,6,0
01321,-1,0,1,0,-2,5,-14,-4
012760,-1,0,1,0,-2,5,-14,-4
8800,-4,-3,0,1,-1,7,4,-1
12780166,1,0,-1,1,2,-2,6,-1
401362,1,0,-1,1,2,-2,6,-1
01305,1,0,-1,1,2,-2,6,-1
0957,1,0,-1,1,2,-2,6,-1
01088,1,0,-1,1,2,-2,6,-1
01678,-1,1,-6,5,0,-10,-3,-2
01352,-1,-3,-1,-6,-6,-13,0,2
01297,-1,-3,-1,-6,-6,-13,0,2
01022,-1,-3,-1,-6,-6,-13,0,2
01087,-1,-3,-1,-6,-6,-13,0,2
01670,-1,-3,-1,-6,-6,-13,0,2
01377,-2,-1,0,10,1,12,4,-4
01308,0,1,-18,4,4,2,-9,-1
01035,0,1,-18,4,4,2,-9,-1
01089,0,1,-18,4,4,2,-9,-1
01674,-4,1,23,0,-4,-3,-2,-2
0,-4,1,23,0,-4,-3,-2,-2
1387,-4,1,23,0,-4,-3,-2,-2
01098,-4,1,23,0,-4,-3,-2,-2
0978,-4,1,23,0,-4,-3,-2,-2
01542,0,-4,-12,-8,-4,-5,5,3
01473,-2,-1,-4,-6,-2,0,-7,1
01323,-2,-1,-4,-6,-2,0,-7,1
01279,-2,-1,-4,-6,-2,0,-7,1
08650,-2,-1,-4,-6,-2,0,-7,1
12570,-2,-1,-4,-6,-2,0,-7,1
1677013,-1,-3,-9,-1,-2,3,2,-1
5201303,-1,-3,-9,-1,-2,3,2,-1
01054,-1,-3,-9,-1,-2,3,2,-1
01077,3,1,0,2,1,-5,3,-1
01638,3,1,0,2,1,-5,3,-1
01385,2,4,0,4,0,-8,-4,-1
01315,2,4,0,4,0,-8,-4,-1
01117,2,4,0,4,0,-8,-4,-1
01022,2,4,0,4,0,-8,-4,-1
01643,-3,-4,-6,-4,-8,-14,-8,-5
01417,-1,-2,-1,1,4,-9,1,-1
01323,-1,-2,-1,1,4,-9,1,-1
0,-1,-2,-1,1,4,-9,1,-1
112309,-1,-2,-1,1,4,-9,1,-1
7101528,-1,-2,-1,1,4,-9,1,-1
01500,-2,-1,0,-12,-4,6,13,-5
013320,-2,-1,0,-12,-4,6,13,-5
8910,-2,-1,0,-12,-4,6,13,-5
13860,-2,-1,0,-12,-4,6,13,-5
164201363,-2,-1,0,-12,-4,6,13,-5
01329,0,1,1,4,2,-10,-2,-1
0966,0,0,9,8,5,-9,-8,-2
01202,0,0,9,8,5,-9,-8,-2
01705,0,0,9,8,5,-9,-8,-2
01399,0,0,9,8,5,-9,-8,-2
01332,2,-1,-1,-3,-4,8,26,3
0978,-1,1,-3,-6,-5,-5,-2,1
01204,-1,1,-3,-6,-5,-5,-2,1
01705,-1,1,-3,-6,-5,-5,-2,1
01400,-1,1,-3,-6,-5,-5,-2,1
01331,-1,1,-3,-6,-5,-5,-2,1
0,0,-4,-10,-1,-4,8,-1,4
9770,0,0,3,-1,-1,-6,4,-5
113601686,0,0,3,-1,-1,-6,4,-5
01450,0,0,3,-1,-1,-6,4,-5
01347,-1,0,7,2,8,-5,-15,-7
01165,-1,0,7,2,8,-5,-15,-7
01031,-1,0,7,2,8,-5,-15,-7
01599,0,-1,2,6,5,9,7,-1
01495,0,-1,2,6,5,9,7,-1
01357,0,-2,0,0,0,1,6,1
0948,0,-2,0,0,0,1,6,1
01529,0,-2,0,0,0,1,6,1
01592,-2,-1,0,0,3,2,-8,-1
01379,-1,-2,-1,-1,-3,9,6,2
01347,-1,-2,-1,-1,-3,9,6,2
0962,-2,1,7,-1,-3,11,-15,-2
011990,-2,1,7,-1,-3,11,-15,-2
17240,-2,1,7,-1,-3,11,-15,-2
142001,-2,1,7,-1,-3,11,-15,-2
36601196,-2,1,7,-1,-3,11,-15,-2
01040,-2,1,7,-1,-3,11,-15,-2
01659,0,-4,-3,3,-3,-17,2,0
01518,0,-4,-3,3,-3,-17,2,0
01377,1,1,3,1,-3,0,-16,2
01254,1,-1,-1,0,0,-11,11,0
0987,1,-1,-1,0,0,-11,11,0
01606,1,-1,-1,0,0,-11,11,0
01527,-1,-3,-6,-1,-2,-15,-5,-1
01390,-1,-3,-4,-3,0,5,-4,-2
01309,-1,-3,-4,-3,0,5,-4,-2
0990,-1,-3,-4,-3,0,5,-4,-2
01606,-2,0,1,0,1,-2,18,0
01544,-2,0,1,0,1,-2,18,0
01393,-4,-2,1,-12,-4,-10,-2,-4
0,-4,-2,1,-12,-4,-10,-2,-4
1283,-4,-2,1,-12,-4,-10,-2,-4
01537,-3,-3,-1,-3,5,13,0,-1
