Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-11,-6,-22,-21,4,-13,-5,-14
01195,-3,-11,0,10,-3,5,4,-3
01034,-3,-11,0,10,-3,5,4,-3
0865,-17,-10,-51,-8,-15,10,-22,2
0702,-17,-10,-51,-8,-15,10,-22,2
01313,-17,-10,-51,-8,-15,10,-22,2
01100,7,14,17,-7,-1,2,-6,2
01007,14,13,46,3,7,-3,27,-14
0834,14,13,46,3,7,-3,27,-14
0666,14,13,46,3,7,-3,27,-14
01322,14,13,46,3,7,-3,27,-14
01073,14,13,46,3,7,-3,27,-14
0977,-1,3,8,-1,1,-9,4,4
0808,-1,3,8,-1,1,-9,4,4
0623,-1,3,8,-1,1,-9,4,4
01240,-1,3,8,-1,1,-9,4,4
01067,0,-20,-19,-13,8,5,-2,2
0941,0,-20,-19,-13,8,5,-2,2
0776,-4,-1,-4,-2,-7,10,-12,5
0585,-4,-1,-4,-2,-7,10,-12,5
01193,-4,-1,-4,-2,-7,10,-12,5
01034,-4,-1,-4,-2,-7,10,-12,5
0902,-4,-1,-4,-2,-7,10,-12,5
0504,-1,8,24,4,-3,-3,3,-8
01015,-1,8,24,4,-3,-3,3,-8
01127,-1,8,24,4,-3,-3,3,-8
0887,0,-9,-47,8,-3,-4,4,-1
0845,0,-9,-47,8,-3,-4,4,-1
0431,0,-9,-47,8,-3,-4,4,-1
0718,0,-9,-47,8,-3,-4,4,-1
01204,-7,1,42,9,3,7,2,-3
0894,-7,1,42,9,3,7,2,-3
08220,-4,3,7,5,2,-8,11,-2
67204,-4,3,7,5,2,-8,11,-2
090931,-4,3,7,5,2,-8,11,-2
01062,-4,3,7,5,2,-8,11,-2
0808,-4,3,7,5,2,-8,11,-2
0755,-4,3,7,5,2,-8,11,-2
0342,5,-14,26,-1,2,2,3,-3
0828,5,-14,26,-1,2,2,3,-3
01043,5,-14,26,-1,2,2,3,-3
0785,-8,18,-22,-8,-5,3,-17,-3
0749,-8,18,-22,-8,-5,3,-17,-3
0319,-8,18,-22,-8,-5,3,-17,-3
0807,-8,18,-22,-8,-5,3,-17,-3
01029,9,-6,-22,3,9,-9,23,-2
0778,9,-6,-22,3,9,-9,23,-2
0736,9,-6,-22,3,9,-9,23,-2
0672,-1,0,-15,-2,-7,13,-11,-1
01123,-1,0,-15,-2,-7,13,-11,-1
0796,-3,-10,4,-2,-11,-6,-10,-5
0739,-3,-10,4,-2,-11,-6,-10,-5
0513,-3,-10,4,-2,-11,-6,-10,-5
04290,-3,-10,4,-2,-11,-6,-10,-5
9920,-3,-10,4,-2,-11,-6,-10,-5
9310,2,-11,21,5,-1,-10,5,-6
7530714,2,-11,21,5,-1,-10,5,-6
0293,2,-11,21,5,-1,-10,5,-6
0771,2,-11,21,5,-1,-10,5,-6
0972,2,-11,21,5,-1,-10,5,-6
0750,2,-11,21,5,-1,-10,5,-6
0687,0,2,10,2,0,-2,3,1
0298,0,2,10,2,0,-2,3,1
0825,0,2,10,2,0,-2,3,1
0969,-5,-2,-1,-9,-10,-2,-2,-3
0740,2,3,22,-4,0,0,-5,1
0,2,3,22,-4,0,0,-5,1
6880,2,3,22,-4,0,0,-5,1
2880746,2,3,22,-4,0,0,-5,1
01057,2,3,22,-4,0,0,-5,1
0756,2,3,22,-4,0,0,-5,1
0711,2,3,22,-4,0,0,-5,1
0335,-1,5,7,2,1,-10,8,12
01093,-1,5,7,2,1,-10,8,12
0794,-1,5,7,2,1,-10,8,12
0724,-7,-13,6,1,1,3,-1,-1
0512,3,-12,-21,3,1,-2,0,-5
0388,3,-12,-21,3,1,-2,0,-5
09440,3,-12,-21,3,1,-2,0,-5
9300,-2,1,3,-6,-5,10,-14,-1
74207,-2,1,3,-6,-5,10,-14,-1
060281,-2,1,3,-6,-5,10,-14,-1
0670,-2,1,3,-6,-5,10,-14,-1
01071,-2,1,3,-6,-5,10,-14,-1
0757,7,-1,-14,-1,2,1,18,10
0717,-6,3,-8,-7,-7,0,-23,-7
0341,-6,3,-8,-7,-7,0,-23,-7
0603,-6,3,-8,-7,-7,0,-23,-7
01094,-6,3,-8,-7,-7,0,-23,-7
0765,-6,3,-8,-7,-7,0,-23,-7
0715,-1,5,-7,-14,-3,0,-2,6
0343,-1,5,-7,-14,-3,0,-2,6
0596,-1,5,-7,-14,-3,0,-2,6
01088,-1,5,-7,-14,-3,0,-2,6
0765,1,-15,-9,-1,-6,0,-5,-9
0713,1,-15,-9,-1,-6,0,-5,-9
0353,1,-15,-9,-1,-6,0,-5,-9
01091,1,-15,-9,-1,-6,0,-5,-9
0781,3,-4,9,4,-4,-1,1,-2
0722,-1,-9,56,8,1,4,-14,6
0534,-1,-9,56,8,1,4,-14,6
0365,-1,-9,56,8,1,4,-14,6
0914,-1,-9,56,8,1,4,-14,6
09480,-1,-9,56,8,1,4,-14,6
7400,0,-29,-13,2,-9,-8,-1,2
7070314,2,24,2,-7,3,4,5,-2
0649,2,24,2,-7,3,4,5,-2
01046,2,24,2,-7,3,4,5,-2
0745,3,-5,-11,0,3,1,10,-2
0708,3,-5,-11,0,3,1,10,-2
0292,3,-5,-11,0,3,1,10,-2
0765,3,-5,-11,0,3,1,10,-2
01003,3,-5,-11,0,3,1,10,-2
0751,-5,-4,2,2,0,-5,11,-2
0712,-5,-4,2,2,0,-5,11,-2
0290,-5,-4,2,2,0,-5,11,-2
0697,-5,-4,2,2,0,-5,11,-2
01049,-5,-4,2,2,0,-5,11,-2
0751,-5,-4,2,2,0,-5,11,-2
0708,-1,-2,-1,-3,0,-8,2,16
0297,-1,-2,-1,-3,0,-8,2,16
0688,-1,-2,-1,-3,0,-8,2,16
0760,1,23,18,-9,-5,14,-4,11
0717,1,23,18,-9,-5,14,-4,11
0437,-1,-4,-9,3,-4,-6,4,-4
0448,-1,-4,-9,3,-4,-6,4,-4
01015,-1,-4,-9,3,-4,-6,4,-4
0839,-1,-4,-9,3,-4,-6,4,-4
0729,2,22,-91,26,-1,14,-16,8
0652,2,22,-91,26,-1,14,-16,8
0285,2,22,-91,26,-1,14,-16,8
07460,2,22,-91,26,-1,14,-16,8
10620,2,22,-91,26,-1,14,-16,8
7640,-10,-14,-4,-2,4,4,-9,-9
7220394,7,-1,9,-6,1,0,8,0
0493,7,-1,9,-6,1,0,8,0
01084,7,-1,9,-6,1,0,8,0
0798,-9,14,-29,6,0,8,-11,-1
0726,-9,14,-29,6,0,8,-11,-1
0458,-9,14,-29,6,0,8,-11,-1
0438,-9,14,-29,6,0,8,-11,-1
01085,-1,2,15,-4,3,-8,-6,-1
0801,-1,2,15,-4,3,-8,-6,-1
0728,0,7,5,-17,-1,8,-4,2
0466,0,7,5,-17,-1,8,-4,2
