Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,6,1,-1,-6,16,78,16,11
01544,6,1,-1,-6,16,78,16,11
01364,6,1,-1,-6,16,78,16,11
01309,6,1,-1,-6,16,78,16,11
0927,0,0,2,-1,-15,41,-45,1
01473,0,-1,-3,-9,-6,9,13,3
01557,0,-1,-3,-9,-6,9,13,3
01388,0,-1,-3,-9,-6,9,13,3
01330,0,-1,-3,-9,-6,9,13,3
0964,0,-1,-3,-9,-6,9,13,3
01622,0,1,2,4,-1,-63,-2,-5
01527,0,1,2,4,-1,-63,-2,-5
01387,0,1,2,4,-1,-63,-2,-5
01253,-4,-6,-6,-3,0,1,-13,-7
01064,-4,-6,-6,-3,0,1,-13,-7
01748,-4,-6,-6,-3,0,1,-13,-7
0,-4,-6,-6,-3,0,1,-13,-7
1442,-4,-6,-6,-3,0,1,-13,-7
01155,-4,-6,-6,-3,0,1,-13,-7
01063,6,-4,1,-3,-9,-21,-1,2
01629,6,-4,1,-3,-9,-21,-1,2
01582,6,-4,1,-3,-9,-21,-1,2
01400,6,-4,1,-3,-9,-21,-1,2
013640,6,-4,1,-3,-9,-21,-1,2
9480,-1,-4,-6,-3,-15,6,-5,0
13650,-7,-5,-2,2,8,8,0,2
1757014,-7,-5,-2,2,8,8,0,2
5101399,-7,-5,-2,2,8,8,0,2
01111,-5,-8,-3,-3,-10,4,5,-7
01184,-5,-8,-3,-3,-10,4,5,-7
01761,-5,-8,-3,-3,-10,4,5,-7
01466,-5,-8,-3,-3,-10,4,5,-7
01398,-5,-8,-3,-3,-10,4,5,-7
01117,-5,-8,-3,-3,-10,4,5,-7
01190,8,5,11,6,21,65,12,5
01780,8,5,11,6,21,65,12,5
01452,8,5,11,6,21,65,12,5
01405,8,5,11,6,21,65,12,5
01019,8,5,11,6,21,65,12,5
01318,-4,-3,-10,-19,-34,83,4,2
01776,-4,-3,-10,-19,-34,83,4,2
01459,-4,-3,-10,-19,-34,83,4,2
01084,0,1,0,-3,-5,-58,-10,-2
01274,0,1,0,-3,-5,-58,-10,-2
01796,0,1,0,-3,-5,-58,-10,-2
01528,0,1,0,-3,-5,-58,-10,-2
01436,0,1,0,-3,-5,-58,-10,-2
01328,0,1,0,-3,-5,-58,-10,-2
01023,-6,5,6,1,8,-86,-5,-12
01599,-6,5,6,1,8,-86,-5,-12
01689,-6,5,6,1,8,-86,-5,-12
014750,-6,5,6,1,8,-86,-5,-12
14380,-6,5,6,1,8,-86,-5,-12
10630,-6,5,6,1,8,-86,-5,-12
13540,6,-2,-5,1,6,9,8,-3
18300153,6,-2,-5,1,6,9,8,-3
