Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-2,-6,-8,2,0,0,0,1
02286,-2,-6,-8,2,0,0,0,1
02870,-1,-1,0,3,-3,-4,-2,2
02565,-1,-1,0,3,-3,-4,-2,2
02502,-1,-1,0,3,-3,-4,-2,2
02102,-3,2,2,-4,0,-1,-2,-4
02644,-1,0,4,3,-2,2,4,-2
02823,-1,0,4,3,-2,2,4,-2
02559,-1,0,4,3,-2,2,4,-2
02504,-1,0,4,3,-2,2,4,-2
02,-1,0,4,3,-2,2,4,-2
0920251,-1,0,4,3,-2,2,4,-2
00285,-2,-3,0,-9,-7,-3,-2,-4
702563,-2,-3,0,-9,-7,-3,-2,-4
02518,-2,-3,0,-9,-7,-3,-2,-4
02093,-2,-3,0,-9,-7,-3,-2,-4
02877,-2,-3,0,-9,-7,-3,-2,-4
02568,-2,-3,0,-9,-7,-3,-2,-4
02516,-2,-3,0,-9,-7,-3,-2,-4
02272,-2,-3,0,-9,-7,-3,-2,-4
02206,-2,-3,0,-9,-7,-3,-2,-4
02773,-1,0,-2,-8,-7,0,0,2
02664,-2,-2,-1,1,3,2,2,0
02530,-2,-2,-1,1,3,2,2,0
024580,0,0,1,6,6,-1,0,-1
20680,0,0,1,6,6,-1,0,-1
2498028,0,-1,-8,-7,4,-2,-1,-3
3102541,0,-1,-8,-7,4,-2,-1,-3
02503,-1,1,2,3,-4,4,1,-1
02139,-1,-1,-3,-2,-5,-1,-1,-2
02498,-1,-1,-3,-2,-5,-1,-1,-2
02780,-2,-1,-1,1,1,-4,-3,0
02535,-2,-1,-1,1,1,-4,-3,0
02469,-2,-1,-1,1,1,-4,-3,0
02053,0,1,5,2,5,3,0,-1
02628,0,1,5,2,5,3,0,-1
02772,0,1,5,2,5,3,0,-1
02515,-1,-2,0,-2,-10,-6,-4,-1
02477,-1,-2,0,-2,-10,-6,-4,-1
02052,-1,-1,-2,0,-2,-2,-1,0
02485,-1,-1,-2,0,-2,-2,-1,0
02530,-1,-1,-2,0,-2,-2,-1,0
02476,-1,1,4,3,0,-1,3,1
02169,-1,-1,2,0,0,0,-3,-1
02293,-1,-1,2,0,0,0,-3,-1
02836,-1,-1,2,0,0,0,-3,-1
02584,-1,-1,2,0,0,0,-3,-1
024820,-1,-1,2,0,0,0,-3,-1
23740,-1,-8,-10,-4,1,3,0,1
2054026,-1,-8,-10,-4,1,3,0,1
170274,-1,-8,-10,-4,1,3,0,1
202501,-2,-1,1,4,-2,3,0,-3
02456,-2,-1,1,4,-2,3,0,-3
02033,-3,-1,-1,-3,-2,-2,-3,-3
02438,-3,-1,-1,-3,-2,-2,-3,-3
02789,-3,-1,-1,-3,-2,-2,-3,-3
02504,-3,-1,-1,-3,-2,-2,-3,-3
02446,-3,-1,-1,-3,-2,-2,-3,-3
02026,-3,-1,-1,-2,-8,-10,1,0
02480,-3,-1,-1,-2,-8,-10,1,0
02787,-3,-1,-1,-2,-8,-10,1,0
02499,-3,-1,-1,-2,-8,-10,1,0
02444,-3,-1,-1,-2,-8,-10,1,0
02022,-1,2,-1,2,3,0,0,3
02476,-1,2,-1,2,3,0,0,3
02495,-2,-3,-5,-10,-9,-2,-2,-3
02456,-2,-3,-5,-10,-9,-2,-2,-3
02087,1,1,1,-3,0,0,-2,-2
02292,1,1,1,-3,0,0,-2,-2
02828,1,1,1,-3,0,0,-2,-2
02563,1,1,1,-3,0,0,-2,-2
024680,2,0,1,1,-11,2,1,-1
23560,-3,-3,1,-5,1,-2,-2,0
20800,-3,-3,1,-5,1,-2,-2,0
26200,-3,-3,1,-5,1,-2,-2,0
272202489,-3,-3,1,-5,1,-2,-2,0
02445,-3,-3,1,-5,1,-2,-2,0
02022,-1,-2,0,2,-1,-2,1,2
02477,-1,-2,0,2,-1,-2,1,2
02759,-1,-2,0,2,-1,-2,1,2
02494,-1,1,-2,-9,-7,-4,-3,-2
02449,-1,1,-2,-9,-7,-4,-3,-2
02021,-1,-1,-2,4,9,-2,-1,-3
02487,-1,-1,-2,4,9,-2,-1,-3
02796,-1,-1,-2,4,9,-2,-1,-3
02488,-1,-1,-2,4,9,-2,-1,-3
02447,-1,-3,-5,-2,1,3,-2,-2
02030,-1,-3,-5,-2,1,3,-2,-2
02481,-1,-3,-5,-2,1,3,-2,-2
02752,-1,-3,-5,-2,1,3,-2,-2
02436,-1,-3,-5,-2,1,3,-2,-2
02064,-1,1,3,0,-6,-2,0,-2
02293,-1,1,3,0,-6,-2,0,-2
02815,-1,1,3,0,-6,-2,0,-2
02540,-3,-3,-4,-2,0,0,-2,-1
02457,-3,-3,-4,-2,0,0,-2,-1
023390,-1,0,4,1,-4,-1,2,1
20390,-1,0,4,1,-4,-1,2,1
26250,-1,0,4,1,-4,-1,2,1
2692,-1,0,4,1,-4,-1,2,1
02472,-1,0,4,1,-4,-1,2,1
024260,-3,-3,-4,-2,-5,-1,-4,-3
202002362,-3,-3,-4,-2,-5,-1,-4,-3
0280,-3,-3,-4,-2,-5,-1,-4,-3
902502,-3,-3,-4,-2,-5,-1,-4,-3
02440,-3,-3,-4,-2,-5,-1,-4,-3
02092,0,1,0,3,2,1,1,0
02241,2,1,-2,9,15,2,2,-2
02805,2,1,-2,9,15,2,2,-2
02491,-3,-4,-11,-13,-17,-7,-3,-4
02442,-3,-4,-11,-13,-17,-7,-3,-4
02151,0,1,0,3,-1,2,-1,-3
02237,0,1,0,3,-1,2,-1,-3
02771,0,1,0,3,-1,2,-1,-3
02436,0,1,0,3,-1,2,-1,-3
02084,-2,-1,5,-6,-5,-2,-2,-2
02236,-2,-1,5,-6,-5,-2,-2,-2
02811,-2,-1,5,-6,-5,-2,-2,-2
02522,-2,-1,5,-6,-5,-2,-2,-2
02450,-2,-1,5,-6,-5,-2,-2,-2
023130,0,-1,0,5,7,1,2,-2
20380,0,-1,0,5,7,1,2,-2
26310,0,-1,0,5,7,1,2,-2
26750,0,-1,0,5,7,1,2,-2
246702425,0,-1,0,5,7,1,2,-2
02006,-2,-2,-4,-6,-1,-2,-2,-1
02425,-1,2,0,-2,-1,0,-2,-1
02765,-1,2,0,-2,-1,0,-2,-1
02482,-1,2,0,-2,-1,0,-2,-1
02431,-1,2,0,-2,-1,0,-2,-1
02035,-2,-1,1,1,-7,-1,0,0
02369,-3,-3,-7,-17,-15,-6,-4,0
02766,-3,-3,-7,-17,-15,-6,-4,0
02483,-3,-3,-7,-17,-15,-6,-4,0
02433,-3,-3,-7,-17,-15,-6,-4,0
02032,-2,0,-3,-3,-4,0,-3,1
02364,-2,0,-3,-3,-4,0,-3,1
02797,-2,0,-3,-3,-4,0,-3,1
0,-2,0,-3,-3,-4,0,-3,1
2477,-2,0,-3,-3,-4,0,-3,1
02069,1,-1,-4,-2,-2,-2,-1,-2
02249,1,-1,-4,-2,-2,-2,-1,-2
02795,1,-1,-4,-2,-2,-2,-1,-2
02542,1,-1,-4,-2,-2,-2,-1,-2
02441,1,-1,-4,-2,-2,-2,-1,-2
023420,-2,-1,-1,0,-3,0,-1,0
20400,-2,-1,-1,0,-3,0,-1,0
25780,-2,-1,-1,0,-3,0,-1,0
27120,-2,-1,-1,0,-3,0,-1,0
2471024,-2,-1,-1,0,-3,0,-1,0
2602022,-3,-2,-5,0,3,1,0,-3
02367,0,-1,1,-1,-8,0,-1,-5
0276,0,-1,1,-1,-8,0,-1,-5
102477,0,-1,1,-1,-8,0,-1,-5
02432,0,-1,1,-1,-8,0,-1,-5
02027,0,-1,1,-1,-8,0,-1,-5
02381,-1,-2,-2,2,7,0,-2,0
02787,-1,-2,-2,2,7,0,-2,0
02484,-1,-2,-2,2,7,0,-2,0
02441,-1,0,0,-2,-5,-1,0,0
02070,-1,0,0,-2,-5,-1,0,0
02316,-1,0,0,-2,-5,-1,0,0
02810,-1,0,0,-2,-5,-1,0,0
02485,-1,0,0,-2,-5,-1,0,0
02435,-1,-1,0,-2,-4,-5,-1,-1
02265,-1,-1,0,-2,-4,-5,-1,-1
02800,-1,-1,0,-2,-4,-5,-1,-1
02540,-1,-1,0,-2,-4,-5,-1,-1
02452,-1,-1,0,-2,-4,-5,-1,-1
02339,-1,0,1,-2,7,1,1,1
020230,-1,-1,-2,-6,-8,1,-2,-1
25180,-1,-1,-2,-6,-8,1,-2,-1
26960,-1,-1,-2,-6,-8,1,-2,-1
247502418,-1,-1,-2,-6,-8,1,-2,-1
02058,1,1,4,7,12,1,2,0
02375,1,1,4,7,12,1,2,0
02811,1,1,4,7,12,1,2,0
02491,1,1,4,7,12,1,2,0
02438,1,1,4,7,12,1,2,0
02105,0,-2,0,1,8,-3,-1,0
02340,0,-2,0,1,8,-3,-1,0
02814,0,-2,0,1,8,-3,-1,0
02488,0,-2,0,1,8,-3,-1,0
02440,0,-2,0,1,8,-3,-1,0
02106,0,-2,0,1,8,-3,-1,0
02340,-1,-3,-4,-2,0,2,0,-1
02808,-1,-3,-4,-2,0,2,0,-1
02486,-1,-3,-4,-2,0,2,0,-1
02436,-1,-3,-4,-2,0,2,0,-1
02218,-2,-1,-2,-3,-6,-2,-2,-1
02778,-2,-1,-2,-3,-6,-2,-2,-1
02565,-2,-1,-2,-3,-6,-2,-2,-1
02443,-2,-1,-2,-3,-6,-2,-2,-1
02317,-2,-1,-2,-3,-6,-2,-2,-1
020320,-1,-1,1,-1,-2,-1,-1,0
25350,-1,-1,1,-1,-2,-1,-1,0
27330,-1,-1,1,-1,-2,-1,-1,0
246802422,-1,-1,1,-1,-2,-1,-1,0
02038,1,1,-3,2,3,2,0,1
02341,-2,-1,-3,-5,-7,-2,-1,1
02802,-2,-1,-3,-5,-7,-2,-1,1
02492,-2,-1,-3,-5,-7,-2,-1,1
02426,-2,-1,-3,-5,-7,-2,-1,1
02086,0,-3,-5,1,0,2,1,-3
02346,0,-3,-5,1,0,2,1,-3
02802,0,-3,-5,1,0,2,1,-3
02487,0,-3,-5,1,0,2,1,-3
02437,0,-3,-5,1,0,2,1,-3
02087,-2,1,-4,0,5,1,1,0
02286,-2,1,-4,0,5,1,1,0
02812,-2,1,-4,0,5,1,1,0
0,-2,1,-4,0,5,1,1,0
250002434,-2,1,-4,0,5,1,1,0
0,-2,1,-4,0,5,1,1,0
22100,-1,-2,2,-8,-16,-4,-3,-3
27400258,-1,-2,2,-8,-16,-4,-3,-3
902450,-1,-2,2,-8,-16,-4,-3,-3
02355,-1,-2,2,-8,-16,-4,-3,-3
02008,-1,-2,2,-8,-16,-4,-3,-3
02485,0,1,-4,-2,0,-2,0,1
02769,0,1,-4,-2,0,-2,0,1
02479,0,1,-4,-2,0,-2,0,1
02431,0,1,-4,-2,0,-2,0,1
021380,-2,-1,0,2,4,-1,-1,-2
22250,-2,-1,0,2,4,-1,-1,-2
27850,-2,-1,0,2,4,-1,-1,-2
25400,-2,-1,0,2,4,-1,-1,-2
245102305,-2,-1,0,2,4,-1,-1,-2
02036,1,0,3,3,0,1,-1,0
02618,1,0,3,3,0,1,-1,0
02661,1,0,3,3,0,1,-1,0
02444,1,0,3,3,0,1,-1,0
02377,1,0,3,3,0,1,-1,0
02032,-2,0,1,4,4,0,-2,0
02624,-2,0,1,4,4,0,-2,0
02615,-2,0,1,4,4,0,-2,0
02446,-2,0,1,4,4,0,-2,0
02380,-2,0,1,4,4,0,-2,0
02011,0,-1,-1,-4,-9,-1,0,-5
02702,0,-1,-1,-4,-9,-1,0,-5
02456,0,-1,-1,-4,-9,-1,0,-5
02420,0,-1,-1,-4,-9,-1,0,-5
02016,1,-2,-7,4,5,0,1,1
02300,1,-2,-7,4,5,0,1,1
02810,1,-2,-7,4,5,0,1,1
025110,1,-2,-7,4,5,0,1,1
24360,-2,-2,1,-4,-4,-5,-1,0
22830203,-2,-2,1,-4,-4,-5,-1,0
