Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,-18,-5,-4,-3,9,10,-39,-4
03171,-18,-5,-4,-3,9,10,-39,-4
02920,-14,-6,-4,-10,-4,22,-3,-1
03550,9,4,-1,1,-15,-56,21,-5
03413,9,4,-1,1,-15,-56,21,-5
03284,-7,2,0,4,10,18,-18,2
03130,-7,2,0,4,10,18,-18,2
02939,-7,2,0,4,10,18,-18,2
03565,-7,2,0,4,10,18,-18,2
03419,11,-2,-1,17,15,10,-42,-2
03300,11,-2,-1,17,15,10,-42,-2
03150,11,-2,-1,17,15,10,-42,-2
02956,8,7,1,1,-8,-21,7,1
03577,8,7,1,1,-8,-21,7,1
03434,8,7,1,1,-8,-21,7,1
03311,1,-2,-4,-6,6,5,-35,-5
02904,1,-2,-4,-6,6,5,-35,-5
03471,1,-2,-4,-6,6,5,-35,-5
03584,-14,-13,-14,-21,-35,-66,3,4
033550,-14,-13,-14,-21,-35,-66,3,4
33180295,-14,-13,-14,-21,-35,-66,3,4
403166,-14,-13,-14,-21,-35,-66,3,4
03714,-14,-13,-14,-21,-35,-66,3,4
03410,-14,-13,-14,-21,-35,-66,3,4
03347,-14,-13,-14,-21,-35,-66,3,4
03018,-14,-13,-14,-21,-35,-66,3,4
03127,-14,-13,-14,-21,-35,-66,3,4
03716,-14,-13,-14,-21,-35,-66,3,4
0,-14,-13,-14,-21,-35,-66,3,4
34260336,-14,-13,-14,-21,-35,-66,3,4
003205,-10,-3,-9,-6,0,36,-11,-1
03033,12,12,16,22,12,1,9,3
03647,-3,0,-8,-8,-4,15,-9,-6
03514,-3,0,-8,-8,-4,15,-9,-6
03379,7,-14,-19,-17,2,38,59,4
03262,7,-14,-19,-17,2,38,59,4
03052,7,-14,-19,-17,2,38,59,4
03674,7,-14,-19,-17,2,38,59,4
03539,6,9,14,10,-11,-79,-8,-1
03403,6,9,14,10,-11,-79,-8,-1
03025,-11,4,0,-7,-9,-22,-35,-4
03566,-11,4,0,-7,-9,-22,-35,-4
03656,-6,-8,-9,1,29,45,-41,1
03431,-6,-8,-9,1,29,45,-41,1
03400,-6,-8,-9,1,29,45,-41,1
03027,-6,-8,-9,1,29,45,-41,1
032630,-2,-8,-5,-7,-5,-1,-23,1
37790,-2,-8,-5,-7,-5,-1,-23,1
348803,-2,-8,-5,-7,-5,-1,-23,1
42503263,-2,-8,-5,-7,-5,-1,-23,1
03062,-2,-8,-5,-7,-5,-1,-23,1
03677,-2,-8,-5,-7,-5,-1,-23,1
03589,9,3,7,13,3,18,30,-3
03447,9,3,7,13,3,18,30,-3
03317,9,3,7,13,3,18,30,-3
03043,13,2,2,-4,-4,18,26,-5
03620,0,-1,-6,3,23,56,11,0
03601,0,-1,-6,3,23,56,11,0
03462,0,-1,-6,3,23,56,11,0
03332,0,-1,-6,3,23,56,11,0
03095,0,-1,-6,3,23,56,11,0
03711,-2,-13,-11,-8,-28,-11,12,4
03618,-2,-13,-11,-8,-28,-11,12,4
03484,-2,-13,-11,-8,-28,-11,12,4
0,-2,-13,-11,-8,-28,-11,12,4
3358,-2,-13,-11,-8,-28,-11,12,4
03674,-2,-13,-11,-8,-28,-11,12,4
03728,5,11,13,13,16,35,70,5
03528,5,11,13,13,16,35,70,5
03479,5,11,13,13,16,35,70,5
03105,-16,-9,-10,-18,-24,-68,-36,-4
03366,22,19,19,8,0,13,80,1
038780,22,19,19,8,0,13,80,1
35810,22,19,19,8,0,13,80,1
35250334,22,19,19,8,0,13,80,1
203216,22,19,19,8,0,13,80,1
03786,-8,-14,-18,-19,-24,-39,-44,0
03721,-8,-14,-18,-19,-24,-39,-44,0
03548,-8,-14,-18,-19,-24,-39,-44,0
03448,-8,-14,-18,-19,-24,-39,-44,0
03183,-17,-8,-11,-5,24,12,-37,0
03746,-17,-8,-11,-5,24,12,-37,0
03723,-1,0,0,-8,-8,-54,-44,0
03563,-1,0,0,-8,-8,-54,-44,0
03461,-1,0,0,-8,-8,-54,-44,0
03158,12,5,4,10,-10,15,34,3
03754,-2,-3,1,-1,-24,-64,-43,-2
03,-2,-3,1,-1,-24,-64,-43,-2
74003576,-2,-3,1,-1,-24,-64,-43,-2
03540,-2,-3,1,-1,-24,-64,-43,-2
03128,-8,1,1,-5,-1,-10,-70,-5
03884,-2,-13,-22,4,10,-9,-27,-2
03617,-2,-13,-22,4,10,-9,-27,-2
03572,-2,-13,-22,4,10,-9,-27,-2
03274,3,6,13,25,31,29,35,0
03339,3,6,13,25,31,29,35,0
03910,6,4,3,-15,-22,-43,-34,-4
037230,6,4,3,-15,-22,-43,-34,-4
36000,6,4,3,-15,-22,-43,-34,-4
352903169,6,4,3,-15,-22,-43,-34,-4
03664,-11,3,4,0,11,6,-39,4
03909,-11,3,4,0,11,6,-39,4
03625,-11,3,4,0,11,6,-39,4
03576,-11,3,4,0,11,6,-39,4
03155,-11,3,4,0,11,6,-39,4
03592,-11,3,4,0,11,6,-39,4
03904,17,16,25,31,42,106,109,-3
03621,17,16,25,31,42,106,109,-3
03576,17,16,25,31,42,106,109,-3
03161,17,16,25,31,42,106,109,-3
03603,17,16,25,31,42,106,109,-3
03917,4,-2,-6,-13,-14,-39,-15,-4
03630,4,-2,-6,-13,-14,-39,-15,-4
03586,4,-2,-6,-13,-14,-39,-15,-4
03171,4,-2,-6,-13,-14,-39,-15,-4
03912,-18,-6,-7,-7,36,18,21,-4
03641,-18,-6,-7,-7,36,18,21,-4
03594,-18,-6,-7,-7,36,18,21,-4
03273,-18,-6,-7,-7,36,18,21,-4
03371,-18,-6,-7,-7,36,18,21,-4
03925,-15,2,-1,9,3,23,5,-2
037360,-15,2,-1,9,3,23,5,-2
36150,-15,2,-1,9,3,23,5,-2
35480317,-15,2,-1,9,3,23,5,-2
70368,-15,2,-1,9,3,23,5,-2
503913,9,8,0,8,1,16,-10,2
03638,9,8,0,8,1,16,-10,2
03595,9,8,0,8,1,16,-10,2
03180,9,8,0,8,1,16,-10,2
03567,-13,-11,-7,-15,-38,-72,-38,-2
03948,-13,-11,-7,-15,-38,-72,-38,-2
03648,-13,-11,-7,-15,-38,-72,-38,-2
03593,-13,-11,-7,-15,-38,-72,-38,-2
03192,-13,-11,-7,-15,-38,-72,-38,-2
03630,-13,-11,-7,-15,-38,-72,-38,-2
03952,3,-11,-7,-9,5,47,-45,3
03643,3,-11,-7,-9,5,47,-45,3
03604,3,-11,-7,-9,5,47,-45,3
03199,3,-11,-7,-9,5,47,-45,3
03635,16,0,-13,-14,-18,-12,4,-2
03649,16,0,-13,-14,-18,-12,4,-2
03607,16,0,-13,-14,-18,-12,4,-2
03282,16,0,-13,-14,-18,-12,4,-2
03400,-14,-5,-6,2,9,46,80,1
03955,-14,-5,-6,2,9,46,80,1
03741,-14,-5,-6,2,9,46,80,1
036240,-14,-5,-6,2,9,46,80,1
35060,-14,-5,-6,2,9,46,80,1
31990,-14,-5,-6,2,9,46,80,1
370503,10,1,-1,-8,-10,18,90,0
9040363,10,1,-1,-8,-10,18,90,0
403601,10,1,-1,-8,-10,18,90,0
03190,10,1,-1,-8,-10,18,90,0
03591,10,1,-1,-8,-10,18,90,0
03951,8,-6,7,13,-10,12,53,3
03651,-10,-8,6,-8,-12,-1,-38,-1
03609,-10,-8,6,-8,-12,-1,-38,-1
03198,-10,-8,6,-8,-12,-1,-38,-1
03733,-13,2,9,21,22,0,-10,-2
03870,-13,2,9,21,22,0,-10,-2
0365,-13,2,9,21,22,0,-10,-2
403611,-13,2,9,21,22,0,-10,-2
03204,-13,2,9,21,22,0,-10,-2
03613,-13,2,9,21,22,0,-10,-2
03674,-2,3,3,7,8,-16,-73,0
03632,-2,3,3,7,8,-16,-73,0
03347,-2,3,3,7,8,-16,-73,0
03376,-2,3,3,7,8,-16,-73,0
03943,-3,6,1,13,33,25,-44,-1
037890,1,-3,-3,-2,14,22,-11,-2
36480,1,-3,-3,-2,14,22,-11,-2
359303198,1,-3,-3,-2,14,22,-11,-2
03620,-4,-10,-5,-21,-39,-44,-15,-4
03957,-4,-10,-5,-21,-39,-44,-15,-4
03676,-4,-10,-5,-21,-39,-44,-15,-4
03624,-4,-10,-5,-21,-39,-44,-15,-4
03228,-4,-10,-5,-21,-39,-44,-15,-4
03552,-4,-10,-5,-21,-39,-44,-15,-4
03949,12,1,1,-1,7,16,8,-4
03664,12,1,1,-1,7,16,8,-4
03618,12,1,1,-1,7,16,8,-4
03191,12,1,1,-1,7,16,8,-4
03544,12,1,1,-1,7,16,8,-4
03979,33,22,39,33,-27,-68,11,0
03669,11,9,13,17,12,-6,11,2
03624,11,9,13,17,12,-6,11,2
03224,11,9,13,17,12,-6,11,2
03556,3,-15,-11,-9,-44,-116,-54,4
0398,3,-15,-11,-9,-44,-116,-54,4
5,3,-15,-11,-9,-44,-116,-54,4
03624,3,-15,-11,-9,-44,-116,-54,4
03327,3,-15,-11,-9,-44,-116,-54,4
03379,3,-15,-11,-9,-44,-116,-54,4
03946,-12,0,4,8,42,125,111,2
03770,-12,0,4,8,42,125,111,2
036530,-12,0,4,8,42,125,111,2
35400,-12,0,4,8,42,125,111,2
321403,-12,0,4,8,42,125,111,2
70003,-12,0,4,8,42,125,111,2
95103646,13,10,-12,-25,-18,-38,-14,-4
03638,13,10,-12,-25,-18,-38,-14,-4
03240,13,10,-12,-25,-18,-38,-14,-4
03592,8,7,3,1,-7,-33,18,-2
04005,8,7,3,1,-7,-33,18,-2
03698,8,7,3,1,-7,-33,18,-2
03650,8,7,3,1,-7,-33,18,-2
03287,8,7,3,1,-7,-33,18,-2
03602,8,7,3,1,-7,-33,18,-2
04033,-8,-11,-9,-6,-9,-6,-43,-7
03711,-8,-11,-9,-6,-9,-6,-43,-7
03657,-8,-11,-9,-6,-9,-6,-43,-7
03254,-8,-11,-9,-6,-9,-6,-43,-7
03550,-8,-11,-9,-6,-9,-6,-43,-7
04036,1,-2,-3,-15,-25,-9,13,1
03720,15,3,7,3,-50,-96,5,2
03355,15,3,7,3,-50,-96,5,2
03443,-14,5,9,12,58,127,-44,0
03994,-14,5,9,12,58,127,-44,0
03816,-14,5,9,12,58,127,-44,0
036930,-14,5,9,12,58,127,-44,0
36220,-14,5,9,12,58,127,-44,0
32510,-14,5,9,12,58,127,-44,0
37630,7,19,18,24,43,95,40,2
4003037,7,19,18,24,43,95,40,2
3403692,7,19,18,24,43,95,40,2
03326,7,19,18,24,43,95,40,2
03590,7,19,18,24,43,95,40,2
04072,7,19,18,24,43,95,40,2
03757,-15,-22,-25,-38,-70,-110,-79,-1
03706,-15,-22,-25,-38,-70,-110,-79,-1
03340,-15,-22,-25,-38,-70,-110,-79,-1
03610,-16,0,4,5,14,-41,-33,-1
04083,-16,0,4,5,14,-41,-33,-1
03761,-16,0,4,5,14,-41,-33,-1
03710,-16,0,4,5,14,-41,-33,-1
03342,-16,0,4,5,14,-41,-33,-1
03612,-16,0,4,5,14,-41,-33,-1
04082,-11,-8,-10,-13,-24,-24,22,-1
03760,-11,-8,-10,-13,-24,-24,22,-1
03449,-11,-8,-10,-13,-24,-24,22,-1
03492,-11,-8,-10,-13,-24,-24,22,-1
04050,-11,-8,-10,-13,-24,-24,22,-1
03848,23,1,-5,0,-53,-84,-2,-1
03726,23,1,-5,0,-53,-84,-2,-1
