Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,4,-2,3,0,-50,-15,46,18
01617,4,-2,3,0,-50,-15,46,18
02321,6,5,3,2,11,-15,-4,19
01999,6,5,3,2,11,-15,-4,19
01950,6,5,3,2,11,-15,-4,19
01608,6,5,3,2,11,-15,-4,19
01805,6,5,3,2,11,-15,-4,19
0,-6,-3,-7,3,-1,26,17,0
2327,5,-1,-6,-7,-3,11,-4,0
01960,5,-1,-6,-7,-3,11,-4,0
01689,5,-1,-6,-7,-3,11,-4,0
01694,1,2,2,4,6,39,-27,4
02276,1,2,2,4,6,39,-27,4
021460,-10,-10,-8,-2,6,4,-12,-17
199901929,-10,-10,-8,-2,6,4,-12,-17
01653,-10,-10,-8,-2,6,4,-12,-17
02279,-1,3,1,1,5,-5,-32,-23
02111,-1,3,1,1,5,-5,-32,-23
01991,-1,3,1,1,5,-5,-32,-23
01834,-1,3,1,1,5,-5,-32,-23
01655,-1,3,1,1,5,-5,-32,-23
02341,-1,3,1,1,5,-5,-32,-23
02130,-3,4,9,8,12,-76,-9,-5
02008,-3,4,9,8,12,-76,-9,-5
01861,-3,4,9,8,12,-76,-9,-5
01726,-15,-18,-30,-13,-11,-85,-20,-38
02311,-15,-18,-30,-13,-11,-85,-20,-38
02148,1,1,4,4,-8,-4,20,-3
02026,1,1,4,4,-8,-4,20,-3
01879,1,1,4,4,-8,-4,20,-3
01676,1,1,4,4,-8,-4,20,-3
02317,-1,-4,-9,-6,-9,53,7,0
0,-1,-4,-9,-6,-9,53,7,0
2167,-1,-4,-9,-6,-9,53,7,0
01941,-1,-4,-9,-6,-9,53,7,0
01598,-1,-4,-9,-6,-9,53,7,0
02123,-1,-4,-9,-6,-9,53,7,0
02349,2,-2,-6,-5,-11,-13,34,9
02078,2,-2,-6,-5,-11,-13,34,9
020380,2,-2,-6,-5,-11,-13,34,9
17270,2,-2,-3,0,-2,-11,22,13
18200241,2,-2,-3,0,-2,-11,22,13
302161,-2,-3,-2,-2,8,-1,-30,-11
02070,-2,-3,-2,-2,8,-1,-30,-11
01924,-2,-3,-2,-2,8,-1,-30,-11
01724,-2,-3,-2,-2,8,-1,-30,-11
02340,-14,-3,0,1,3,21,3,-18
02210,-14,-3,0,1,3,21,3,-18
02079,-14,-3,0,1,3,21,3,-18
01979,-14,-3,0,1,3,21,3,-18
01724,-14,-3,0,1,3,21,3,-18
02290,-14,-3,0,1,3,21,3,-18
02255,-2,0,0,5,-4,-18,-2,6
02097,-2,0,0,5,-4,-18,-2,6
01992,-2,0,0,5,-4,-18,-2,6
01746,-9,-11,-16,-4,-3,-45,1,-22
02304,-9,-11,-16,-4,-3,-45,1,-22
02245,-4,-5,2,-3,-22,-31,13,1
02028,-4,-5,2,-3,-22,-31,13,1
01696,-4,-5,2,-3,-22,-31,13,1
02194,6,5,3,1,-5,-84,-12,6
02452,6,5,3,1,-5,-84,-12,6
02173,6,5,3,1,-5,-84,-12,6
02139,6,5,3,1,-5,-84,-12,6
01781,6,5,3,1,-5,-84,-12,6
01957,6,5,3,1,-5,-84,-12,6
02505,-7,-10,-23,-5,23,8,-22,0
02264,-7,-10,-23,-5,23,8,-22,0
021640,-7,-10,-23,-5,23,8,-22,0
2023017,0,2,10,6,-5,-38,5,2
6202289,0,2,10,6,-5,-38,5,2
023,3,0,-4,-9,-10,-14,7,11
8202175,3,0,-4,-9,-10,-14,7,11
0,3,0,-4,-9,-10,-14,7,11
212901,3,0,-4,-9,-10,-14,7,11
71502074,3,0,-4,-9,-10,-14,7,11
02514,1,-8,-11,-12,-19,-36,-13,2
02205,1,-8,-11,-12,-19,-36,-13,2
02148,1,-8,-11,-12,-19,-36,-13,2
01789,1,-8,-11,-12,-19,-36,-13,2
02013,1,-8,-11,-12,-19,-36,-13,2
02536,-2,-1,1,-6,-15,-50,2,-1
02208,3,5,8,8,23,103,-8,-3
02159,3,5,8,8,23,103,-8,-3
01893,5,1,1,-2,0,22,0,10
02510,3,4,9,3,-12,43,26,2
02279,3,4,9,3,-12,43,26,2
02174,3,4,9,3,-12,43,26,2
02087,3,4,9,3,-12,43,26,2
01727,3,4,9,3,-12,43,26,2
022100,-1,-1,-3,-5,-16,18,29,7
24980,-1,-1,-3,-5,-16,18,29,7
21940215,-1,-1,-3,-5,-16,18,29,7
901809,-1,-1,-3,-5,-16,18,29,7
01955,-1,-1,-3,-5,-16,18,29,7
02533,-1,-1,-2,-3,-11,-32,16,-2
02232,-3,7,13,15,16,-16,-14,1
02171,-3,7,13,15,16,-16,-14,1
01880,-3,7,13,15,16,-16,-14,1
01961,10,6,-16,3,19,33,-3,4
02556,10,6,-16,3,19,33,-3,4
02267,10,6,-16,3,19,33,-3,4
02199,10,6,-16,3,19,33,-3,4
01917,10,6,-16,3,19,33,-3,4
01996,10,6,-16,3,19,33,-3,4
02593,-1,-4,-8,-7,-33,-98,60,16
02295,-4,-10,-14,-15,-10,45,14,-3
02234,-4,-10,-14,-15,-10,45,14,-3
01963,-4,-10,-14,-15,-10,45,14,-3
02536,-9,-10,-11,-20,-70,-55,31,-3
02401,-9,-10,-11,-20,-70,-55,31,-3
02255,-9,-10,-11,-20,-70,-55,31,-3
02209,-2,-4,-2,-2,-2,42,36,5
01800,-9,1,5,-2,7,-10,-8,-14
022720,-9,1,5,-2,7,-10,-8,-14
25860,2,5,9,8,9,-56,-22,6
2284022,2,5,9,8,9,-56,-22,6
3601901,2,5,9,8,9,-56,-22,6
02016,2,5,9,8,9,-56,-22,6
02604,-4,-2,-11,-11,6,4,-21,-10
02311,-4,-2,-11,-11,6,4,-21,-10
02244,-4,-2,-11,-11,6,4,-21,-10
01970,-4,-2,-11,-11,6,4,-21,-10
02020,-4,-2,-11,-11,6,4,-21,-10
02617,0,4,32,15,18,-13,-27,-5
02334,3,-5,-8,4,10,-21,-5,20
02265,3,-5,-8,4,10,-21,-5,20
01991,3,-5,-8,4,10,-21,-5,20
02041,2,-2,-11,-8,19,72,-10,-5
02633,2,-2,-11,-8,19,72,-10,-5
02373,-5,-7,-4,-11,-20,26,-7,-7
02278,-5,-7,-4,-11,-20,26,-7,-7
02011,-5,-7,-4,-11,-20,26,-7,-7
02609,-5,-7,-4,-11,-20,26,-7,-7
02408,-5,-7,-4,-11,-20,26,-7,-7
02288,-5,-7,-4,-11,-20,26,-7,-7
02214,12,8,3,5,-5,62,36,2
01836,-11,-2,-3,-5,-1,50,2,-25
02341,-2,-4,-7,-3,-12,-33,4,-5
02568,14,4,6,10,8,-67,-30,9
023020,14,4,6,10,8,-67,-30,9
226201,14,4,6,10,8,-67,-30,9
94602,14,4,6,10,8,-67,-30,9
10002645,14,4,6,10,8,-67,-30,9
02381,4,9,11,6,5,-12,-1,-4
02283,4,9,11,6,5,-12,-1,-4
02085,-3,-2,-4,-6,-8,-65,-7,-7
01991,-3,-2,-4,-6,-8,-65,-7,-7
02617,2,-4,-6,-7,-30,-68,27,9
02385,2,-4,-6,-7,-30,-68,27,9
02303,2,-4,-6,-7,-30,-68,27,9
02039,2,-4,-6,-7,-30,-68,27,9
01991,2,-4,-6,-7,-30,-68,27,9
02624,-1,0,-3,-4,-14,-79,-2,-5
02431,-1,3,0,2,4,34,0,5
02298,-1,3,0,2,4,34,0,5
02091,-1,3,0,2,4,34,0,5
02559,-5,-12,-10,0,-1,-49,10,1
02459,7,-6,-3,0,-3,-21,4,-7
02305,7,-6,-3,0,-3,-21,4,-7
02248,7,-6,-3,0,-3,-21,4,-7
01841,7,-6,-3,0,-3,-21,4,-7
02210,-9,-2,-6,-7,4,40,-19,-19
026530,-9,-2,-6,-7,4,40,-19,-19
23170,-9,-2,-6,-7,4,40,-19,-19
22730201,-9,-2,-6,-7,4,40,-19,-19
6020,-9,-2,-6,-7,4,40,-19,-19
2202582,-9,-2,-6,-7,4,40,-19,-19
02396,-9,-2,-6,-7,4,40,-19,-19
