Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,-6,6,-1,-33,-66,9,-2
01772,0,-6,6,-1,-33,-66,9,-2
02076,0,-6,6,-1,-33,-66,9,-2
02452,0,-6,6,-1,-33,-66,9,-2
02112,6,2,11,4,6,-43,-24,2
01777,1,4,1,6,17,26,55,-12
01889,1,4,1,6,17,26,55,-12
02480,1,4,1,6,17,26,55,-12
02205,1,4,1,6,17,26,55,-12
02118,1,4,1,6,17,26,55,-12
020150,1,4,1,6,17,26,55,-12
17000,6,7,-13,-9,-13,-26,-30,2
220702376,6,7,-13,-9,-13,-26,-30,2
02137,-3,-6,-1,5,17,4,-31,-3
02089,0,1,5,5,11,17,-28,9
01686,0,1,5,5,11,17,-28,9
02266,0,1,5,5,11,17,-28,9
02386,0,1,5,5,11,17,-28,9
02139,0,1,5,5,11,17,-28,9
02090,0,1,5,5,11,17,-28,9
01687,0,1,5,5,11,17,-28,9
02198,-3,2,-3,-1,-4,25,-9,-1
02392,-3,2,-3,-1,-4,25,-9,-1
02144,-3,2,-3,-1,-4,25,-9,-1
02101,-3,2,-3,-1,-4,25,-9,-1
01695,-1,2,5,5,16,16,4,0
02197,-2,5,-1,4,5,23,36,-5
0,-2,5,-1,4,5,23,36,-5
2348,-6,-4,4,4,10,-14,-12,0
02102,-6,-4,4,4,10,-14,-12,0
01695,-6,-4,4,4,10,-14,-12,0
02131,-6,-4,4,4,10,-14,-12,0
02481,-6,-4,4,4,10,-14,-12,0
02177,-6,-4,4,4,10,-14,-12,0
021300,7,4,-2,-4,4,-20,-22,-14
1892018,7,4,-2,-4,4,-20,-22,-14
2002448,7,4,-2,-4,4,-20,-22,-14
022,7,4,-2,-4,4,-20,-22,-14
7902142,7,4,-2,-4,4,-20,-22,-14
02050,7,4,-2,-4,4,-20,-22,-14
01741,7,4,-2,-4,4,-20,-22,-14
02332,-6,-5,-9,2,20,8,12,6
02322,-6,-5,-9,2,20,8,12,6
02150,1,11,-10,-7,-9,-28,-13,5
02062,1,11,-10,-7,-9,-28,-13,5
01737,1,11,-10,-7,-9,-28,-13,5
02317,1,11,-10,-7,-9,-28,-13,5
02375,1,11,-10,-7,-9,-28,-13,5
02148,1,11,-10,-7,-9,-28,-13,5
02058,2,-4,1,-10,-7,4,-31,4
01732,2,-4,1,-10,-7,4,-31,4
02319,2,-4,1,-10,-7,4,-31,4
02331,2,-4,1,-10,-7,4,-31,4
02096,2,-4,1,-10,-7,4,-31,4
01706,-4,-11,-10,0,-1,-1,17,-10
02176,-4,-11,-10,0,-1,-1,17,-10
02466,-4,-11,-10,0,-1,-1,17,-10
02187,-3,10,1,-8,-15,-9,-27,-5
02130,-3,10,1,-8,-15,-9,-27,-5
018570,-3,10,1,-8,-15,-9,-27,-5
18610,-3,10,1,-8,-15,-9,-27,-5
2420022,-3,10,1,-8,-15,-9,-27,-5
61021,-3,10,1,-8,-15,-9,-27,-5
5102073,-2,0,1,3,1,-27,-7,-7
01717,-2,0,1,3,1,-27,-7,-7
02289,-2,0,1,3,1,-27,-7,-7
02340,-2,0,1,3,1,-27,-7,-7
02157,-2,0,1,3,1,-27,-7,-7
02103,-2,0,1,3,1,-27,-7,-7
01700,-3,-8,-7,-6,1,7,-3,3
02214,-3,-8,-7,-6,1,7,-3,3
02340,-3,-8,-7,-6,1,7,-3,3
02151,-3,-8,-7,-6,1,7,-3,3
02104,-3,-8,-7,-6,1,7,-3,3
01697,3,3,-9,-3,-1,-20,-25,7
02197,-2,-1,7,9,3,-23,25,4
02387,-2,-1,7,9,3,-23,25,4
0,-2,-1,7,9,3,-23,25,4
2148,-2,-1,7,9,3,-23,25,4
01694,-2,-1,7,9,3,-23,25,4
02067,-2,5,-2,-7,4,25,1,-1
02506,-2,5,-2,-7,4,25,1,-1
02184,-2,5,-2,-7,4,25,1,-1
02128,-2,5,-2,-7,4,25,1,-1
019390,1,-9,2,2,-3,43,12,-10
17750,1,-9,2,2,-3,43,12,-10
24010,1,-9,2,2,-3,43,12,-10
231102,0,1,1,5,13,4,16,18
14602087,0,1,1,5,13,4,16,18
01691,0,1,1,5,13,4,16,18
02181,0,1,1,5,13,4,16,18
02410,0,1,1,5,13,4,16,18
02160,0,1,1,5,13,4,16,18
02112,1,3,-7,-8,-5,29,-4,-3
01695,1,3,-7,-8,-5,29,-4,-3
02116,1,3,-7,-8,-5,29,-4,-3
02417,1,3,-7,-8,-5,29,-4,-3
02164,1,3,-7,-8,-5,29,-4,-3
02119,1,3,-7,-8,-5,29,-4,-3
01691,2,-2,-1,-1,-5,52,-10,19
02111,2,-2,-1,-1,-5,52,-10,19
02467,2,-2,-1,-1,-5,52,-10,19
0,2,-2,-1,-1,-5,52,-10,19
2160,-7,-8,-7,0,2,-19,12,-11
02122,-7,-8,-7,0,2,-19,12,-11
02048,-7,-8,-7,0,2,-19,12,-11
02511,-7,-8,-7,0,2,-19,12,-11
02203,-7,-8,-7,0,2,-19,12,-11
02139,-5,-3,-7,-11,-9,18,10,-7
01971,3,-2,2,-2,-31,41,39,-6
01811,3,-2,2,-2,-31,41,39,-6
02377,3,-2,2,-2,-31,41,39,-6
02339,3,-2,2,-2,-31,41,39,-6
021490,3,-2,2,-2,-31,41,39,-6
21190,-2,3,1,-4,-18,-30,-28,-12
17120,-2,3,1,-4,-18,-30,-28,-12
2099025,-2,3,1,-4,-18,-30,-28,-12
0202190,-2,3,0,5,17,-28,-3,16
02135,-2,3,0,5,17,-28,-3,16
01865,-2,3,0,5,17,-28,-3,16
01981,-2,3,0,-1,-3,-43,-8,6
02506,-2,3,0,-1,-3,-43,-8,6
02202,-2,3,0,-1,-3,-43,-8,6
02141,-2,3,0,-1,-3,-43,-8,6
01871,-2,3,0,-1,-3,-43,-8,6
01912,-4,9,6,-5,4,2,-7,-22
02504,0,-2,-6,-2,10,5,-10,-3
02200,0,-2,-6,-2,10,5,-10,-3
02143,0,-2,-6,-2,10,5,-10,-3
01901,3,4,5,4,8,46,58,27
02464,3,4,5,4,8,46,58,27
02270,2,9,-18,-3,2,-10,-30,-10
02150,-1,-2,15,2,-10,-3,2,3
02079,-1,-2,15,2,-10,-3,2,3
01710,-4,0,-15,1,-6,-19,-25,-6
02215,-4,0,-15,1,-6,-19,-25,-6
024530,-4,0,-15,1,-6,-19,-25,-6
21770,-4,0,-15,1,-6,-19,-25,-6
212801,-4,0,-15,1,-6,-19,-25,-6
7650195,0,3,-7,-2,2,-30,17,11
002484,0,3,-7,-2,2,-30,17,11
02196,-4,2,10,1,-3,-43,-45,1
02126,-4,2,10,1,-3,-43,-45,1
01888,-4,2,10,1,-3,-43,-45,1
01881,-9,-12,-11,-14,-2,25,26,-7
02475,-9,-12,-11,-14,-2,25,26,-7
02194,-9,-12,-11,-14,-2,25,26,-7
02130,-9,-12,-11,-14,-2,25,26,-7
01889,-9,-12,-11,-14,-2,25,26,-7
01880,4,-6,7,11,14,0,5,0
02490,4,-6,7,11,14,0,5,0
02225,4,-6,7,11,14,0,5,0
02148,4,-6,7,11,14,0,5,0
0,-1,2,11,9,9,6,-14,7
1906,-1,2,11,9,9,6,-14,7
02467,-1,2,11,9,9,6,-14,7
02303,-1,2,11,9,9,6,-14,7
02175,-1,2,11,9,9,6,-14,7
02119,-1,2,11,9,9,6,-14,7
01730,-4,-2,2,-1,-4,-46,23,-9
02149,-4,-2,2,-1,-4,-46,23,-9
025350,-4,-2,2,-1,-4,-46,23,-9
2222021,-4,5,-4,3,3,36,-9,-6
76018,-4,5,-4,3,3,36,-9,-6
9301921,8,7,-5,-2,26,21,-9,-8
02535,8,7,-5,-2,26,21,-9,-8
02307,8,7,-5,-2,26,21,-9,-8
02200,8,7,-5,-2,26,21,-9,-8
02030,10,6,0,7,-4,26,-10,4
01929,10,6,0,7,-4,26,-10,4
02573,10,6,0,7,-4,26,-10,4
02250,10,6,0,7,-4,26,-10,4
02195,10,6,0,7,-4,26,-10,4
01924,10,6,0,7,-4,26,-10,4
02044,9,-1,10,14,15,-22,-16,1
02583,9,-1,10,14,15,-22,-16,1
02256,-1,-6,-6,-4,-8,40,9,4
02201,-1,-6,-6,-4,-8,40,9,4
01815,-1,-6,-6,-4,-8,40,9,4
02576,-7,-8,-1,-9,-1,19,-12,-9
02267,-7,-8,-1,-9,-1,19,-12,-9
02209,-7,-8,-1,-9,-1,19,-12,-9
02043,-7,-8,-1,-9,-1,19,-12,-9
01814,4,6,1,2,-5,-1,5,3
02339,-2,0,-7,-12,-17,12,1,-2
02455,-2,0,-7,-12,-17,12,1,-2
022280,-2,0,-7,-12,-17,12,1,-2
21820,0,-3,-19,-18,-48,38,-7,-6
178502,4,-11,-1,1,7,31,25,0
07402569,4,-11,-1,1,7,31,25,0
02274,-1,5,1,1,-3,-25,42,2
02199,-1,5,1,1,-3,-25,42,2
01937,-1,5,1,1,-3,-25,42,2
0,-11,-3,-5,0,-14,27,10,-6
194702516,-11,-3,-5,0,-14,27,10,-6
02327,-11,-3,-5,0,-14,27,10,-6
02206,-11,-3,-5,0,-14,27,10,-6
02094,-4,9,-13,-9,15,-45,-18,-6
01833,-4,9,-13,-9,15,-45,-18,-6
02385,-4,9,-13,-9,15,-45,-18,-6
02369,-4,9,-13,-9,15,-45,-18,-6
02199,-4,9,-13,-9,15,-45,-18,-6
02102,-4,9,-13,-9,15,-45,-18,-6
01794,3,-13,-14,-16,-2,-42,0,3
02382,3,-13,-14,-16,-2,-42,0,3
02217,-4,-20,-8,-2,-7,19,-9,3
02179,-4,-20,-8,-2,-7,19,-9,3
01772,0,1,-9,1,-2,-12,7,-14
02125,0,1,-9,1,-2,-12,7,-14
02575,0,1,-9,1,-2,-12,7,-14
022680,0,1,-9,1,-2,-12,7,-14
22090,-11,-11,-1,-1,-3,-49,-30,-10
2035018,-11,-11,-1,-1,-3,-49,-30,-10
9702467,-11,-11,-1,-1,-3,-49,-30,-10
02403,-11,-11,-1,-1,-3,-49,-30,-10
02224,-11,-11,-1,-1,-3,-49,-30,-10
02132,-11,-11,-1,-1,-3,-49,-30,-10
01812,-1,3,0,4,0,-36,-29,-15
02393,-1,3,0,4,0,-36,-29,-15
02411,-1,3,0,4,0,-36,-29,-15
02223,2,-1,10,7,4,19,2,9
02142,2,-1,10,7,4,19,2,9
01813,2,-1,10,7,4,19,2,9
02394,2,-1,10,7,4,19,2,9
02414,5,-13,4,-6,-20,18,21,3
02227,5,-13,4,-6,-20,18,21,3
02146,1,-4,-22,-10,11,-28,0,-12
01814,0,11,12,4,-7,-18,-31,-5
02382,0,11,12,4,-7,-18,-31,-5
02252,0,11,12,4,-7,-18,-31,-5
02210,0,11,12,4,-7,-18,-31,-5
01810,3,0,-20,-8,1,29,22,22
02123,-4,-7,14,2,-5,-1,15,1
02612,-4,-7,14,2,-5,-1,15,1
02305,-4,-7,14,2,-5,-1,15,1
02232,-4,-7,14,2,-5,-1,15,1
02084,-4,-7,14,2,-5,-1,15,1
018570,-2,1,0,-1,-1,28,15,15
23880,-2,1,0,-1,-1,28,15,15
245602,-2,1,0,-1,-1,28,15,15
26202231,-2,1,0,-1,-1,28,15,15
01814,-2,1,0,-1,-1,28,15,15
02195,-2,1,0,-1,-1,28,15,15
02591,-2,6,2,1,-9,-36,-16,12
02286,-2,6,2,1,-9,-36,-16,12
02250,-2,6,2,1,-9,-36,-16,12
01839,6,-5,-36,18,-3,7,-6,5
02188,-7,1,-11,-7,10,56,5,5
02607,-7,1,-11,-7,10,56,5,5
02296,-7,1,-11,-7,10,56,5,5
02250,-7,1,-11,-7,10,56,5,5
01852,4,9,-1,3,13,-45,-2,-11
02134,-9,2,-18,6,-16,-66,-8,-13
02296,-9,2,-18,6,-16,-66,-8,-13
02252,2,-3,12,-2,-11,-20,0,-4
01846,2,-3,12,-2,-11,-20,0,-4
02207,2,-3,12,-2,-11,-20,0,-4
02662,2,-3,12,-2,-11,-20,0,-4
023490,2,-3,12,-2,-11,-20,0,-4
22840,2,-3,12,-2,-11,-20,0,-4
20460,1,2,-6,-1,-9,18,-6,-7
198502602,1,2,-6,-1,-9,18,-6,-7
02442,1,2,-6,-1,-9,18,-6,-7
02304,1,2,-6,-1,-9,18,-6,-7
02212,1,2,-6,-1,-9,18,-6,-7
01894,2,3,-8,-10,2,17,-20,6
02483,-2,-1,15,3,-7,28,35,13
02496,-2,-1,15,3,-7,28,35,13
02333,-2,-1,15,3,-7,28,35,13
02235,-1,2,-7,0,16,45,-1,21
01909,-5,-10,0,3,16,4,-3,-11
02498,-5,-10,0,3,16,4,-3,-11
02476,-5,-10,0,3,16,4,-3,-11
02333,-5,-10,0,3,16,4,-3,-11
02204,-7,1,5,3,16,-4,-12,-10
01918,3,3,-2,-2,8,1,-5,-6
02501,3,3,-2,-2,8,1,-5,-6
02531,3,3,-2,-2,8,1,-5,-6
02300,3,3,-2,-2,8,1,-5,-6
01899,-8,-4,-4,8,12,-17,-6,-11
02303,-10,3,-21,-7,13,-20,-27,19
02708,-10,3,-21,-7,13,-20,-27,19
02397,-3,5,19,6,10,29,11,8
023450,-3,5,19,6,10,29,11,8
21420,5,14,10,6,-33,-12,32,8
20140,5,14,10,6,-33,-12,32,8
26490252,5,14,10,6,-33,-12,32,8
402367,5,14,10,6,-33,-12,32,8
02296,4,5,10,-2,-12,-9,1,5
01933,10,-9,-3,4,18,10,-14,-2
02518,10,-9,-3,4,18,10,-14,-2
02632,10,-9,-3,4,18,10,-14,-2
02397,10,-9,-3,4,18,10,-14,-2
02354,10,-9,-3,4,18,10,-14,-2
01941,-2,1,-24,-22,-52,-27,28,-5
02532,-3,1,21,13,10,-42,-15,-9
0,-3,1,21,13,10,-42,-15,-9
26490242,-3,1,21,13,10,-42,-15,-9
202391,-1,1,7,6,4,-26,-18,-21
01994,-1,1,7,6,4,-26,-18,-21
02348,3,-14,6,7,17,-18,-7,9
02774,3,-14,6,7,17,-18,-7,9
02458,3,-14,6,7,17,-18,-7,9
02065,4,12,-11,-15,-5,-2,-2,-24
02255,4,12,-11,-15,-5,-2,-2,-24
02791,4,12,-11,-15,-5,-2,-2,-24
02554,4,12,-11,-15,-5,-2,-2,-24
02462,4,12,-11,-15,-5,-2,-2,-24
02370,5,2,9,6,-6,22,-15,43
020680,-2,2,12,2,-17,74,-7,-5
25940,-2,2,12,2,-17,74,-7,-5
27480,-2,2,12,2,-17,74,-7,-5
249502,5,2,-4,-16,-27,8,-4,0
46902075,5,2,-4,-16,-27,8,-4,0
02418,-18,5,-9,-7,-12,-22,-13,-29
02857,-18,5,-9,-7,-12,-22,-13,-29
02545,-18,5,-9,-7,-12,-22,-13,-29
02498,-18,5,-9,-7,-12,-22,-13,-29
02153,6,6,-1,2,1,35,3,-10
02433,11,2,-6,0,27,-19,-34,33
02884,11,2,-6,0,27,-19,-34,33
02557,11,2,-6,0,27,-19,-34,33
02520,11,2,-6,0,27,-19,-34,33
02181,-4,-25,-6,-1,-6,4,-40,-2
02383,4,-13,-4,-10,-2,-1,-3,23
02914,4,-13,-4,-10,-2,-1,-3,23
02589,4,-13,-4,-10,-2,-1,-3,23
02263,1,-6,-11,7,8,-14,13,19
02289,3,1,-2,-11,-26,58,35,2
02854,3,1,-2,-11,-26,58,35,2
02711,3,1,-2,-11,-26,58,35,2
02581,3,1,-2,-11,-26,58,35,2
025020,9,7,-8,-20,-30,-17,25,15
21420,9,7,-8,-20,-30,-17,25,15
26050,9,7,-8,-20,-30,-17,25,15
2934026,9,7,-8,-20,-30,-17,25,15
