Fz,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
4,0,4,20,7,-2,2,-5,-5
01284,1,-2,-25,21,-8,-5,-3,-1
01084,1,-2,-25,21,-8,-5,-3,-1
0920,1,-2,-25,21,-8,-5,-3,-1
0670,1,-2,-25,21,-8,-5,-3,-1
01335,1,-2,-25,21,-8,-5,-3,-1
01192,-1,5,14,24,8,5,9,-2
01070,-1,-2,-34,-28,1,0,7,-2
0911,-1,-2,-34,-28,1,0,7,-2
0702,-1,-2,-34,-28,1,0,7,-2
01322,-4,0,24,10,-5,5,-4,-4
01186,-4,0,24,10,-5,5,-4,-4
01050,-1,-3,-5,15,9,0,0,-7
0901,-1,-3,-5,15,9,0,0,-7
0741,-1,-3,-5,15,9,0,0,-7
01409,0,0,19,21,-6,9,-11,-3
01117,-2,-6,49,33,3,-2,-5,-5
01033,-2,-6,49,33,3,-2,-5,-5
0789,-2,-6,49,33,3,-2,-5,-5
0794,-2,-6,49,33,3,-2,-5,-5
01401,-2,-6,49,33,3,-2,-5,-5
01109,1,-4,28,-31,-11,-3,-2,-3
01034,3,5,22,11,2,1,0,-2
0785,3,5,22,11,2,1,0,-2
0784,3,5,22,11,2,1,0,-2
0,-2,-3,-45,21,2,-2,2,-2
11070,-2,-3,-45,21,2,-2,2,-2
103308,-2,-3,-45,21,2,-2,2,-2
420673,-3,-4,-2,-17,3,-2,-1,-3
01217,-3,-4,-2,-17,3,-2,-1,-3
01260,1,4,3,6,1,-1,-1,-5
01042,1,4,3,6,1,-1,-1,-5
01001,1,4,3,6,1,-1,-1,-5
0591,1,4,3,6,1,-1,-1,-5
0949,1,4,3,6,1,-1,-1,-5
01396,1,4,3,6,1,-1,-1,-5
010870,1,4,3,6,1,-1,-1,-5
10250,-1,-3,-53,-48,-6,-4,-8,-7
7740,-1,-3,-53,-48,-6,-4,-8,-7
70501278,0,2,-23,-18,-11,-4,-9,3
01209,0,2,-23,-18,-11,-4,-9,3
01031,1,2,19,6,5,2,6,6
0939,1,2,19,6,5,2,6,6
0618,1,2,19,6,5,2,6,6
01202,1,2,19,6,5,2,6,6
01210,-1,0,5,17,3,-1,-11,-4
01036,-1,0,5,17,3,-1,-11,-4
0942,-1,0,5,17,3,-1,-11,-4
0614,-1,0,5,17,3,-1,-11,-4
01189,-1,0,5,17,3,-1,-11,-4
01033,-2,-1,-17,-28,-9,-4,4,5
0971,-2,-1,-17,-28,-9,-4,4,5
0576,-2,-1,-17,-28,-9,-4,4,5
0991,1,-5,-21,-3,11,0,0,9
01372,-2,-2,-10,-5,-17,-5,-11,3
01072,-2,-2,-10,-5,-17,-5,-11,3
01010,-2,-2,-10,-5,-17,-5,-11,3
07290,-2,-2,-10,-5,-17,-5,-11,3
7370,-2,-2,-10,-5,-17,-5,-11,3
13170117,2,2,18,51,1,-4,2,11
301018,2,2,18,51,1,-4,2,11
0944,2,2,18,51,1,-4,2,11
0577,2,2,18,51,1,-4,2,11
01170,2,2,18,51,1,-4,2,11
01214,3,2,18,-3,2,4,5,6
01028,-2,-5,-18,-15,-1,1,-2,-6
0904,-2,-5,-18,-15,-1,1,-2,-6
0679,-2,-5,-18,-15,-1,1,-2,-6
01305,-2,-6,-27,-1,1,-4,-2,0
01140,-1,-1,26,35,1,2,-1,5
01023,-1,-1,26,35,1,2,-1,5
0860,-1,-1,26,35,1,2,-1,5
0681,-1,-1,26,35,1,2,-1,5
01292,-1,-1,26,35,1,2,-1,5
01176,-11,-8,-3,8,4,-1,-4,-17
0945,-11,-8,-3,8,4,-1,-4,-17
0581,-11,-8,-3,8,4,-1,-4,-17
01029,-11,-8,-3,8,4,-1,-4,-17
01362,0,5,-5,8,6,1,3,-5
01044,0,5,-5,8,6,1,3,-5
010100,0,5,-5,8,6,1,3,-5
6810,0,5,-5,8,6,1,3,-5
784013,0,-4,-24,-32,-10,-1,-17,-13
4301138,3,0,7,10,7,11,8,4
01013,3,0,7,10,7,11,8,4
0919,3,0,7,10,7,11,8,4
0628,3,0,7,10,7,11,8,4
01300,-1,3,21,1,-10,-12,-9,-4
01148,1,-3,-5,-22,-1,3,-5,-2
01021,1,-3,-5,-22,-1,3,-5,-2
0910,1,-3,-5,-22,-1,3,-5,-2
0624,1,-3,-5,-22,-1,3,-5,-2
01227,1,-3,-5,-22,-1,3,-5,-2
01185,-2,-6,-25,-6,7,4,10,4
01030,0,3,17,5,-5,-3,-2,1
0921,0,3,17,5,-5,-3,-2,1
0622,0,3,17,5,-5,-3,-2,1
01224,-2,2,-4,-4,-1,-4,0,-5
01191,-1,-12,-63,-80,-7,-2,3,2
0953,-1,-12,-63,-80,-7,-2,3,2
0575,-1,-12,-63,-80,-7,-2,3,2
01016,-1,-12,-63,-80,-7,-2,3,2
01363,2,5,21,20,-2,-3,0,-1
01056,2,5,21,20,-2,-3,0,-1
010030,2,5,21,20,-2,-3,0,-1
7700,2,5,21,20,-2,-3,0,-1
76401334,2,5,21,20,-2,-3,0,-1
01155,2,5,21,20,-2,-3,0,-1
01022,-2,-1,5,1,-7,-10,-5,-13
0928,-2,-1,5,1,-7,-10,-5,-13
0618,-2,-1,5,1,-7,-10,-5,-13
01210,0,0,15,21,-16,-6,4,8
01201,0,0,15,21,-16,-6,4,8
01029,0,0,15,21,-16,-6,4,8
0961,-2,-6,-27,-1,1,-4,-2,0
0597,-1,-1,26,35,1,2,-1,5
01145,-1,-1,26,35,1,2,-1,5
01250,-2,0,21,-7,3,1,-2,14
01034,-2,0,21,-7,3,1,-2,14
0965,-2,0,21,-7,3,1,-2,14
0589,-2,0,21,-7,3,1,-2,14
01212,-2,0,21,-7,3,1,-2,14
01210,2,7,6,15,0,0,-3,-5
01039,0,-7,-2,12,1,-4,4,8
0588,0,-7,-2,12,1,-4,4,8
01006,1,5,9,0,-2,-4,0,-8
01383,1,5,9,0,-2,-4,0,-8
01071,-1,-2,-11,-9,-3,4,7,-1
01029,-1,-2,-11,-9,-3,4,7,-1
07310,-1,-2,-11,-9,-3,4,7,-1
7640,-1,-2,-11,-9,-3,4,7,-1
13380,-4,-1,2,26,-6,3,-12,-7
1178010,-4,-1,2,26,-6,3,-12,-7
340945,-4,-1,2,26,-6,3,-12,-7
0594,-4,-1,2,26,-6,3,-12,-7
01123,-4,-1,2,26,-6,3,-12,-7
01265,1,-2,6,-25,2,5,-9,0
01043,-3,-6,-42,-88,-7,-2,-5,3
01007,-3,-6,-42,-88,-7,-2,-5,3
0621,-3,-6,-42,-88,-7,-2,-5,3
01327,0,1,-6,2,2,-9,4,7
01152,0,1,-6,2,2,-9,4,7
01039,-1,3,-6,32,5,-1,-4,-12
0915,-1,3,-6,32,5,-1,-4,-12
0656,-1,3,-6,32,5,-1,-4,-12
01270,1,5,43,1,0,3,-3,7
01191,3,2,5,10,6,-1,2,-1
01043,3,2,5,10,6,-1,2,-1
0922,3,2,5,10,6,-1,2,-1
01202,3,2,5,10,6,-1,2,-1
01286,-2,3,19,5,-11,-2,9,0
01063,-2,3,19,5,-11,-2,9,0
01035,1,-2,-2,18,3,-3,2,2
0649,1,-2,-2,18,3,-3,2,2
08780,-3,-5,0,-38,3,1,5,23
13980,-3,-5,0,-38,3,1,5,23
113101048,2,2,12,-39,5,9,5,23
0887,2,2,12,-39,5,9,5,23
0661,2,2,12,-39,5,9,5,23
01273,-2,-6,-41,-8,2,-8,3,-8
01209,-1,6,32,54,2,0,-1,-23
01056,-1,6,32,54,2,0,-1,-23
0938,-1,6,32,54,2,0,-1,-23
0664,-1,6,32,54,2,0,-1,-23
01267,-1,6,32,54,2,0,-1,-23
01213,2,-1,-3,0,-5,0,-6,-1
01051,2,-1,-3,0,-5,0,-6,-1
0978,2,-1,-3,0,-5,0,-6,-1
0666,2,-1,-3,0,-5,0,-6,-1
01270,-1,-3,13,24,-5,-4,0,-11
01214,-1,-3,13,24,-5,-4,0,-11
01055,-1,-8,-8,-18,-16,-11,-2,4
0949,-1,-8,-8,-18,-16,-11,-2,4
01193,-1,-8,-8,-18,-16,-11,-2,4
01307,-1,-4,-7,0,1,-2,-2,-2
01076,-1,-4,-7,0,1,-2,-2,-2
01044,-1,-4,-7,0,1,-2,-2,-2
0673,-1,-4,-7,0,1,-2,-2,-2
08650,-1,-4,-7,0,1,-2,-2,-2
14060,1,6,-2,40,-7,-17,3,3
115401,1,6,-2,40,-7,-17,3,3
05409,1,6,-2,40,-7,-17,3,3
110664,1,6,-2,40,-7,-17,3,3
01193,1,6,-2,40,-7,-17,3,3
01280,1,6,-2,40,-7,-17,3,3
01069,-2,-3,3,8,10,4,-1,11
0999,-2,-3,3,8,10,4,-1,11
0632,-2,-3,3,8,10,4,-1,11
01186,-1,-4,6,13,-1,1,6,-11
01277,-1,-3,0,-1,-1,-11,-10,-4
01079,-1,-3,0,-1,-1,-11,-10,-4
01029,-1,-3,0,-1,-1,-11,-10,-4
0637,-1,-3,0,-1,-1,-11,-10,-4
01186,-1,-3,0,-1,-1,-11,-10,-4
01289,-2,0,8,4,0,3,8,-5
01082,-2,0,8,4,0,3,8,-5
01012,-2,0,8,4,0,3,8,-5
0620,-2,1,2,9,-10,-10,1,-1
01393,-2,1,2,9,-10,-10,1,-1
01104,-3,-7,-13,-49,-1,2,-5,-12
01061,-3,-7,-13,-49,-1,2,-5,-12
0712,-3,-7,-13,-49,-1,2,-5,-12
0872,1,5,-11,69,8,3,22,14
014160,-1,-3,-16,-10,0,0,-7,-4
11740,-1,-3,-16,-10,0,0,-7,-4
10810,-1,-3,-16,-10,0,0,-7,-4
9470673,-1,-3,-16,-10,0,0,-7,-4
01195,-1,-3,-16,-10,0,0,-7,-4
01314,3,7,24,59,3,12,6,2
01101,0,-6,2,-6,-2,4,-5,9
01036,0,-6,2,-6,-2,4,-5,9
0645,0,-6,2,-6,-2,4,-5,9
01130,0,-6,2,-6,-2,4,-5,9
01238,0,-6,2,-6,-2,4,-5,9
01103,-5,-1,-5,6,-17,-7,-1,0
0968,-5,-1,-5,6,-17,-7,-1,0
0725,-5,-1,-5,6,-17,-7,-1,0
01275,-1,2,-13,-7,-2,-1,-3,-3
01249,-1,4,10,13,10,5,5,-5
01109,-1,4,10,13,10,5,5,-5
0986,-1,4,10,13,10,5,5,-5
0,-1,4,10,13,10,5,5,-5
735,-1,4,10,13,10,5,5,-5
01347,1,-3,-22,-28,0,-2,6,-2
01127,1,-3,-22,-28,0,-2,6,-2
01101,1,-3,-22,-28,0,-2,6,-2
0695,1,-3,-22,-28,0,-2,6,-2
01027,1,-3,-22,-28,0,-2,6,-2
015070,1,-3,-22,-28,0,-2,6,-2
118701,-1,-2,-3,-70,-8,-15,-5,5
1280,-1,-2,-3,-70,-8,-15,-5,5
91308,-1,-2,-3,-70,-8,-15,-5,5
0701377,-3,2,-7,11,1,13,-3,-14
01307,-1,2,-3,13,-10,0,-17,-13
01162,-1,2,-3,13,-10,0,-17,-13
01080,-1,2,-3,13,-10,0,-17,-13
0748,-1,2,-3,13,-10,0,-17,-13
01321,-1,2,-3,13,-10,0,-17,-13
01369,-2,0,9,11,4,13,-9,3
01179,5,11,5,15,5,11,4,31
01103,5,11,5,15,5,11,4,31
0758,5,11,5,15,5,11,4,31
01413,5,11,5,15,5,11,4,31
01381,5,11,5,15,5,11,4,31
01197,-4,1,9,18,8,5,28,-1
01125,-4,1,9,18,8,5,28,-1
0786,-4,1,9,18,8,5,28,-1
01363,3,-6,-19,4,-1,-3,-7,7
01232,3,-6,-19,4,-1,-3,-7,7
01202,3,-6,-19,4,-1,-3,-7,7
0803,3,-6,-19,4,-1,-3,-7,7
01116,3,-6,-19,4,-1,-3,-7,7
01610,1,-2,-8,-47,-5,-10,11,4
012990,-5,5,30,24,-4,-7,-3,-17
12460,-5,5,30,24,-4,-7,-3,-17
10850,-5,5,30,24,-4,-7,-3,-17
90201461,-5,5,30,24,-4,-7,-3,-17
01469,-5,5,30,24,-4,-7,-3,-17
01275,-5,5,30,24,-4,-7,-3,-17
01195,-5,5,30,24,-4,-7,-3,-17
0844,1,-2,-4,-2,-12,5,3,17
01415,-6,1,1,7,5,35,7,-12
01490,-6,1,1,7,5,35,7,-12
01299,-1,-4,-32,2,5,24,0,-18
01243,-1,-4,-32,2,5,24,0,-18
0854,-1,-4,-32,2,5,24,0,-18
01423,-1,-4,-32,2,5,24,0,-18
01506,-2,-13,-6,-3,-11,-14,-4,23
01313,-2,-13,-6,-3,-11,-14,-4,23
01236,-2,-13,-6,-3,-11,-14,-4,23
0859,-2,-13,-6,-3,-11,-14,-4,23
01434,3,9,11,7,3,-2,-3,-8
01326,-1,3,5,26,-6,-20,3,-5
01294,-1,3,5,26,-6,-20,3,-5
0896,-1,3,5,26,-6,-20,3,-5
01190,-1,3,5,26,-6,-20,3,-5
01680,-1,3,5,26,-6,-20,3,-5
01395,-5,-7,0,14,-2,9,-9,-7
013170,-3,-4,-1,6,-6,-18,-5,-7
11860,-3,-4,-1,6,-6,-18,-5,-7
93501462,-3,-4,-1,6,-6,-18,-5,-7
01561,-1,2,20,14,12,14,-10,-19
01358,-2,-6,7,-10,3,-10,-6,-8
01295,-2,-6,7,-10,3,-10,-6,-8
0898,-2,-6,7,-10,3,-10,-6,-8
01400,-2,-6,7,-10,3,-10,-6,-8
01671,-2,-6,7,-10,3,-10,-6,-8
01378,-2,2,-2,-4,8,13,-30,-12
01342,-2,2,-2,-4,8,13,-30,-12
0926,-2,2,-2,-4,8,13,-30,-12
01420,-10,5,10,15,5,0,1,-6
01645,-10,5,10,15,5,0,1,-6
01396,0,-3,-8,-55,-10,-13,7,10
01359,0,-3,-8,-55,-10,-13,7,10
0945,0,-3,-8,-55,-10,-13,7,10
01365,0,-3,-8,-55,-10,-13,7,10
01713,-3,-5,3,0,-6,-15,-4,-6
01375,-3,-5,3,0,-6,-15,-4,-6
0955,-3,-5,3,0,-6,-15,-4,-6
01435,-3,-5,3,0,-6,-15,-4,-6
01677,-3,-5,3,0,-6,-15,-4,-6
01425,1,-13,-4,5,-10,0,20,18
01384,1,-13,-4,5,-10,0,20,18
0957,1,-13,-4,5,-10,0,20,18
01434,1,1,3,7,7,33,6,6
01695,1,1,3,7,7,33,6,6
01438,1,1,3,7,7,33,6,6
01397,-2,-1,-1,-1,-11,-5,-28,-11
0980,-2,-1,-1,-1,-11,-5,-28,-11
01380,-2,-1,-1,-1,-11,-5,-28,-11
01707,-4,-1,-5,0,-3,-3,9,-10
01443,-4,-1,-5,0,-3,-3,9,-10
01409,0,-5,3,-12,12,32,16,9
0989,0,-5,3,-12,12,32,16,9
01389,0,-5,3,-12,12,32,16,9
01759,0,-5,3,-12,12,32,16,9
01456,1,15,-4,0,-1,1,-6,-9
01416,1,15,-4,0,-1,1,-6,-9
01003,1,15,-4,0,-1,1,-6,-9
01389,1,-4,-8,-13,-21,-15,-4,7
01771,2,-13,-7,-14,2,21,18,7
01424,2,3,3,13,10,2,1,-5
01046,2,3,3,13,10,2,1,-5
01280,2,3,3,13,10,2,1,-5
01806,-6,-6,1,1,3,-15,-13,-1
015320,-6,-6,1,1,3,-15,-13,-1
14430,-6,-6,1,1,3,-15,-13,-1
129201,-6,-6,1,1,3,-15,-13,-1
06201604,-6,-6,1,1,3,-15,-13,-1
01648,-6,-6,1,1,3,-15,-13,-1
01469,-6,-10,-5,2,-12,-26,-1,-8
01418,-6,-10,-5,2,-12,-26,-1,-8
01006,-6,-10,-5,2,-12,-26,-1,-8
01533,4,-2,15,-2,6,-17,-4,4
01663,4,-2,15,-2,6,-17,-4,4
01472,4,-2,15,-2,6,-17,-4,4
01417,4,-2,15,-2,6,-17,-4,4
01018,-4,-7,-5,19,7,4,0,-7
01532,-4,-7,-5,19,7,4,0,-7
01718,3,4,24,35,11,34,0,9
01483,3,4,24,35,11,34,0,9
01427,3,4,24,35,11,34,0,9
01014,3,4,24,35,11,34,0,9
01537,3,4,24,35,11,34,0,9
01724,3,4,24,35,11,34,0,9
01479,-1,0,-2,1,-3,-15,6,-3
01016,-1,0,-2,1,-3,-15,6,-3
01406,-1,-3,1,0,4,11,-15,-13
01830,-1,-3,1,0,4,11,-15,-13
01515,-1,-3,2,-4,3,3,16,1
01453,-1,-3,2,-4,3,3,16,1
012560,-1,-3,2,-4,3,3,16,1
11100,-1,-3,2,-4,3,3,16,1
172401623,-1,-3,2,-4,3,3,16,1
01469,1,-4,-10,-22,-7,-62,-10,-6
01432,1,-4,-10,-22,-7,-62,-10,-6
01014,1,-4,-10,-22,-7,-62,-10,-6
01523,1,-4,-10,-22,-7,-62,-10,-6
01718,1,-4,-10,-22,-7,-62,-10,-6
01477,3,7,-6,-12,7,27,2,-3
01438,3,7,-6,-12,7,27,2,-3
01015,3,7,-6,-12,7,27,2,-3
01458,-3,-5,-6,3,-16,-10,6,-18
01783,-3,-5,-6,3,-16,-10,6,-18
01491,-3,0,-19,-25,-4,4,-10,-3
01433,-3,0,-19,-25,-4,4,-10,-3
01030,-3,0,-19,-25,-4,4,-10,-3
01454,-3,0,-19,-25,-4,4,-10,-3
01748,-1,1,2,0,-15,-52,-7,-15
01497,-3,0,29,31,7,33,1,-3
01040,-3,0,29,31,7,33,1,-3
01397,-3,0,29,31,7,33,1,-3
01854,-3,0,29,31,7,33,1,-3
01541,0,-2,-6,-12,-14,-14,6,-3
01482,0,-2,-6,-12,-14,-14,6,-3
01233,0,-2,-6,-12,-14,-14,6,-3
01168,0,-2,-6,-12,-14,-14,6,-3
017340,0,-2,-6,-12,-14,-14,6,-3
16580,0,-2,-6,-12,-14,-14,6,-3
148701,-2,-2,2,25,2,7,-5,-4
42901034,-1,-7,-9,-57,-1,15,3,4
01456,-1,-7,-9,-57,-1,15,3,4
01799,-4,-3,-12,-48,-2,-8,2,6
01499,-2,5,-2,12,9,8,-2,-4
01449,-2,5,-2,12,9,8,-2,-4
01029,-2,5,-2,12,9,8,-2,-4
01450,-2,5,-2,12,9,8,-2,-4
01826,-2,5,-2,12,9,8,-2,-4
01504,-2,1,5,0,-19,-25,-21,0
01460,-2,1,5,0,-19,-25,-21,0
01065,-2,1,5,0,-19,-25,-21,0
01375,-2,1,5,0,-19,-25,-21,0
01828,-2,1,5,0,-19,-25,-21,0
01502,-2,1,5,0,-19,-25,-21,0
01456,2,-1,17,14,-5,0,17,11
01308,2,-1,17,14,-5,0,17,11
01829,1,-2,13,3,0,6,1,-4
01530,2,1,20,75,6,-7,-20,-9
01466,2,1,20,75,6,-7,-20,-9
01285,2,1,20,75,6,-7,-20,-9
010770,2,1,20,75,6,-7,-20,-9
16160,2,1,20,75,6,-7,-20,-9
16980,2,1,9,21,13,13,14,13
1466014,2,1,9,21,13,13,14,13
2601015,2,1,9,21,13,13,14,13
01407,-2,-5,-33,-19,-1,-11,-1,-7
01783,-2,-5,-33,-19,-1,-11,-1,-7
01483,-1,-2,22,-31,-5,0,-5,-2
01432,-3,-6,-1,-2,-3,2,-4,-18
01048,-3,-6,-1,-2,-3,2,-4,-18
01325,-3,-6,-1,-2,-3,2,-4,-18
01790,3,2,31,38,13,11,1,8
01461,1,-3,-28,31,1,0,-13,11
01398,1,-3,-28,31,1,0,-13,11
0964,1,-3,-28,31,1,0,-13,11
01491,1,-3,-28,31,1,0,-13,11
01653,1,-3,-28,31,1,0,-13,11
01415,-6,-6,-53,-6,-1,-3,-1,-1
013,-6,-6,-53,-6,-1,-3,-1,-1
53,-6,-6,-53,-6,-1,-3,-1,-1
01394,1,4,-13,-21,-10,-9,8,2
01719,1,4,-13,-21,-10,-9,8,2
01404,0,0,35,-16,-3,-5,-3,-6
01353,0,0,35,-16,-3,-5,-3,-6
01086,0,0,35,-16,-3,-5,-3,-6
01059,0,0,35,-16,-3,-5,-3,-6
016700,1,8,-22,-75,-6,5,13,9
14550,1,8,-22,-75,-6,5,13,9
13260,1,8,-22,-75,-6,5,13,9
12530886,1,8,-22,-75,-6,5,13,9
01380,1,8,-22,-75,-6,5,13,9
01608,1,8,-22,-75,-6,5,13,9
01320,-5,2,-2,-13,7,-6,-12,-7
01263,-5,2,-2,-13,7,-6,-12,-7
0836,-5,2,-2,-13,7,-6,-12,-7
01276,6,18,84,28,-2,-8,-2,6
01570,6,18,84,28,-2,-8,-2,6
01278,6,18,84,28,-2,-8,-2,6
01228,-4,-24,-30,-49,2,5,6,1
0821,-4,-24,-30,-49,2,5,6,1
01297,-4,-24,-30,-49,2,5,6,1
01529,4,14,44,8,4,3,4,2
01235,4,14,44,8,4,3,4,2
01185,4,14,44,8,4,3,4,2
0764,4,14,44,8,4,3,4,2
01542,4,14,44,8,4,3,4,2
01225,-2,0,-17,48,-1,-2,11,4
01170,-2,0,-17,48,-1,-2,11,4
0915,-2,0,-17,48,-1,-2,11,4
08600,-2,0,-17,48,-1,-2,11,4
14230,-2,0,-17,48,-1,-2,11,4
13350,-3,-7,-24,-66,-5,6,-4,-10
116201,-3,0,-9,11,-1,4,10,-6
1230706,-3,0,-9,11,-1,4,10,-6
01135,-3,0,-9,11,-1,4,10,-6
01462,-4,-9,-7,-59,-15,-8,-9,0
01167,-4,-9,-7,-59,-15,-8,-9,0
