# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
9.934654610077980896e-01,3.049892032049588586e+00,2.076020408511774384e+00,-1.000390546833031413e+00,3.008412680959769769e+00,-4.054561187447226267e+00,3.734062907944883936e+00,2.869469177070993471e-02,1.433749487246290073e+02
9.419767096099500581e-01,3.206529218367208500e+00,2.427741247618017351e+00,-6.498678167051629151e-01,3.221708906650972537e+00,-4.134757834143512056e+00,5.042198064092781706e+00,5.979954946145256411e-02,1.694271827958175436e+02
1.033624673984867126e+00,3.069663538490001731e+00,2.055546347275535091e+00,-1.041686484628259413e+00,3.036669659113118147e+00,-4.100406274737185441e+00,3.640726706760547771e+00,4.174342352311249948e-02,1.634280448056885575e+02
1.085816081618926177e+00,2.727185176717092929e+00,1.277765313798919999e+00,-1.299940591976787241e+00,2.785251753412774978e+00,-3.612522072935748785e+00,3.846494977551588867e+00,-3.069402411097806871e-01,1.916933338575116750e+02
9.286319640957562127e-01,3.016380338603901201e+00,1.817759261485186073e+00,-8.499231927742763038e-01,2.919227016093279392e+00,-3.709162816688156283e+00,4.215811303679569022e+00,-3.501040593876950657e-01,1.837671515050771518e+02
8.702293464128199041e-01,3.029482124299735624e+00,2.177576862009376502e+00,-6.003643053189093859e-01,3.072526835099183895e+00,-3.832418710179176013e+00,5.072868852432601550e+00,-2.404665705263381303e-01,2.140877296677613231e+02
9.355690178566770099e-01,2.699882286043949087e+00,1.720549521992128073e+00,-1.224535652396731233e+00,2.740355284043948014e+00,-3.826081984397885716e+00,2.900469501900266422e+00,-1.733105095539355656e-01,2.043286628581946047e+02
8.701218833753765480e-01,1.960951909199939003e+00,6.569211252425268821e-01,-1.541585954629915545e+00,2.201802952027327009e+00,-3.010009607967258027e+00,2.630881653045974211e+00,-8.216782089464146344e-01,2.365085246546385065e+02
5.620654078777083118e-01,1.797511668786394567e+00,1.104450024089334459e+00,-1.023625640128220216e+00,2.062894590701496611e+00,-2.889155042340560975e+00,2.167828219304422710e+00,-1.134973872889891711e+00,2.250541578237962312e+02
4.112656134877937797e-01,1.428699340391500483e+00,1.426472511177235170e+00,-9.040753725375572092e-01,1.997072359454984403e+00,-2.956331134731928323e+00,2.098062780963170226e+00,-1.025303331280415176e+00,2.588620645009683585e+02
