# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-1.204632068642798792e+01,-1.002657931736222885e+01,-1.679091862207854646e+01,-1.334356233555939575e+01,-1.291522153323276356e+01,-3.805607063150202407e+01,-6.537334171701807861e+00,-4.070614026872739544e+01,-4.357660854127709626e+01
-8.790161774052336341e+00,-7.247557291648397459e+00,-1.092773015355679966e+01,-7.623610525470038368e+00,-8.585672254368606815e+00,-3.015099796115208974e+01,6.206382303446433824e-01,-2.368952181722041672e+01,-3.646259750254830578e+01
-9.035188212515734563e+00,-7.366408004570395462e+00,-1.242947911544814943e+01,-9.465070400430759534e+00,-1.029682087088268005e+01,-2.558522822889882420e+01,-1.269474840301787921e+00,-2.259301232164177975e+01,3.881831804710697043e+01
-8.945909427121659263e+00,-8.042527708477654969e+00,-1.210952509168290092e+01,-9.907736538523371550e+00,-1.198827428017083641e+01,-2.056381199240605540e+01,-2.975458021298372557e+00,-2.168839683408299734e+01,4.183803883369000687e+01
-6.103808270719774498e+00,-5.343612064149001029e+00,-9.433905463275157999e+00,-6.253054853949665315e+00,-7.320468602811294190e+00,-1.343424436719376658e+01,1.185422800603462612e+00,-1.189724689069182517e+01,1.208940435095363455e+02
-4.183081875613275713e+00,-2.834299434096504200e+00,-3.581277995173911322e+00,-1.473294448095959552e+00,-4.217727034595881719e+00,-8.360585055183967995e+00,7.440041192133548975e+00,3.547866504293807566e+00,1.197053423200635507e+02
-5.804507207199259611e+00,-3.215420728198199463e+00,-4.774497844862187534e+00,-3.926409983895907452e+00,-7.153616942160234693e+00,-7.527231803338246152e+00,4.111583902726321682e+00,1.391599126767193439e+00,2.024114266264753041e+02
-6.404442333473797433e+00,-4.395468863645714208e+00,-4.419074026907457764e+00,-4.659361528946464936e+00,-9.227068348640951712e+00,-5.519132740039930596e+00,-2.723715925983993813e-01,-4.629875001764796494e+00,1.969506255529183818e+02
-4.684415365807222287e+00,-2.395208779860408477e+00,-3.005505432367330254e+00,-2.813827843761605774e+00,-5.454181728031933574e+00,-1.601056339848337728e+00,8.032449839053024121e-01,-1.908697392709941099e+00,2.831408352659290131e+02
-4.053438080246657194e+00,-2.716640660686229225e-01,2.981105350663277420e+00,2.704752253536275575e-01,-3.824270445762663506e+00,6.510284944242261673e-02,5.698400875713650393e+00,1.207568640192599219e+01,2.733877686250580155e+02
-5.832765187245587235e+00,-4.763184389588479561e-01,3.539293152619015004e+00,-1.919434160272156742e+00,-7.019843522932011304e+00,-1.527402739854816005e+00,2.278286890467678738e+00,1.102282030986091144e+01,3.628686322638029651e+02
-5.903117521347835961e+00,-1.812671012862147712e+00,4.425821430477629548e+00,-1.885366250669228805e+00,-8.373130827007301491e+00,-1.101328597834545064e+00,-3.047197072940788232e+00,2.906976594833846406e+00,3.488316211128030773e+02
-4.366550311089072878e+00,-2.805279095495354369e-01,4.082317742921611092e+00,-1.441873010832414259e+00,-4.689536568891746526e+00,1.002756447640321458e+00,-3.567587809099958207e+00,3.574024255942006789e+00,4.413994317625995336e+02
-3.744722005413159138e+00,1.864316512313859420e+00,1.018067731798712572e+01,6.211088971889671129e-01,-3.470893859154199568e+00,1.539863985095387022e+00,1.912360400784164582e+00,2.313302006928235244e+01,4.231039647967511428e+02
-4.437327969944456996e+00,2.093108420131146286e+00,1.221547300406250081e+01,-4.205947139674868218e-01,-5.979420794452926735e+00,-1.691306599579349701e-01,1.040790492431652225e+00,3.103718261960104741e+01,5.185557665567064305e+02
-3.437029286131297212e+00,6.395765663710939464e-01,1.213334154221757721e+01,6.121251354830290481e-01,-6.105826788753618395e+00,-7.692477899298655331e-02,-2.746361849166220281e+00,2.649518257097601293e+01,4.960396232705641069e+02
-1.884411276400793422e+00,1.885755653565073686e+00,8.176967220313628104e+00,-4.964517219132851267e-01,-1.794898864744094880e+00,1.099809867927833196e+00,-3.578502253866982841e+00,2.715158896894904927e+01,5.941767628560139656e+02
-1.254016388172368046e+00,4.091182028884868593e+00,1.230583031557448237e+01,1.673546882188645668e-01,-1.801175078487382564e-02,1.506822757578416994e+00,2.207587310658745139e+00,4.952520100492205302e+01,5.674879480734092567e+02
-1.452144660037799184e+00,4.578670533529028752e+00,1.357539481145407834e+01,-7.335136028734190461e-01,-1.212607955255505132e+00,3.590772895651207497e-01,3.132746920290184534e+00,5.998345688917825669e+01,6.681166659212753984e+02
-3.130161914990539085e-01,3.072706149927251662e+00,1.117474052130305751e+01,2.395429595734643868e-01,1.390316227355246070e-01,4.846495825457164397e-01,3.152981720044749636e-01,5.157259905337448913e+01,6.373120989102330896e+02
6.611337050732137843e-01,4.035102490371032857e+00,2.845300256089139168e+00,-2.624369552176744058e+00,5.186363569292497644e+00,1.109270288743037902e+00,-2.273042738559514220e+00,4.326200349551095314e+01,7.402446744612991552e+02
7.796085303963049551e-01,5.642475899637428682e+00,3.569576107819235844e+00,-3.385393558301797334e+00,7.345652015918355815e+00,1.514826645055453724e+00,1.041043444736660106e+00,5.673351505071730827e+01,7.053890366980056115e+02
3.500830923272740813e-01,5.613994726248353828e+00,3.781401236914508246e+00,-4.312626146486560508e+00,6.566931649452875774e+00,7.220334452144103743e-01,1.753549959382867840e+00,6.090430149135497118e+01,8.104436275005703010e+02
1.246094903630747153e+00,3.913617562642398351e+00,2.212595825396871163e+00,-2.570038480286221727e+00,7.521751048357176117e+00,7.416120164140591609e-01,1.022127648219397500e-01,4.829544853287363537e+01,7.716085141818837201e+02
1.812556718847383452e+00,4.834136399387766403e+00,-5.862128878409978761e+00,-5.351483492087119487e+00,1.106786398482043943e+01,9.124019059947768850e-01,-3.058230539406458171e+00,3.570446719687230086e+01,8.786038337492720984e+02
1.513764088826145215e+00,5.828592862529634822e+00,-5.645568928631515604e+00,-6.312246925528947727e+00,1.183914682086665771e+01,1.252276573170510998e+00,-1.588649831754041841e+00,4.328420932859121706e+01,8.358700993043132712e+02
7.550885854029372179e-01,5.095153208855061067e+00,-4.316618930748502336e+00,-6.749848033958323335e+00,1.007954490110016543e+01,4.753950174431987863e-01,-6.068653482802304211e-01,4.329848947221495337e+01,9.446149731686509767e+02
1.581930358615681875e+00,3.386813987612107280e+00,-2.045637232305161035e+00,-3.512501166304746292e+00,9.413648926239655879e+00,1.698519636542707989e-01,-1.274271571836553818e-01,3.067647354473414367e+01,8.980849766717362854e+02
2.121583096835359061e+00,4.827127569660246031e+00,-7.536694591069810656e+00,-5.544742492184651539e+00,1.075196279424005041e+01,-6.474563824581558436e-03,-2.757303513536195183e+00,1.796475996841428824e+01,1.008362842798333759e+03
1.512545552514143132e+00,5.574520844291033228e+00,-7.423042768601813890e+00,-6.815254726246518402e+00,9.933684036719837351e+00,3.288130385969123548e-01,-2.591403855209113871e+00,2.076960469848808088e+01,9.581845466964909974e+02
3.500506253727537764e-01,4.224086519632190395e+00,-5.193582541278273013e+00,-7.307539959202965285e+00,7.271826203747083994e+00,-6.067188701411239116e-01,-1.560399736260381420e+00,1.669040616639103902e+01,1.069735367554313598e+03
1.136834397059256041e+00,2.751445559966065879e+00,7.587470604004495911e-01,-3.249545617202906911e+00,5.496430646228488648e+00,-1.341448915205660786e+00,3.235340825852155433e-01,5.477463460401189366e+00,1.016123911160991383e+03
1.681132233838164236e+00,5.146868425611271114e+00,-2.603544044115645661e+00,-5.274799589571914638e+00,5.465213108908317352e+00,-1.603202493236301818e+00,-2.153079957406831113e+00,-5.214122530670019628e+00,1.128634572698756529e+03
7.030610703241331194e-01,6.047068467295871663e+00,-3.401163863080375993e+00,-7.528713341044744212e+00,3.953561658398955014e+00,-8.116393281314350228e-01,-3.276145712414141542e+00,-4.750592536651179643e+00,1.071874437353139456e+03
-8.189547989305170361e-01,4.468084815135343391e+00,-1.340200442213818732e+00,-8.646439575464508920e+00,1.655032697394949182e+00,-1.467742676612635577e+00,-2.733695204707247584e+00,-8.382714647374093886e+00,1.184984595600941248e+03
4.189217287986402027e-02,3.340183837381831111e+00,6.881819546015439215e+00,-4.262067709848645691e+00,5.221716704128231967e-01,-2.173447008408745162e+00,-4.164637215896176414e-01,-1.244906321156056705e+01,1.125417434505584197e+03
