# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-2.001268999024757633e+00,-6.014163708640451134e+00,-7.951838842933691254e+00,2.031956260156406291e+00,4.500544463954858632e-02,5.986099729988469953e-02,5.952633467135770573e-02,9.713991722666910356e-01,5.568183280806806579e-01
-2.344744274608572265e+00,-4.960203926840970112e+00,-6.958586816755054194e+00,2.618710401784483111e-01,1.943340903751721305e-01,7.412760611995072857e-02,-4.188859617466482721e-01,-1.820677353055695225e-01,1.740801832904253388e+01
-1.712063653926645612e+00,-3.611838035732241714e+00,-3.770030332317064303e+00,2.391328063448789010e+00,-6.391694143403263695e-01,-7.634493341431802804e-02,5.418404674680408206e-01,3.316579525342375767e-01,9.233406745654883707e+01
-1.135475632745330143e+00,-2.508169732910911609e+00,-1.343390019158120285e+00,3.764095247825516743e+00,-1.854103276484970531e+00,-7.349441944832051377e-01,9.143709803751494114e-01,8.540965699157712088e-01,1.077404272744797709e+02
-1.528672758035305002e+00,-1.998478492140407070e+00,-8.654729322441968575e-01,1.543831979486802508e+00,-1.714123895085122307e+00,-5.997659359466624984e-01,5.100894516799567846e-01,-4.331562417403143073e-01,1.836596888542785564e+02
-1.851966576724454860e+00,-1.262206234850436815e+00,-2.358036248512016542e-01,-8.071056385191344162e-02,-1.472089097366871657e+00,-1.214444446050777504e-01,4.513219732701920783e-01,-1.585317877601002845e+00,1.974787835829679352e+02
-1.348293267407472351e+00,-5.814193501162965294e-01,2.026236499155673165e+00,1.906347026244539222e+00,-1.882966807450987545e+00,3.622082988134451842e-01,1.854379846558641187e+00,-1.294908284101594642e+00,2.742275282301220614e+02
-9.857499060949175274e-01,-4.191817934894181974e-01,3.075425075163175315e+00,2.407528903810053578e+00,-3.074616749903460455e+00,-2.657613111224739200e-01,1.948616333454152194e+00,-1.017428213224528921e+00,2.863375244373373789e+02
-1.387052099601742361e+00,-6.573471603546714448e-01,2.611930318289151565e+00,-3.862851703623979560e-01,-3.471697892043847489e+00,-5.169286200239691098e-01,1.104508629626198335e+00,-2.082390054927028888e+00,3.637672287546120060e+02
-1.663709911917448547e+00,-4.914550153097527740e-01,2.359022877339789215e+00,-2.185567577971239572e+00,-3.509682766045791436e+00,-2.052480440174999643e-01,8.742250660915429350e-01,-2.855855106644506591e+00,3.740660108565461996e+02
-1.395404410131785067e+00,-5.551111273511379895e-01,3.199982024309308226e+00,-1.045847284558151458e+00,-3.528263232610101330e+00,2.866953734791868325e-01,1.971568466966896693e+00,-2.687762033276009266e+00,4.520421830242859187e+02
-1.295730447181834943e+00,-1.039355758177346711e+00,3.126293867945644678e+00,-1.643035822618903907e+00,-4.666626328292457160e+00,-6.929827896761189265e-01,1.349642292238307117e+00,-2.657661357026091409e+00,4.604463796615204956e+02
-1.624710379110740455e+00,-1.547858729724616023e+00,2.355498357999054271e+00,-4.552292418125660767e+00,-5.660319041894266157e+00,-1.521568732480877983e+00,-3.373787428638275188e-02,-3.302689425777123766e+00,5.388381294659425294e+02
-1.792537752046816868e+00,-1.531648121766834958e+00,1.568130023111705240e+00,-6.226424005222184199e+00,-5.903374466460411973e+00,-1.527181035002980636e+00,-5.175613352766945674e-01,-3.510332726415496651e+00,5.452841849945200465e+02
-1.714101991883929088e+00,-1.886061262870866395e+00,1.385003874695161841e+00,-5.639039481840722345e+00,-5.135579368973083092e+00,-9.824105799019404728e-01,3.676593462780668453e-01,-3.415179129541457748e+00,6.239499098242854416e+02
-1.738580016229493985e+00,-2.352086963632032290e+00,1.127581798616288156e+00,-6.027258776606311486e+00,-5.550166512384447692e+00,-1.788274280638618485e+00,-3.299891216065327093e-01,-3.495520824122595904e+00,6.283960396324059730e+02
-1.826431069079259562e+00,-2.430806758885954988e+00,1.026918637075638019e+00,-7.212701740666461525e+00,-6.419565416508025812e+00,-2.429226621341674885e+00,-1.354734108980140572e+00,-3.499869071568827650e+00,7.071807732911347557e+02
-1.763443160179500868e+00,-2.112833927382259613e+00,1.760609603822886338e-01,-7.675867832462775375e+00,-6.332642330051098334e+00,-2.249782201612073429e+00,-1.477421314456830892e+00,-3.051634916304413636e+00,7.096074484732253040e+02
-1.738071712081826981e+00,-2.441035919829592782e+00,-7.146183548387741169e-01,-7.019183276154813633e+00,-4.305122501713366745e+00,-1.347213896246316045e+00,-3.878609835564126307e-01,-2.957343171716930730e+00,7.883537720220840583e+02
-1.754804231305786777e+00,-2.555371203206843855e+00,-6.999635774109818076e-01,-6.276824149716508039e+00,-3.461526535418060213e+00,-1.582640669779781240e+00,-7.168137195739252565e-01,-3.004687708237574473e+00,7.887610475598776247e+02
-1.590155260681271887e+00,-2.059539938621139932e+00,8.169636527768958656e-02,-5.148573260964626641e+00,-3.895703258133430325e+00,-1.792140811678295975e+00,-1.150144771703477176e+00,-2.449995081910709693e+00,8.673198446135136237e+02
-1.326610746059387225e+00,-1.532042236945180491e+00,-8.885090047671910796e-01,-4.710104417902682528e+00,-3.669572546843929750e+00,-1.602617330211569602e+00,-1.043168201039728293e+00,-1.719967683319848284e+00,8.657237268594599300e+02
-1.295944596114593450e+00,-1.882264376183162113e+00,-2.413248302602582829e+00,-4.556468313216665678e+00,-8.460984713026125092e-01,-6.588588536961097475e-01,3.495982081469506397e-04,-1.877246698911648082e+00,9.439572540067451882e+02
-1.307014158255148439e+00,-1.723948946741625576e+00,-2.067614004705261799e+00,-3.262283754254774237e+00,7.665256038140464412e-01,-5.620822223584909239e-01,-2.366781083864784030e-01,-2.047935451094669013e+00,9.403887290643849610e+02
-1.097041235524894187e+00,-1.040874244111633207e+00,-6.327057149000450131e-01,-9.830605679137747188e-01,-1.732983519987030263e-02,-7.595816095312645233e-01,-5.398544004988811151e-01,-1.440658282319066785e+00,1.018167239950440148e+03
-8.259718751559038674e-01,-6.902532138951380514e-01,-1.690501308174761519e+00,-1.095758718551360644e+00,-1.022448345532762204e+00,-1.176398220139885931e+00,-7.542308898477475543e-01,-1.033073493580829227e+00,1.012673935229197014e+03
-8.281000808885505826e-01,-1.113784005947865197e+00,-3.295926712687362148e+00,-2.344358527032618156e+00,1.144727103101727206e+00,-5.777138953442677582e-01,-1.157849756298705568e-01,-1.541233674968184975e+00,1.089865266401869576e+03
-9.506439482691426690e-01,-8.213535298440027832e-01,-2.423143019559627298e+00,-1.304559117441806748e+00,2.618210754744867863e+00,-2.418443560313081608e-01,-4.493820612367924738e-01,-1.693859490605232443e+00,1.082513588471719231e+03
-9.588673061522596797e-01,-3.778053817054027874e-01,-6.755085043938513500e-01,1.019629097962575059e+00,1.044856867161439773e+00,-5.529414444237792381e-01,-7.901898852805246953e-01,-1.058679752777986316e+00,1.158969419520221663e+03
-8.241488285715754536e-01,-3.623233443812722276e-01,-1.426166596451298174e+00,2.886297920933986738e-01,-1.394034487674971068e+00,-1.622315036462366855e+00,-1.320348811777328546e+00,-8.426160743344941473e-01,1.149846901279454187e+03
-8.085916107283066534e-01,-6.625829681825980977e-01,-2.094189231240015658e+00,-1.242680360408260576e+00,3.168511586803886004e-01,-1.168091112165138723e+00,-8.522183273159180672e-01,-1.304644763612210712e+00,1.225398028009626159e+03
-9.381951226602369687e-01,-2.386062465210343486e-01,-6.960111778532223070e-01,-1.162592422304744577e-01,2.355427567364612340e+00,-4.384135465803842280e-01,-1.098079595880510073e+00,-1.268310076393328600e+00,1.214615557256236116e+03
-1.050283517530625099e+00,-1.986769128972728504e-01,5.599602334740372278e-01,1.750415429436941395e+00,9.739982002506513137e-01,-8.085373946615899143e-01,-1.371837414906097896e+00,-6.561859731978729737e-01,1.289078892148740351e+03
-9.223712045018062078e-01,-4.185493330277921809e-01,-2.701522549557033859e-02,7.175585009221979726e-01,-2.146868411393226594e+00,-2.282202845681163605e+00,-1.942865780459458014e+00,-5.363225294144143840e-01,1.276771860260900667e+03
-7.702646444821799054e-01,-4.091453796317767733e-01,2.787730934265209015e-01,-4.080167685081645956e-01,-7.970759197617525160e-01,-1.715801272323163040e+00,-1.334239797652219561e+00,-8.964268063191971336e-01,1.349957015373761351e+03
-7.891461702208466544e-01,9.658485506727820802e-02,1.468663222215095931e+00,5.939637781796862637e-01,1.461515912877791923e+00,-5.282380997104638709e-01,-1.390305527474384739e+00,-8.884407427280649472e-01,1.336286516394505270e+03
-9.266260464985289769e-01,-3.751873927848978774e-01,1.328651381883175109e+00,1.515261783876040491e+00,2.161927386675071006e-01,-8.610351401949731809e-01,-1.565312644512942164e+00,-4.352208946267235312e-01,1.407995041545786989e+03
-8.653413593661322123e-01,-8.405723564519174129e-01,3.724960721795298468e-01,2.542234268418122056e-01,-3.292406663193572669e+00,-2.642379285758126528e+00,-2.092974460045636143e+00,-2.927824613190582737e-01,1.393150416722945010e+03
-7.419855778131301260e-01,-5.786377257203187963e-01,1.189739619455938424e+00,-2.478190919620206767e-01,-2.323219822602588636e+00,-2.165189875727385527e+00,-1.414907774862061984e+00,-5.005205518532565012e-01,1.463172143003886049e+03
-7.488861261654344847e-01,-7.941305906997508934e-02,1.919572687325630689e+00,7.072249914614380240e-01,-9.763751214942217871e-03,-6.614474669064622780e-01,-1.468281733381293197e+00,-6.188666372024859141e-01,1.447373155591872319e+03
-9.037589851602003677e-01,-1.016876870804795718e+00,5.640669068971648770e-01,8.812095816417933047e-01,-3.786918618605714659e-01,-5.102195268773719317e-01,-1.544897816769456256e+00,-3.224616491215839265e-01,1.515484332621535486e+03
