# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-1.104821425953998215e+01,-6.081655014594128161e+00,-2.191115610062342967e+01,-2.099284343834521138e+01,3.868840853388226364e+00,-1.309204832832399745e+01,-5.062481173892613207e+00,-1.387942057814501062e+01,-1.676772920306213450e+02
-9.801655823236416154e+00,-7.406828038483276089e+00,-1.946006853962641969e+01,-1.235188213620444486e+01,8.303793950890785425e-01,-7.369361312632495498e+00,-4.772074610922629745e+00,-9.286857227525240788e+00,-1.491428069455743071e+02
-6.795011244796024030e+00,-2.382317905600000785e+00,-1.234643607001983412e+01,-1.227709621568128284e+01,2.324947346799435266e-01,-6.285950745849188337e+00,-2.732001827024038931e+00,-9.630729709046779163e+00,-1.237983427933795610e+02
-4.554350838629074971e+00,1.911929953896311929e+00,-7.770962376395686988e+00,-1.286348441993938430e+01,6.068046450890847154e-01,-6.045410173085159045e+00,1.699619047644063130e-02,-1.081569478669323559e+01,-1.048837571327308069e+02
-4.397814664974779575e+00,-1.958716517888476005e+00,-8.643022261074641222e+00,-7.373971923851689425e+00,-1.640958229287718950e+00,-1.198586455886843538e+00,-5.068048471216499706e-01,-6.977809663156570252e+00,-8.042947925733892589e+01
-2.022365525083696269e+00,-1.656757457522093802e+00,-2.322703567338834318e+00,-1.245380960062274944e+00,-2.396955148222351895e+00,1.863403383552581616e+00,1.114813713460137024e+00,-3.906412188946612574e+00,-6.116697776095497829e+01
2.405399483855195086e+00,5.242703126247992174e+00,1.105174857751280015e+01,-1.486237434064273444e+00,-1.105148172586012834e+00,3.482698370595063153e-01,5.629124039143889036e+00,-5.630098512667744970e+00,-3.772330268134055586e+01
4.234723028071595508e+00,8.691090735327700045e+00,1.639784985839534670e+01,-2.888680524669766214e+00,9.018169358205696540e-01,-1.940522679700102060e+00,1.005667745572232263e+01,-8.152383245406326751e+00,-1.813674211590614505e+01
3.026690987446123415e+00,2.919997475417076771e+00,1.149525361554169933e+01,-1.353614896591727401e+00,5.311084769640253000e-01,2.472076663422750897e-02,9.008214878503260081e+00,-5.461927108212567106e+00,4.182099377094800730e+00
4.293596850021421218e+00,2.725533421490091257e+00,1.505218324385818107e+01,1.531737728240250007e+00,8.863648529977083967e-01,1.025097779979356361e+00,9.223064140495431218e+00,-2.960575895010411074e+00,2.408043913273729686e+01
7.203359849271855353e+00,8.623660966647179293e+00,2.609452187046559501e+01,1.626797307834737971e+00,1.550607914615829586e+00,-9.115537140161773522e-01,1.206064583629955500e+01,-4.048653431179005224e+00,4.516396098270070070e+01
6.845293269723619289e+00,9.449686676581789513e+00,2.595092121306294786e+01,6.520713696130719939e-03,2.935209673352373372e+00,-3.235230533219483284e+00,1.379808876102770299e+01,-5.547962055679066751e+00,6.537384812290815717e+01
3.584645964308163180e+00,1.045139445276709544e+00,1.313330849342805706e+01,-1.947404079989482284e+00,2.681917283347357017e+00,-1.756955612161812397e+00,9.180421461928762739e+00,-2.365194696555914966e+00,8.511542756792130149e+01
2.850829052879104708e+00,-5.490252226580718542e-01,1.003762605544492814e+01,-1.542541475918646654e+00,2.312827923056179902e+00,-2.535309364395708087e-01,5.827952536885826262e+00,5.464175407047351385e-01,1.056464820276406726e+02
3.789699738652011263e+00,3.966535601354665985e+00,1.662338015926925650e+01,-4.708337582619490647e-01,9.622330488556758432e-01,-3.379961810057636740e-01,5.495685403052831930e+00,5.469923307423183445e-01,1.239454293082000049e+02
2.707416753256831399e+00,3.867863559374790761e+00,1.449169158452043860e+01,-1.265698359010729579e+00,1.323852103959928472e+00,-1.227517352721231525e+00,5.474874147283773418e+00,-6.920789286196313839e-01,1.448145453618494685e+02
-6.886347257744540595e-02,-4.134120012628935470e+00,8.839751498049466250e-01,-4.481337105217388483e+00,1.131454484627916202e+00,5.525188164163647997e-01,6.436368405168080287e-01,1.290287608739006275e+00,1.615767369646155203e+02
-9.786931347253425839e-01,-4.976043890998486319e+00,-3.180379935458669038e+00,-4.497637496265220136e+00,1.516051710081800508e-01,2.863623872360140599e+00,-3.092378341853851076e+00,3.202803908613414574e+00,1.828079248982066929e+02
-7.170921423381417803e-01,-5.339022158347104252e-01,3.178667702796973416e+00,-1.625850223639459191e+00,-2.463460782145043382e+00,4.079315729273934821e+00,-4.013985844302998984e+00,3.137877456169376522e+00,1.979438647265147893e+02
-1.085988338077460647e+00,7.951146820802108550e-01,4.248083164266962086e+00,-4.691458257413190225e-01,-2.430190020926906058e+00,2.951758705905481506e+00,-2.647416889165285170e+00,9.935072668679980623e-01,2.195699525937895942e+02
-2.226497057652378153e+00,-4.104289811624847850e+00,-5.591986863781675865e+00,-2.826158449173060472e+00,-2.356927463927035227e+00,2.764189659301991675e+00,-4.367781992966374816e+00,1.119107550019902142e+00,2.329926323905676782e+02
-2.656827001711654646e+00,-3.766904105549440995e+00,-8.794999682102167426e+00,-2.299119274581107764e+00,-2.912550363852639990e+00,3.867124741853718461e+00,-5.975839651100093519e+00,1.842910281606597422e+00,2.550555411572061075e+02
