# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-9.912444497494381501e-01,6.044758484646107988e+00,5.165801313745346235e+00,1.091009554202836823e-02,-3.823798357060631536e-02,-7.163848415861767904e+00,-7.914049335018911613e+00,-2.293499820848996507e+01,-2.774511486706123833e+02
-1.020803598410634949e+00,7.502211779847344886e+00,4.930304103988900621e+00,-3.363903349982301227e-01,-2.383701164748767809e+00,-1.152640280653905158e+01,-6.458011780956413261e+00,-2.144951468586463861e+01,-1.749047470920986598e+02
-1.727414734151869968e+00,1.827768350203939463e+00,2.371247258206200748e+00,-1.141000608095530389e+00,-3.780501849612843301e+00,-1.276539525117438956e+01,-4.204772314902586849e+00,-1.554776616421229285e+01,-1.872654690730364564e+02
-2.416237597528506864e+00,-3.493394904880123164e+00,-4.118326062896322526e-01,-1.873983034006811099e+00,-5.249439426778179651e+00,-1.386383817279521047e+01,-2.774608066131358797e+00,-1.092121276698686039e+01,-8.320233998413732479e+01
-2.154807086106869995e+00,-8.821576948509459726e-01,4.439284032819275083e-01,-2.114274196235549574e+00,-7.609903031921628980e+00,-1.843943344478411817e+01,-1.433790975356786346e+00,-1.012340881980715324e+01,-9.799978928629388975e+01
-1.966038907589863882e+00,1.535050120113774952e+00,1.987002425733896516e+00,-1.643854214802336067e+00,-8.368764659536253703e+00,-2.015233217414805011e+01,-2.085749534158876095e-02,-9.285589511220909031e+00,7.507328281613354193e+00
-2.089832392697025920e+00,-1.215264093539268231e+00,1.144539403825142188e+00,-1.832097565485844015e+00,-8.461708194246790882e+00,-1.911903847661538691e+01,1.803496233027438667e+00,-4.876640528869634394e+00,-9.979613588786151013e+00
-1.987950857356814982e+00,-3.570970474229063996e+00,-2.271788304853810114e+00,-3.169489602660701788e+00,-9.002243960696006297e+00,-1.799734106981651394e+01,2.401378476146112106e+00,-1.892197905220523779e+00,9.693364926785886837e+01
-1.371991820345423996e+00,-1.320634073278244891e+00,-2.068247957942472404e+00,-3.754770581042964128e+00,-8.876336549324438607e+00,-1.749122604779709178e+01,3.341092368017187564e+00,-1.431514708604009201e+00,7.650146325527566660e+01
-1.250133394176724089e+00,-4.415409521355648792e-01,1.718181123704456859e+00,-1.892836275778261301e+00,-5.955380160397199418e+00,-1.277153663015346652e+01,4.398321468464746253e+00,-1.140883682815085010e+00,1.848023485254857405e+02
-1.078899207758918344e+00,-2.010307846717424241e+00,2.413718719007327707e+00,-1.258141772897575450e+00,-4.011813236792299620e+00,-8.288165469225667437e+00,5.512457757600884634e+00,1.713885902550936535e+00,1.611784088074246029e+02
-5.520946738351559802e-01,-3.388562121888789136e+00,-3.802966859283169576e+00,-4.087446484254250834e+00,-3.781085639017707223e+00,-5.370358372676832914e+00,5.493156063287761626e+00,3.781574903230438878e+00,2.708549433830248745e+02
-4.780646070498164590e-01,-4.249264841719353925e+00,-5.810471286978515337e+00,-5.765081692833573968e+00,-2.292187765886940731e+00,-2.858760534492610361e+00,5.909333663366709288e+00,3.755092969694699079e+00,2.438159511496157847e+02
-1.525102437457359628e+00,-6.759890450717071175e+00,8.522345754925488848e-01,-2.213028116904409703e+00,1.859570195091135858e+00,2.103743273396009528e+00,5.984709734274582971e+00,2.004220025543036243e+00,3.548595556056923215e+02
-1.573297183991848591e+00,-7.508330959944666816e+00,3.021135380201986464e+00,-7.193516770130408133e-01,3.172010711795023585e+00,4.420301302058581960e+00,6.215288049335180531e+00,2.761212967836874643e+00,3.242123644620332925e+02
-5.967214670523661724e-01,-7.488869919756723448e+00,-7.873418588221198888e+00,-5.967583815393247448e+00,2.061333770347366645e+00,5.582572792800281292e+00,5.904424219123791673e+00,4.656989707023003078e+00,4.366172119181012476e+02
-8.885518255383972885e-01,-9.813123647681496919e+00,-1.260336684415009501e+01,-9.137360033926503533e+00,2.741581478425704876e+00,6.439417730104672444e+00,5.923413373680460836e+00,4.433173290863132721e+00,4.022003615511382577e+02
-2.646437325445400557e+00,-1.285173644581673003e+01,-1.551596864113461649e+00,-3.165977889585644078e+00,6.025410031167789171e+00,8.337541304636481243e+00,5.175111420295894327e+00,7.951623829268753552e-01,5.159606421905295974e+02
-2.186844157206367711e+00,-1.049690251116485129e+01,2.526605268387131176e+00,-3.978459828454115055e-01,5.565657373205096015e+00,7.605513959698741111e+00,5.113035030274120984e+00,6.396976015555343453e-01,4.776462528996016772e+02
-1.479399393181948241e-01,-7.707976553589857893e+00,-1.377739887618309211e+01,-8.297361933194045136e+00,2.738931413808397330e+00,7.465471255957209173e+00,5.011044120143831826e+00,3.680168298310284136e+00,5.927520681240898739e+02
-3.866014370261789956e-01,-9.910371236589686106e+00,-2.119160997579031758e+01,-1.301463545037294267e+01,2.315091273553965934e+00,6.765533095547748843e+00,4.670666378488265380e+00,3.688811197240337236e+00,5.504477495472644932e+02
-2.502637582150600615e+00,-1.241165143612929178e+01,-5.791568479275277959e+00,-4.717166521667510715e+00,4.699075912807657573e+00,6.035889698711633500e+00,3.279061976786852295e+00,-1.471793615446133519e+00,6.668822016752878881e+02
-1.514412734207258637e+00,-7.745334147625401400e+00,1.989766716404091085e-01,-6.406618432490134296e-01,3.134343100841479046e+00,3.464871165562748878e+00,3.431264212780420042e+00,-1.976763017800487354e+00,6.205310991648689196e+02
1.088165070159516468e+00,-3.684297789270969403e+00,-1.898627396499847464e+01,-9.925677617223044535e+00,-3.551642701300572469e-01,2.845469023609274117e+00,3.646933505408056053e+00,1.944554441981587445e+00,7.382695054107757642e+02
4.240582845697762338e-01,-6.607904681214973763e+00,-2.674238187389899224e+01,-1.518659342790775213e+01,-9.643305428646771205e-01,1.269938573633272227e+00,2.654064014035809826e+00,1.690123535248542197e+00,6.878490956105213172e+02
-2.217338714183447301e+00,-9.822776351301090614e+00,-8.208714648910579115e+00,-5.466677308079477271e+00,1.507923688161366460e+00,-4.286943287702658090e-01,8.362751322178461066e-01,-4.283074060646434589e+00,8.068591813835539597e+02
-1.241023364705014398e+00,-5.281154687659863178e+00,7.157184925521988816e-01,1.890954223615519680e-01,3.405630475378957911e-01,-3.187185301932197845e+00,1.769033082575015792e+00,-4.465547547520683835e+00,7.523799392968817301e+02
1.052359721951250382e+00,-1.690074650283420965e+00,-1.533976262593637330e+01,-7.573178782859272928e+00,-2.312174135378947781e+00,-3.650580686360990867e+00,2.394833119486086126e+00,-1.372240395272079638e-01,8.726199375366785489e+02
-3.805824726813744618e-02,-5.011618668156046397e+00,-2.169853229960357055e+01,-1.256516302839360222e+01,-2.456008249850295755e+00,-4.924265829643342585e+00,7.189021262604748941e-01,-9.032701504409867965e-02,8.141246346011899959e+02
-2.370391745627131286e+00,-8.133386941881505905e+00,-5.090241374624433490e+00,-4.052475349012778949e+00,2.560827228496052044e-01,-5.348752592714899556e+00,-9.625324309912351994e-01,-4.485060809563139905e+00,9.355345744434629296e+02
-1.013026190579390917e+00,-3.978528846311720546e+00,4.107611668817924055e+00,1.733295300888782364e+00,-9.459449397401353821e-02,-6.686541701563200490e+00,1.458928959559774530e+00,-2.957037728123138365e+00,8.730984304558041913e+02
1.008876628099500294e+00,-8.637106916517325317e-01,-6.916670961332032519e+00,-3.511101136414347401e+00,-1.567337477365863485e+00,-6.264698058111341616e+00,2.926151149484248037e+00,1.342478113274479856e+00,9.955889075321606470e+02
2.148055409879123800e-02,-3.212161061490028224e+00,-1.147156480903738185e+01,-7.662666876304500718e+00,-1.476501876788543166e+00,-6.317060610713887137e+00,1.083773895636310769e+00,1.478440285312820901e+00,9.293197431695757587e+02
-1.434825176713976802e+00,-5.027854119331916394e+00,1.106446294998179702e+00,-9.801792242138249733e-01,1.056035500516846692e+00,-4.790834105243769514e+00,4.320592345515450461e-02,-1.142612910707407892e+00,1.052770635443490391e+03
2.120894986336572252e-01,-1.225524773944600465e+00,9.122951369462736437e+00,4.392794695921335979e+00,1.222491888900234747e+00,-4.852696853350517259e+00,3.697599969999457059e+00,1.272357485846400849e+00,9.828084284657427361e+02
1.672885654702895852e+00,1.336050055477748355e+00,2.494292438156463732e+00,1.488007559531672186e+00,4.867040264522053405e-01,-4.090318476311618490e+00,5.393550055115689190e+00,4.162704192103117151e+00,1.107077775496460163e+03
6.282964597159148568e-01,5.197722276547178666e-02,-1.637291741542522772e+00,-2.218391104873948194e+00,1.876070179323932052e-01,-3.779856072954533630e+00,3.123494132668846568e+00,3.394639498288650969e+00,1.033593855620570594e+03
-4.758532677537550271e-01,-9.477356022689691351e-01,4.653638935965615175e+00,1.626162885402262503e+00,1.936322220746705680e+00,-1.602501971244579160e+00,1.875705643774221443e+00,1.253832920084876790e+00,1.158525286727653111e+03
6.100468729602446238e-01,1.671588779827155369e+00,8.642709587724983322e+00,4.965290037141219415e+00,2.023513927457730510e+00,-1.429944098639646111e+00,4.705449552966578963e+00,2.797980460241888068e+00,1.081721576879968779e+03
1.051580261016761497e+00,3.070700069179123304e+00,3.657020283160768770e+00,2.877555557572772038e+00,1.470869988188822530e+00,-8.289844627544855626e-01,5.060945454861616177e+00,3.451800875649198019e+00,1.207145151667635218e+03
-1.328040370706156104e-01,2.193126937956400013e+00,-7.897543876405279661e-01,-7.965525110371993733e-01,5.347147495874545742e-01,-7.080969730857273881e-01,2.146293716999663204e+00,1.947048613895074887e+00,1.127255128154563863e+03
-1.027830748432191355e+00,1.417942039951392008e+00,6.172303752271730559e-01,6.308772236601307704e-01,1.438494363532411668e+00,1.343387129444560735e+00,6.058066168794926654e-01,3.061991472928049518e-01,1.252984088608337970e+03
-4.263601632248690265e-01,2.832478641060350633e+00,1.639120360778817620e+00,2.154547113191344732e+00,1.234718652044292764e+00,1.336944676230926721e+00,2.334038354671806204e+00,1.249726228888171420e+00,1.170276001459573990e+03
-3.677412030533080411e-01,3.140025162103324607e+00,-1.111000376810586499e+00,1.127867014873383589e+00,7.471482163454434833e-01,1.753178647389202816e+00,2.008708286889461903e+00,1.211055466467558794e+00,1.296102498239365104e+03
-9.651563751722482820e-01,2.278054276986302806e+00,-3.174048946170016094e+00,-1.386397625235806785e+00,-4.675942838468643004e-01,1.433359461009861224e+00,-4.765566679615584889e-02,8.653369217373345634e-01,1.210882181677848848e+03
-1.213867886424698783e+00,1.489968978831021751e+00,-2.422739593734190677e+00,-9.274988906749039863e-01,3.345013587102263486e-02,2.747136569344638346e+00,-6.495257137155092675e-01,7.301886700222639526e-01,1.336574800585681942e+03
-7.222537818354971551e-01,1.938089738756914926e+00,-1.941475378473610292e+00,-5.174433773718001284e-01,-2.881177997515087519e-01,2.198832419460043042e+00,6.283802352067735519e-01,1.571073513545537370e+00,1.249186038663643103e+03
-7.474219430207017512e-01,1.155241792878010099e+00,-2.122085888938148202e+00,-3.606816439677336117e-01,-3.713643044661218973e-01,2.515027669542559075e+00,2.055871961490862709e-02,1.221427306872002738e+00,1.374490129570167028e+03
-8.481556526292720610e-01,-4.880531318987335609e-02,-1.129163974895245559e+00,-1.298530433658961369e+00,-1.137989849955183486e+00,1.948692008726860436e+00,-1.053604941905260439e+00,1.744783126679568142e+00,1.285313023091769992e+03
-7.246824458220858522e-01,-8.324759464953590538e-01,1.719779996508368214e-01,-1.146108864043008158e+00,-5.327173706564209965e-01,2.613553149154077548e+00,-8.016731175651361507e-01,2.278503498611846201e+00,1.409952292330850696e+03
-4.869952113626293544e-01,-8.090522103960102740e-01,-3.954584692134108792e-01,-1.739132537564609615e+00,-1.007923492129731979e+00,1.684465101534485809e+00,-2.315796855605454230e-01,2.220181883974565729e+00,1.319401272435384953e+03
-8.098880636120532328e-01,-2.013510279305779083e+00,-8.164610427658036684e-01,-9.559545148631567457e-01,-9.118576248504833837e-01,2.286031416873450350e+00,-1.707536123404067130e+00,7.060995079954546227e-01,1.443078346819905164e+03
-8.206786313761051943e-01,-2.868760591215402389e+00,3.688046762582839477e-01,-6.809190543642966720e-01,-1.386258011585401517e+00,2.008696787037662190e+00,-2.534878592930716490e+00,1.067382733993068822e+00,1.351599759608588556e+03
-5.889270886093549429e-01,-2.918489859893874439e+00,8.125420199037405311e-01,-7.294594216342058512e-01,-9.254826526453370228e-01,2.399856761274967720e+00,-1.761882230978129460e+00,1.553845798523634691e+00,1.473994455195484989e+03
-6.093861433542093753e-01,-2.670404466455944092e+00,-1.809165694613118269e+00,-2.469425915128015792e+00,-1.946564581608003497e+00,1.150337228307463544e+00,-1.848955741183260670e+00,3.768408797624198669e-01,1.382060289759233228e+03
-1.218390278182817088e+00,-3.821060050210257408e+00,-3.767741750413417634e+00,-1.758091779095179774e+00,-1.973948870130570077e+00,1.909643813518392186e+00,-4.058401914056739557e+00,-2.304665778778445251e+00,1.502828304412259513e+03
-1.158678998201706278e+00,-4.001429129727938516e+00,-2.872265531098197044e+00,-7.430534980689271762e-01,-2.199778063573639919e+00,1.876069657956984216e+00,-4.340873834202137793e+00,-1.924642148964378130e+00,1.410925243976348611e+03
-6.837924893049278641e-01,-3.097509433994287242e+00,-2.287407894165093047e+00,-8.141053458326816816e-01,-1.778189268802142342e+00,2.001709326888632567e+00,-2.296355379400658592e+00,-8.076683219589240181e-01,1.529700672435098795e+03
-6.957168550107998284e-01,-2.510240372477104742e+00,-5.055270662196505782e+00,-3.424233655859209247e+00,-3.125143315094280894e+00,2.350308262305063067e-01,-1.945879380896477162e+00,-1.919680227734440692e+00,1.438319606513818144e+03
-1.359369377530220913e+00,-3.577665369419108288e+00,-6.455828953062319187e+00,-2.800693320374034290e+00,-2.906046054675960111e+00,7.678382392904508080e-01,-3.786875617399379390e+00,-4.477900158200622371e+00,1.554718616570987479e+03
-1.060066162994219408e+00,-3.059384309095333432e+00,-3.939980777240250198e+00,-7.489536630442694687e-01,-2.429987376659609399e+00,9.286039766540157281e-01,-2.699870469680717644e+00,-2.922031212546087442e+00,1.464349583248242652e+03
-2.019869908316574980e-01,-1.213758514416337642e+00,-1.443508843945490838e+00,2.600285973944931328e-01,-1.604858763602006633e+00,1.277913420139653589e+00,1.120570653263496474e+00,2.694195290104950402e-03,1.577970882404263648e+03
-1.660335098095252482e-01,-3.749567611842805626e-01,-2.624071878978655903e+00,-1.845143735302215759e+00,-2.842794629602277023e+00,-4.574569731169628728e-01,2.094222362941533078e+00,8.586014615968196040e-03,1.489103002851809833e+03
-9.493383549367968577e-01,-1.472681215271653965e+00,-2.224357757308939476e+00,-5.401343469641020079e-01,-2.063072086834902397e+00,4.646026918838663811e-02,4.901046735147716049e-01,-1.938110719916410929e+00,1.599528529948607456e+03
-4.850194761052344927e-01,-4.651562122996053539e-01,2.068739166140730390e+00,2.679942889610490653e+00,-7.984450010891892546e-01,5.454383848319892536e-01,2.407937385786662610e+00,6.231142150251605116e-01,1.512648371127477731e+03
6.603029363313203115e-01,1.855518700601428872e+00,5.681372577531265122e+00,4.678457136203761024e+00,3.208705389084302029e-01,1.422077394190386590e+00,7.092103204538591221e+00,4.722158817937984310e+00,1.619451370244843474e+03
5.544469185978956327e-01,2.410972384713348404e+00,4.932636893872222927e+00,2.734758188007445412e+00,-1.022140488280559811e+00,-1.492697792801918055e-01,7.568383558040713943e+00,4.788594831755967896e+00,1.535033776904914021e+03
-5.771242000653877824e-01,7.975080476390097317e-01,5.537800126371967835e+00,3.660643098620951719e+00,-5.547217438383622579e-02,7.221631761120683723e-02,4.834947039424030812e+00,1.906535083907147765e+00,1.637792670261043895e+03
-1.642891205730856452e-01,1.477119432778747576e+00,9.162062747799529561e+00,6.329406688443228290e+00,1.500539160174113817e+00,6.028564194109762298e-01,5.730829740990981414e+00,3.439569580354288725e+00,1.556289696476789231e+03
1.043765359162319939e+00,3.137492446231690657e+00,1.114067587387122593e+01,7.614554421004164908e+00,2.437041382756667929e+00,1.858383730927610777e+00,9.367612007752816439e+00,6.581108279165032826e+00,1.654600418377994629e+03
6.767517135408831486e-01,2.778293636749377349e+00,8.830244020912145331e+00,4.738997583468011143e+00,7.062031763941566398e-01,4.200255889070454440e-01,8.234856348622287214e+00,5.259486552429679662e+00,1.576438452347618977e+03
-7.137350153945312137e-01,7.003044280007828526e-01,8.498646129610662570e+00,4.742716101489135028e+00,1.775660781810853628e+00,4.281051949085039610e-01,4.101347444305524448e+00,1.057561866449995946e+00,1.669919881668230573e+03
-2.880081842999002717e-01,1.072826218502785700e+00,1.065051501048765203e+01,6.473600540332713038e+00,3.538569951065551500e+00,1.020151173233555753e+00,3.817886781547887409e+00,1.647981743557508594e+00,1.595503277396560634e+03
8.987511791507083458e-01,2.054108943873055093e+00,1.050325115703528844e+01,6.707854539243490954e+00,4.031536340048091915e+00,2.482158869552260061e+00,6.468667844666715183e+00,3.982580417578551746e+00,1.683792142552357745e+03
3.903687678104590386e-01,1.464604269957985316e+00,6.757241049351318196e+00,3.069735372877433033e+00,1.735222503638619074e+00,1.148043504771186107e+00,4.796247710506932549e+00,2.183627373478925549e+00,1.613505623355465559e+03
-9.831506722175964441e-01,-1.299798506521554486e-02,5.998039538982052221e+00,2.771585738300653023e+00,2.795454352918010699e+00,1.086493196087783275e+00,8.304180562184626524e-01,-1.565533375101025193e+00,1.696247057499059338e+03
-7.171735066433098105e-01,5.266425059759844984e-01,7.209166496592232853e+00,3.958271679217073569e+00,4.367017137166710583e+00,1.431155587713822452e+00,7.088294141980888696e-02,-6.454655257974002414e-01,1.630455432665706894e+03
