# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-1.978125503859375245e+00,-4.299635721536493316e-03,-2.282743355538108254e-02,-4.176550871367967765e+00,-1.232608969889545047e+00,-2.996370460776807132e+00,-1.189406194909846270e+01,-2.991474493618822450e+00,1.192426720741771931e+02
-1.785303632512532657e+00,-2.776303922417601155e-01,-6.734463087214996868e-01,-5.094160487724733954e+00,-2.139604135635222448e+00,-3.187537908349106885e+00,-1.230549679332107971e+01,-3.357659135023988384e+00,9.800096091592158132e+01
-1.956608787967114349e+00,-4.020526296342871175e-01,-2.589053242665914079e-01,-1.128600972802044744e+00,-6.107148651887334134e-01,-2.114203653503968550e+00,-1.186482904418439155e+01,-2.293395834892951957e+00,1.314220960322334690e+02
-2.006821151234301936e+00,-6.637331821117709030e-01,1.951875530235148704e-01,2.652706085549011661e+00,8.042958311353030076e-01,-9.436504100261786654e-01,-9.637786926155708755e+00,-1.203991889262788550e+00,1.091991395673081797e+02
-1.691490268517036988e+00,-9.220001007394467152e-01,-6.831719621506908702e-01,4.173078253796989046e-01,-1.059483213931561973e+00,-1.191490216716221351e+00,-5.718515072745733008e+00,-1.588749153629475774e+00,1.436834247470225705e+02
-1.549979669059712295e+00,-1.091692616443291186e+00,-1.438075443762129701e+00,-1.011249288446015804e+00,-1.766845762655074648e+00,-1.626239055396621502e+00,-8.089801452680905669e+00,-2.135826124531067460e+00,1.204594246259323995e+02
-1.685330841511006872e+00,-1.099685329511023824e+00,-9.862438255488789052e-01,2.000723849688351041e+00,-4.979513579876710949e-01,-8.234905109121040123e-01,-7.690251538047288449e+00,-1.454775276634942660e+00,1.559740584835325308e+02
-1.570240023568129528e+00,-1.375680989307674240e+00,-4.649879086925921001e-01,4.262354695479823263e+00,1.637492638305597659e-01,2.309710183999267308e-01,-3.362529788053496560e-01,-5.854595069952104325e-01,1.317345171742722414e+02
-1.184159603750932988e+00,-1.624509285681647874e+00,-1.437612854954399833e+00,5.778093622600772861e-01,-1.984400738010383414e+00,-1.570490762163379017e-01,7.137300683057176798e+00,-9.205083352938099317e-01,1.682435538396999277e+02
-1.114230882448068005e+00,-1.619937219126386108e+00,-2.247319851663192480e+00,-1.672150517688084204e+00,-1.981352804139111967e+00,-8.076053666923734831e-01,2.916711482174942915e+00,-1.446424312688397329e+00,1.429797900724564670e+02
-1.205932417719009164e+00,-1.445254395353052113e+00,-1.594044325116508176e+00,2.582422314829804222e-01,-4.840024312829322994e-01,-1.803810987709271174e-01,3.531024641493104355e+00,-1.005229982376400599e+00,1.804457758159992409e+02
-9.994160998940788687e-01,-1.676540213369995813e+00,-7.474960744570160465e-01,1.377610239305580464e+00,1.633202530414212816e-03,8.554433918137154258e-01,1.510278373622737824e+01,-1.337037662187121612e-01,1.541541710560737783e+02
-7.466623026897483140e-01,-1.822417213187824014e+00,-1.569271954343143261e+00,-2.615555257446406046e+00,-1.443391897612819719e+00,4.305874607921573727e-01,2.254344954991055161e+01,-3.846000533232896146e-02,1.925383688517715086e+02
-9.007502119001014051e-01,-1.560648648074543177e+00,-2.369073938282959091e+00,-4.669267884924365397e+00,9.840786638713128198e-02,-3.702737132755840044e-01,1.194589011712407256e+01,-3.159848628624037925e-01,1.652212335341208700e+02
-9.897144446688632691e-01,-1.200478067913198110e+00,-1.657822860958145572e+00,-3.288847346686938344e+00,1.964132898952493100e+00,1.161722543446086497e-02,8.079144716579648389e+00,-2.721345828991572624e-01,2.044814557155853834e+02
-8.193665462242987196e-01,-1.407870455570880974e+00,-6.708977795768904517e-01,-2.163845877716138233e+00,2.250275525329890058e+00,8.455432179372455170e-01,1.708200949972680860e+01,2.543854812081065564e-01,1.761495882571608718e+02
-9.022994250797886640e-01,-1.448464197846873969e+00,-1.444611509014622985e+00,-4.646209186506256472e+00,1.521236051116819255e+00,2.344825724929446853e-01,1.742554164770984215e+01,4.807788314379420891e-01,2.162378014985829395e+02
-1.305398738974148820e+00,-9.825764767258327037e-01,-2.339832285564574121e+00,-5.543196988219534660e+00,4.048554509305093418e+00,-7.633183415397787330e-01,-2.134327713887405054e+00,1.975044419204958768e-01,1.869116959980290744e+02
-1.280110598066186434e+00,-5.586362251332941398e-01,-1.667591592749633200e+00,-4.474737434705454930e+00,5.427568168508111413e+00,-5.924552901712500930e-01,-9.301475722678134161e+00,-3.909220789830728515e-01,2.277738624250177111e+02
-1.065954065432205722e+00,-8.835380310023041028e-01,-5.293378420769976334e-01,-2.836760421594626713e+00,4.866640395053161150e+00,1.398770040973076334e-01,-3.276186055718781631e-01,-3.535182067040393283e-01,1.974825266910812616e+02
-1.303550501191279576e+00,-1.022936865014085317e+00,-1.144238602207776845e+00,-3.723145268351494952e+00,3.657406810960949883e+00,-4.876741408119964483e-01,-8.533876970157194819e-01,-5.402275323700589382e-02,2.390601374914279234e+02
-1.627076116871841949e+00,-6.033356983910400650e-01,-2.034070032418455742e+00,-4.323259595156773827e+00,5.334337267844002639e+00,-1.459366100429734026e+00,-1.925279366700351247e+01,-3.015711245078245839e-01,2.078396476242309063e+02
-1.278478810828505452e+00,-2.595417860579006253e-01,-1.347500675552500526e+00,-4.214489855988817091e+00,5.336917377909415450e+00,-1.260008573538717869e+00,-2.087840031186445700e+01,-1.284016044268067036e+00,2.500699634148205064e+02
-9.415291036101469668e-01,-7.183170519353581085e-01,-3.972682977136354765e-02,-2.327409000943243544e+00,4.293223713903522309e+00,-4.134010925821551830e-01,-6.061391025200308036e+00,-1.440550878175554050e+00,2.179642925955633643e+02
-1.163547726809516014e+00,-9.616099969768021616e-01,-4.646942621361097592e-01,-2.325244282348608138e+00,2.802358710964707456e+00,-8.899238976846215454e-01,-2.601082307506650260e+00,-9.854838537478463056e-01,2.607782060920759477e+02
-1.307137386897511577e+00,-5.677328220305351003e-01,-1.400497945329846505e+00,-3.329255826712442357e+00,3.703212021048509328e+00,-1.737312072057194623e+00,-1.675660999724004085e+01,-1.076058735008300182e+00,2.278419058979307579e+02
-8.374007352383791014e-01,-1.649564358419216559e-01,-8.979140365585299710e-01,-4.015842629441294775e+00,3.674481060282643874e+00,-1.431809649142536944e+00,-1.283745389806307280e+01,-1.946247981102613878e+00,2.711613422347217579e+02
-5.801367844943337015e-01,-5.733048410497998404e-01,4.518256880790576524e-01,-1.579029838641664796e+00,4.317687288216721875e+00,-3.182724886299048705e-01,6.561171279053713334e+00,-1.839505027343272259e+00,2.374609347354859779e+02
-7.741156162936293494e-01,-8.565907060945874285e-01,3.165585309981997497e-01,-7.281890979001186537e-01,3.821377804010373858e+00,-4.559620469388416808e-01,1.279167701148375969e+01,-1.192660611642885282e+00,2.811985858599800849e+02
-8.656786809196490573e-01,-5.600249325746121665e-01,-6.112397399012439170e-01,-1.660679203289255668e+00,4.266437791822738745e+00,-1.097053481538418307e+00,9.042414913507794694e-01,-9.726096892085598355e-01,2.468110607945871493e+02
-6.186121966101840730e-01,-1.974650710541887566e-01,-3.973251382707307933e-01,-2.142342875412245107e+00,4.447457343466853175e+00,-7.236074999053592194e-01,7.119766866505607084e+00,-1.272459863386583123e+00,2.908738931697422458e+02
-5.694732653069149997e-01,-6.401039884701035243e-01,9.238386471415975798e-01,1.093022859964110971e+00,6.705614897765101112e+00,5.310374195617000304e-01,2.691565031090800275e+01,-7.555014860004138910e-01,2.558826129123941087e+02
-6.350145185814619619e-01,-1.062504912831758741e+00,1.058650272120721603e+00,2.342437797120241250e+00,6.413087927598691174e+00,5.008898342748606680e-01,3.112923910857854537e+01,-1.444925601787949709e-01,3.001776173859509527e+02
-6.820112147484728160e-01,-9.422235430667330602e-01,-2.089374442855262970e-02,1.084079052487913586e+00,5.180250553834896188e+00,-2.806147464851749262e-01,1.603806028590716437e+01,2.196574566409178475e-01,2.646666645295599096e+02
