# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
3.577299165786074209e-02,-6.012708222928790924e+00,5.959255306458775436e+00,-9.557231294115563491e-01,-3.293204357475516275e+01,-6.618060176101784009e+01,8.919692943187209622e+00,-2.169343215519981438e+00,-5.614631901081361320e+01
-2.317294272987613923e-01,-4.377109164583087519e+00,5.976175391356294497e+00,1.703367891633078113e+00,-1.884275315132459028e+01,-4.291483133750351442e+01,2.174079951964084856e+01,-5.123369177220888027e+00,-4.781744463870654727e+01
4.262214516573117340e-01,-3.342158926921161566e+00,4.999932540808835313e+00,1.025589574537181470e+00,-1.913597788354052653e+01,-4.270415605772816292e+01,1.947888518312126038e+01,-4.612176738843960067e+00,2.471331759182021415e+01
1.484928021086501015e+00,-1.950504984710257794e+00,3.757875748926562398e+00,-4.277776593653677129e-01,-2.016526249311009167e+01,-4.528791090171123557e+01,1.250465608776379511e+01,-2.704537326028662481e+00,3.279731950936729845e+01
1.892716210132494581e+00,-1.241053510344971578e-01,2.919804585139033293e+00,1.473882602160524691e+00,-7.761920235733501983e+00,-2.710791539793847704e+01,1.914776208484944675e+01,-5.450111640044948302e+00,1.051083803421709035e+02
8.425292711511195298e-01,7.082822385184446290e-01,3.244098627499124810e+00,4.530510228141705120e+00,5.530110217923443372e+00,-2.113841463066776782e+00,3.538947727771382290e+01,-8.835543602827545584e+00,1.127994091055338686e+02
1.013567931021660540e+00,1.336595687228303575e+00,2.335758674923428924e+00,3.999632829498680930e+00,4.174519378479995879e+00,-2.931515057998446139e-01,3.484011479581216975e+01,-8.166860800914752971e+00,1.847780265500591668e+02
2.431941097279015196e+00,2.665499256207599643e+00,3.166662591012473493e-01,1.279951200055223559e+00,-4.363516509437985746e-01,-9.056488663143980489e+00,1.939954040708887106e+01,-4.467861641106905424e+00,1.919274835701762640e+02
2.794403734113665827e+00,3.444826057508007633e+00,-7.985068781789852466e-01,1.944030098855337840e+00,6.662019256080093044e+00,-9.089952174379902772e-01,1.608919965724268764e+01,-5.529588233278929010e+00,2.634897635472959792e+02
1.039924500087077153e+00,2.765084495506770601e+00,4.491418616271748432e-01,4.876947963557043408e+00,1.606688674249369342e+01,1.813010950027608814e+01,2.756806469455513664e+01,-7.796285059239994375e+00,2.699518897217631093e+02
1.042959457218983088e+00,2.942627176916535525e+00,1.677240215069969453e-01,4.232639546325751567e+00,1.236481047654607224e+01,1.750823005197435833e+01,2.264531680371538869e+01,-5.661836220873011527e+00,3.410382933883682881e+02
2.538423681791254438e+00,3.908981550337545574e+00,-1.747815701043368364e+00,8.512801802234015724e-01,4.758093090539823322e+00,4.069208339527470741e+00,-1.153597296441155606e-01,-4.870549557075598557e-02,3.466720859724568982e+02
2.510099023744420066e+00,3.384331961407490930e+00,-2.113716990260170903e+00,1.098810760847465318e+00,8.049141959037584115e+00,4.634699480242741032e+00,-1.064629848026797987e+01,3.595090456719383099e-01,4.172374967797433101e+02
3.103953836989772341e-01,1.750013199890853244e+00,4.628704291730949549e-01,4.222207880880379349e+00,1.517089889706421246e+01,1.938188866545524647e+01,-2.085226214673063794e+00,-1.033910471761576133e+00,4.219092147642436430e+02
