# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-9.842543711875599843e-01,-3.012418235157344082e+00,1.316511728222080624e-02,-7.064255568480495739e+00,-2.000623847692499790e+00,6.310026300238359198e+00,6.736580938220249060e+00,-5.009164132543297843e-02,3.062671952004382092e+01
-6.955134951853780834e-01,-2.400546175052830300e+00,2.061534432713935105e-01,-8.610579468025720828e+00,-1.582820611372085740e+00,4.018797996247430504e+00,6.302826935726701052e+00,1.966476536258804919e-01,2.339185677485443193e+01
-4.953332581735798712e-01,-1.744264648405322138e+00,-2.712559055191300916e-01,-2.543646252979183231e+00,-9.249297977098138723e-01,9.005511824992769476e+00,3.993472840438536675e+00,1.993054953357213943e-01,5.988046812531212026e+01
-3.637111347249386561e-01,-8.068896058164449769e-01,-5.682738187602278668e-01,3.397187052096976245e+00,-3.310829792524674353e-01,1.244960903222590787e+01,2.421223105930436326e+00,2.313291538373358769e-01,5.011296818016080579e+01
-5.377010262231607385e-02,-1.163031803499663397e-01,-4.439537270177096318e-01,7.599980570856033069e-01,4.730969141978551562e-01,1.172228632860613118e+01,1.084389066615609742e+00,2.942762998671297758e-01,8.910511799206926753e+01
4.894041207169506080e-01,1.151667470675665772e-01,-9.084012509193239993e-02,-1.966771982714234923e+00,2.562807797277546484e-01,8.905315004158833148e+00,1.334776050373088552e+00,6.883019064701523249e-01,7.669971003755154015e+01
9.819374830991358660e-01,2.334602369025451374e-01,-3.616834644123053666e-01,1.188481404590227442e+00,1.298624642995704903e-02,1.242223567022775121e+01,3.354570322715098030e-01,9.979096076983153818e-01,1.181876234929700331e+02
1.139890787766711266e+00,9.399302806598783810e-01,-4.404074341353325650e-01,3.650213051747236648e+00,1.149538727148380346e-02,1.360047571294557045e+01,-4.373073555072615193e-02,1.097802669290639521e+00,1.030608967518330701e+02
1.280681381257032125e+00,1.451066215469116960e+00,-1.417885404261952642e-01,-2.666070296702756082e-01,4.258437388873845819e-01,1.132122922452738933e+01,-1.087942060396970945e+00,9.084062848667766588e-01,1.470248968025837257e+02
1.663624497800944013e+00,1.237432613583004937e+00,3.728309545226981547e-01,-3.253012815124908030e+00,-2.625785455638633969e-01,6.588199393075965915e+00,-7.973676131779212639e-01,1.186661694361739627e+00,1.291140595491078784e+02
1.927583506834425808e+00,7.946347493338410395e-01,2.689937786183956292e-01,-2.023115494161977779e+00,-1.057482985958505317e+00,6.834481812446160376e+00,-1.157329742091565361e+00,1.554253452458474349e+00,1.755291850904877720e+02
1.592865429616476813e+00,1.002894611540147141e+00,3.421401837725162043e-01,-7.082660461267664687e-01,-1.869493403648182284e+00,4.075005514946971275e+00,-7.895255871269615255e-01,1.353080431245822446e+00,1.547862271271583836e+02
1.097060429834936457e+00,1.091915365896066525e+00,6.210569996493245926e-01,-2.221983654427463151e+00,-1.973245484661472204e+00,1.819900195244485985e-01,-2.167096612439613157e+00,5.214570151164164002e-01,2.036297424850587277e+02
9.572262940199973702e-01,5.522279444903632761e-01,9.824939833190282634e-01,-2.327954996656121711e+00,-2.416310980801712915e+00,-4.637357306369608523e+00,-2.589461049759882449e+00,5.151426977237756333e-01,1.800137322145534426e+02
8.860458199094801701e-01,-1.806923153739135035e-01,7.683637965216680854e-01,-1.167209075810121455e+00,-2.854360405993931593e+00,-5.494970107582041408e+00,-2.670558697504938017e+00,1.017839219856672806e+00,2.312678430067246609e+02
3.850211400590431432e-01,-2.439463921242883693e-01,7.678574793310222191e-01,-5.781987753686141929e-01,-3.906503847028651499e+00,-1.024583466763279205e+01,-1.364833486031446608e+00,8.279215212250348177e-01,2.047412075057755487e+02
-1.674601028446540130e-01,-1.870941490285832343e-01,7.415090896832281508e-01,-4.850570921487957765e-01,-3.734878770149724581e+00,-1.236136571091347314e+01,-2.565886999976068061e+00,-1.253122855714610129e-01,2.583912381646516678e+02
-3.812028003035816126e-01,-4.855332715160860513e-01,6.992615010223293126e-01,1.769146339931435108e+00,-2.833575329101534201e+00,-1.222005322124651983e+01,-3.218810933497084914e+00,2.304559387726001773e-02,2.289203089204690400e+02
-4.279268294757572200e-01,-1.019978042845224753e+00,3.795222545043666074e-01,3.008543852002093288e+00,-2.151646181705497707e+00,-1.000348452556151280e+01,-2.747754604059001959e+00,8.775908057080621383e-01,2.849532473221739792e+02
-6.691590255304427082e-01,-1.016124487132977539e+00,5.189062955203471716e-01,2.361329148172496062e+00,-3.197728335808157407e+00,-1.459074993586073354e+01,-3.884735670692438525e-01,8.746240167483536609e-01,2.525081240496051578e+02
-9.114855887089603481e-01,-7.519076266359627780e-01,4.496566806888324663e-01,2.520936767733784833e+00,-3.080642424671924395e+00,-1.436378030218624602e+01,-1.296160522559985040e+00,-9.941523452698852736e-02,3.109135677937930495e+02
-9.574423707616848134e-01,-6.909794300136786749e-01,2.847747885804154944e-01,5.609169617528717566e+00,-1.764680167290235246e+00,-9.795431162944154835e+00,-2.152485479506857313e+00,-3.664788876446456456e-02,2.754662746078689679e+02
