# EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, EMG8, FORCE
-3.981286977785404524e+00,-5.759452310501101735e+00,-4.783071730652181053e+00,7.265885937459646726e+00,2.176022329641646991e-01,5.897718142705359767e+00,-3.740551995463091473e+00,-5.042352415869453708e+00,-6.299103483964496775e+01
-3.423783262371331126e+00,-4.340542141024799960e+00,-3.481777231642396053e+00,4.810216610393331926e+00,-1.559996134590956984e+00,3.810968125591998046e+00,-1.131678642745709507e+00,-4.501628989732984643e+00,-4.930798984238435878e+01
-3.225737390035803731e+00,-3.641123276158888533e+00,-2.408447490689114900e+00,4.841537360020599756e+00,-1.925146105316606793e+00,2.492593055370942778e+00,-5.127288307619994878e-01,-3.949463307524522460e+00,-2.218696365491564393e+01
-3.265555694700015721e+00,-3.720692097872632775e+00,-2.977041900763746085e+00,3.335228360350526167e+00,-2.935999347915162261e+00,4.649235687315780297e-01,-3.541443979248342089e-01,-3.871842737921226352e+00,-8.755147105691321485e+00
-2.347528461600391747e+00,-1.374738683514482140e+00,-6.989722670579103792e-01,2.349386265204934432e+00,-4.300878885096386384e+00,-3.047577651330559689e+00,1.528350178033170081e+00,-4.638078073590286898e+00,1.832844854797531298e+01
-2.109143137349998476e+00,-1.167903367688546412e+00,-4.213126102962116981e-01,5.727326112567547867e-01,-3.766294773271905427e+00,-2.639677455752490687e+00,3.597822891638537079e+00,-3.730055501654073513e+00,3.143405006710065663e+01
-2.292341680154727612e+00,-1.544722643278239937e+00,-3.735346677109523394e-01,1.348635275583142334e+00,-1.525194828311418505e+00,-1.675941330721284039e+00,4.137963536000169640e+00,-2.803028333546804252e+00,5.841204402817277241e+01
-2.425633948779398974e+00,-1.997742358307673660e+00,-1.490812098990216050e+00,2.363025307677246722e-02,-1.327560790659152890e+00,-3.913693243420000467e+00,3.494552699972198972e+00,-3.487944095265083533e+00,7.112393914950268936e+01
-1.507635357707829193e+00,-1.075510213651065250e-01,2.948821872077895812e-01,-5.467267348147677453e-01,-2.370488649220156674e+00,-7.685464669068087673e+00,3.668754632408774974e+00,-4.935727823176602413e+00,9.793432761564383782e+01
-1.554894371009379439e+00,-1.075373016274017157e+00,-3.853258058680275600e-01,-1.658149467455094728e+00,-1.259113738093801338e+00,-5.934034856868083629e+00,4.150236560536789909e+00,-3.647870825273124673e+00,1.101922119468340497e+02
-2.007168570516422612e+00,-2.084702046564919975e+00,-9.814322195985809572e-01,-2.102263848448862049e-01,1.842796266805990513e+00,-3.849120191909936928e+00,4.011845832741901319e+00,-2.474756530957493261e+00,1.367808260852053763e+02
-2.058239427443468550e+00,-2.345530858585027190e+00,-1.893079279479423338e+00,-1.249695212698165303e+00,2.111297272469221831e+00,-6.082040590088633181e+00,2.026833938637588872e+00,-3.602198388910130333e+00,1.485289550826973937e+02
-9.677685344515711829e-01,-2.163834075322703665e-01,-1.596548974360798567e-01,-1.557977478204228383e+00,7.144812944132050703e-03,-9.808382315191977341e+00,2.035923114545230561e-01,-5.257122835682981332e+00,1.748510053668340447e+02
-1.112948072302266000e+00,-1.389613115006520072e+00,-1.791443209731033326e+00,-2.431267678742099037e+00,8.466922095075268828e-02,-7.412127768504586101e+00,-6.218749581791178649e-01,-3.876450963362155555e+00,1.860372821197157691e+02
-1.590964377294969090e+00,-2.150564627337195667e+00,-2.568178196303675165e+00,-2.707624091018780987e-01,3.080728854648157267e+00,-4.185920086097745241e+00,-1.041239074652294150e+00,-2.916079939032037771e+00,2.120562209320354441e+02
-1.365313541081971671e+00,-1.721675098146281613e+00,-2.301404429229666704e+00,-5.791772776364383368e-01,3.267004412990784701e+00,-4.699730131317467752e+00,-4.042467885763501023e+00,-3.950818609962139405e+00,2.226339985014221838e+02
-3.998864294531467856e-02,1.135331932267001243e+00,-3.320570482706388660e-01,-8.215331853254943528e-01,1.025492070350022544e-01,-7.457693279788541574e+00,-6.764752107621941235e+00,-5.059530555237405025e+00,2.483184875868516883e+02
-1.694812524753950278e-01,4.077958367492824365e-01,-2.892486061335064029e+00,-2.150586513543179201e+00,-1.260695515340926054e+00,-5.921565533027033368e+00,-7.409793360064553802e+00,-3.710030682120277312e+00,2.582488517760175455e+02
-4.852772446022171060e-01,2.086358299577888431e-01,-3.162584244126119604e+00,4.032343087109825364e-01,1.369658642726260922e+00,-3.318759077974871019e+00,-7.040849362240267695e+00,-3.229489787604510553e+00,2.835709710889784674e+02
-5.804616507861437569e-02,1.058476500752552951e+00,-1.356560556844788712e+00,6.434266935449961533e-01,2.324781592761844706e+00,-2.351783897705313819e+00,-9.568175493276731558e+00,-3.750562341215541551e+00,2.928225510368647519e+02
1.089996125278220429e+00,4.140420312082014220e+00,-1.800520278319446277e-01,-2.457364187658717114e-01,-4.938361052159871978e-01,-4.447419155462982943e+00,-1.066229311467160912e+01,-3.926090617431846841e+00,3.177585996472602119e+02
